# t0 (BJD_TBD - 2450000), Variation (ppm), Duration (hours)
1.114648014980149856e+04,4.468133380915796806e+02,6.120061200612690300e+01
1.115846026960269592e+04,4.452416029759431240e+02,6.096060960610338952e+01
1.118300051500514928e+04,4.328971554251253906e+02,6.096060960610338952e+01
1.119496063460634650e+04,4.668233759064683568e+02,6.192061920619744342e+01
1.121952088020880183e+04,4.090927215629716329e+02,6.048060480605636258e+01
1.123147099970999625e+04,4.782796958775493863e+02,6.264062640626798384e+01
1.125357122071220692e+04,4.131314273993119741e+02,5.952059520596230868e+01
1.126798136481364782e+04,4.786275536210679320e+02,6.336063360633852426e+01
1.129006158561585653e+04,4.338479575026942712e+02,6.024060240603284910e+01
1.130451173011730134e+04,4.673948612552197801e+02,6.360063600636203773e+01
1.132657195071950810e+04,4.468408230577166478e+02,6.072060720603622030e+01
1.134104209542095487e+04,4.445963719474064533e+02,6.384063840638555121e+01
1.136307231572315686e+04,4.508555630425911431e+02,6.120061200612690300e+01
1.137507243572435800e+04,4.239958959958694891e+02,6.000060000596567988e+01
1.137757246072460657e+04,4.107499491076241611e+02,6.408064080640906468e+01
1.139959268092680941e+04,4.450540200397878721e+02,6.096060960610338952e+01
1.141156280062800579e+04,4.527223236987533710e+02,6.120061200612690300e+01
1.143611304613046195e+04,4.291536181899948019e+02,6.072060720603622030e+01
1.144806316563165637e+04,4.723358508141151333e+02,6.216062160622095689e+01
1.147263341133411268e+04,4.034932818998728976e+02,6.024060240603284910e+01
1.148457353073530794e+04,4.814970359560049360e+02,6.288062880629149731e+01
1.150667375173751680e+04,4.174662777071004029e+02,5.976059760598582216e+01
1.152109389593895867e+04,4.793624596446774149e+02,6.336063360633852426e+01
1.154317411674116738e+04,4.369727771917181371e+02,6.024060240603284910e+01
1.155762426124261219e+04,4.655899426402016843e+02,6.360063600636203773e+01
1.157967448174481797e+04,4.484035667350365770e+02,6.072060720607987605e+01
1.159415462654626572e+04,4.403273762469064536e+02,6.384063840638555121e+01
1.161618484684846771e+04,4.505832222617727325e+02,6.120061200612690300e+01
1.162817496674966787e+04,4.326650624201840287e+02,6.048060480605636258e+01
1.163069499194992022e+04,4.042188383641235987e+02,6.360063600636203773e+01
1.165270521205212026e+04,4.428073700056126540e+02,6.096060960610338952e+01
1.166466533165331566e+04,4.597324981848418020e+02,6.144061440615041647e+01
1.168922557725577281e+04,4.249355187599940109e+02,6.072060720607987605e+01
1.170117569675696723e+04,4.772778410615229063e+02,6.216062160622095689e+01
1.173768606186061879e+04,4.840846303831840487e+02,6.288062880629149731e+01
1.175977628276282849e+04,4.215582304852998732e+02,6.000060000596567988e+01
1.177420642706427134e+04,4.794382074461312868e+02,6.336063360633852426e+01
1.179627664776647725e+04,4.397587960068885309e+02,6.048060480605636258e+01
1.181073679236792304e+04,4.631365633184714738e+02,6.360063600636203773e+01
1.183278701287012882e+04,4.495379901713186541e+02,6.072060720607987605e+01
1.184479713297132912e+04,4.073244712608357077e+02,5.952059520596230868e+01
1.184727715777157755e+04,4.354539661914042767e+02,6.360063600636203773e+01
1.186929737797378039e+04,4.498348411437477807e+02,6.096060960605973378e+01
1.188127749777497775e+04,4.409646204164172900e+02,6.072060720607987605e+01
1.190581774317743111e+04,4.400615199255905168e+02,6.096060960610338952e+01
1.191777786277862833e+04,4.662552323959351952e+02,6.168061680617392994e+01
1.194233810838108366e+04,4.202441269364439904e+02,6.048060480605636258e+01
1.195427822778227710e+04,4.816400596786454003e+02,6.264062640626798384e+01
1.197638844888448875e+04,4.012479992083531215e+02,5.928059280593879521e+01
1.199079859298592964e+04,4.860387512043871538e+02,6.312063120631501079e+01
1.201287881378813836e+04,4.253791420202197173e+02,6.024060240603284910e+01
1.202732895828958317e+04,4.788649405767582152e+02,6.336063360633852426e+01
1.204937917879178713e+04,4.421740477226306893e+02,6.072060720607987605e+01
1.206385932359323670e+04,4.600463989078129998e+02,6.360063600636203773e+01
1.208588954389543869e+04,4.502366551921612654e+02,6.096060960610338952e+01
1.209788966389663983e+04,4.166385394496790582e+02,6.000060000596567988e+01
1.210038968889688840e+04,4.300025723229924211e+02,6.360063600636203773e+01
1.212240990909909124e+04,4.485990962038311523e+02,6.096060960610338952e+01
