Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.896128576389048249e+03,2.652981437682384591e+00
9.896128599245501391e+03,2.652981459448407353e+00
9.896128622101952715e+03,2.652981481216781123e+00
9.896128644958405857e+03,2.652981502987509899e+00
9.896128667814857181e+03,2.652981524760590126e+00
9.896128690671310324e+03,2.652981546536024471e+00
9.896128713527761647e+03,2.652981568313809824e+00
9.896128736384214790e+03,2.652981590093950182e+00
9.896128759240666113e+03,2.652981611876441104e+00
9.896128782097119256e+03,2.652981633661286587e+00
9.896128804953570580e+03,2.652981655448482634e+00
9.896128827810023722e+03,2.652981677238033242e+00
9.896128850666476865e+03,2.652981699029935747e+00
9.896128873522928188e+03,2.652981720824188372e+00
9.896128896379381331e+03,2.652981742620795558e+00
9.896128919235832655e+03,2.652981764419753308e+00
9.896128942092285797e+03,2.652981786221064286e+00
9.896128964948737121e+03,2.652981808024725385e+00
9.896128987805190263e+03,2.652981829830740601e+00
9.896129010661641587e+03,2.652981851639105493e+00
9.896129033518094730e+03,2.652981873449824501e+00
9.896129056374546053e+03,2.652981895262893186e+00
9.896129079230999196e+03,2.652981917078315099e+00
9.896129102087450519e+03,2.652981938896086689e+00
9.896129124943903662e+03,2.652981960716210619e+00
9.896129147800356805e+03,2.652981982538687333e+00
9.896129170656808128e+03,2.652982004363512836e+00
9.896129193513261271e+03,2.652982026190691123e+00
9.896129216369712594e+03,2.652982048020219086e+00
9.896129239226165737e+03,2.652982069852099833e+00
9.896129262082617061e+03,2.652982091686329813e+00
9.896129284939070203e+03,2.652982113522912133e+00
9.896129307795521527e+03,2.652982135361843685e+00
9.896129330651974669e+03,2.652982157203127578e+00
9.896129353508425993e+03,2.652982179046760702e+00
9.896129376364879136e+03,2.652982200892746167e+00
9.896129399221332278e+03,2.652982222741082197e+00
9.896129422077783602e+03,2.652982244591766126e+00
9.896129444934236744e+03,2.652982266444802839e+00
9.896129467790688068e+03,2.652982288300188340e+00
9.896129490647141211e+03,2.652982310157925294e+00
9.896129513503592534e+03,2.652982332018011036e+00
9.896129536360045677e+03,2.652982353880447786e+00
9.896129559216497000e+03,2.652982375745233767e+00
9.896129582072950143e+03,2.652982397612370313e+00
9.896129604929401467e+03,2.652982419481855203e+00
9.896129627785854609e+03,2.652982441353691989e+00
9.896129650642307752e+03,2.652982463227878451e+00
9.896129673498759075e+03,2.652982485104412813e+00
9.896129696355212218e+03,2.652982506983298183e+00
9.896129719211663542e+03,2.652982528864531009e+00
9.896129742068116684e+03,2.652982550748115287e+00
9.896129764924568008e+03,2.652982572634046576e+00
9.896129787781021150e+03,2.652982594522329318e+00
9.896129810637472474e+03,2.652982616412959516e+00
9.896129833493925616e+03,2.652982638305939833e+00
9.896129856350376940e+03,2.652982660201268050e+00
9.896129879206830083e+03,2.652982682098946388e+00
9.896129902063283225e+03,2.652982703998973957e+00
9.896129924919734549e+03,2.652982725901348093e+00
9.896129947776187691e+03,2.652982747806073238e+00
9.896129970632639015e+03,2.652982769713144506e+00
9.896129993489092158e+03,2.652982791622566783e+00
9.896130016345543481e+03,2.652982813534335182e+00
9.896130039201996624e+03,2.652982835448453702e+00
9.896130062058447947e+03,2.652982857364918790e+00
9.896130084914901090e+03,2.652982879283733997e+00
9.896130107771352414e+03,2.652982901204895327e+00
9.896130130627805556e+03,2.652982923128406778e+00
9.896130153484256880e+03,2.652982945054264352e+00
9.896130176340710022e+03,2.652982966982471158e+00
9.896130199197163165e+03,2.652982988913026308e+00
9.896130222053614489e+03,2.652983010845927137e+00
9.896130244910067631e+03,2.652983032781177197e+00
9.896130267766518955e+03,2.652983054718773381e+00
9.896130290622972097e+03,2.652983076658719241e+00
9.896130313479423421e+03,2.652983098601010337e+00
9.896130336335876564e+03,2.652983120545649776e+00
9.896130359192327887e+03,2.652983142492635782e+00
9.896130382048781030e+03,2.652983164441970132e+00
9.896130404905232353e+03,2.652983186393650161e+00
9.896130427761685496e+03,2.652983208347678978e+00
9.896130450618138639e+03,2.652983230304054363e+00
9.896130473474589962e+03,2.652983252262775871e+00
9.896130496331043105e+03,2.652983274223844834e+00
9.896130519187494428e+03,2.652983296187259477e+00
9.896130542043947571e+03,2.652983318153022463e+00
9.896130564900398895e+03,2.652983340121129352e+00
9.896130587756852037e+03,2.652983362091585473e+00
9.896130610613303361e+03,2.652983384064386385e+00
9.896130633469756503e+03,2.652983406039535197e+00
9.896130656326207827e+03,2.652983428017027911e+00
9.896130679182660970e+03,2.652983449996868970e+00
9.896130702039114112e+03,2.652983471979055707e+00
9.896130724895565436e+03,2.652983493963587236e+00
9.896130747752018578e+03,2.652983515950466664e+00
9.896130770608469902e+03,2.652983537939689995e+00
9.896130793464923045e+03,2.652983559931261226e+00
9.896130816321374368e+03,2.652983581925175471e+00
9.896130839177827511e+03,2.652983603921438061e+00
9.896130862034278834e+03,2.652983625920043664e+00
9.896130884890731977e+03,2.652983647920997168e+00
9.896130907747183301e+03,2.652983669924294130e+00
9.896130930603636443e+03,2.652983691929937660e+00
9.896130953460089586e+03,2.652983713937927313e+00
9.896130976316540909e+03,2.652983735948259980e+00
9.896130999172994052e+03,2.652983757960939659e+00
9.896131022029445376e+03,2.652983779975962353e+00
9.896131044885898518e+03,2.652983801993331614e+00
9.896131067742349842e+03,2.652983824013044334e+00
9.896131090598802984e+03,2.652983846035103621e+00
9.896131113455254308e+03,2.652983868059505923e+00
9.896131136311707451e+03,2.652983890086254348e+00
9.896131159168158774e+03,2.652983912115345344e+00
9.896131182024611917e+03,2.652983934146782907e+00
9.896131204881063240e+03,2.652983956180563485e+00
9.896131227737516383e+03,2.652983978216689742e+00
9.896131250593969526e+03,2.652984000255160790e+00
9.896131273450420849e+03,2.652984022295973077e+00
9.896131296306873992e+03,2.652984044339132375e+00
9.896131319163325315e+03,2.652984066384633355e+00
9.896131342019778458e+03,2.652984088432480458e+00
9.896131364876229782e+03,2.652984110482669244e+00
9.896131387732682924e+03,2.652984132535203710e+00
9.896131410589134248e+03,2.652984154590080301e+00
9.896131433445587390e+03,2.652984176647301684e+00
9.896131456302038714e+03,2.652984198706865637e+00
9.896131479158491857e+03,2.652984220768774826e+00
9.896131502014944999e+03,2.652984242833026141e+00
9.896131524871396323e+03,2.652984264899620026e+00
9.896131547727849465e+03,2.652984286968559147e+00
9.896131570584300789e+03,2.652984309039839506e+00
9.896131593440753932e+03,2.652984331113464211e+00
9.896131616297205255e+03,2.652984353189430600e+00
9.896131639153658398e+03,2.652984375267741779e+00
9.896131662010109721e+03,2.652984397348393752e+00
9.896131684866562864e+03,2.652984419431390517e+00
9.896131707723014188e+03,2.652984441516728076e+00
9.896131730579467330e+03,2.652984463604409981e+00
9.896131753435920473e+03,2.652984485694434458e+00
9.896131776292371796e+03,2.652984507786799728e+00
9.896131799148824939e+03,2.652984529881509346e+00
9.896131822005276263e+03,2.652984551978559313e+00
9.896131844861729405e+03,2.652984574077952740e+00
9.896131867718180729e+03,2.652984596179686960e+00
9.896131890574633871e+03,2.652984618283765528e+00
9.896131913431085195e+03,2.652984640390184001e+00
9.896131936287538338e+03,2.652984662498945490e+00
9.896131959143989661e+03,2.652984684610048216e+00
9.896131982000442804e+03,2.652984706723493513e+00
9.896132004856895946e+03,2.652984728839281381e+00
9.896132027713347270e+03,2.652984750957408266e+00
9.896132050569800413e+03,2.652984773077878611e+00
9.896132073426251736e+03,2.652984795200688861e+00
9.896132096282704879e+03,2.652984817325842126e+00
9.896132119139156202e+03,2.652984839453335297e+00
9.896132141995609345e+03,2.652984861583171039e+00
9.896132164852060669e+03,2.652984883715346243e+00
9.896132187708513811e+03,2.652984905849864461e+00
9.896132210564965135e+03,2.652984927986721697e+00
9.896132233421418277e+03,2.652984950125921948e+00
9.896132256277869601e+03,2.652984972267461217e+00
9.896132279134322744e+03,2.652984994411342612e+00
9.896132301990775886e+03,2.652985016557564801e+00
