Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.063802708333311602e+04,2.741470059956075733e+00
1.063802710516863226e+04,2.741470106793562511e+00
1.063802712700415032e+04,2.741470153622327377e+00
1.063802714883966655e+04,2.741470200442359673e+00
1.063802717067518279e+04,2.741470247253665171e+00
1.063802719251070084e+04,2.741470294056245649e+00
1.063802721434621708e+04,2.741470340850093557e+00
1.063802723618173331e+04,2.741470387635212891e+00
1.063802725801725137e+04,2.741470434411606760e+00
1.063802727985276761e+04,2.741470481179266283e+00
1.063802730168828566e+04,2.741470527938200341e+00
1.063802732352380190e+04,2.741470574688400053e+00
1.063802734535931813e+04,2.741470621429868082e+00
1.063802736719483619e+04,2.741470668162609758e+00
1.063802738903035242e+04,2.741470714886615312e+00
1.063802741086586866e+04,2.741470761601888739e+00
1.063802743270138672e+04,2.741470808308433593e+00
1.063802745453690295e+04,2.741470855006241436e+00
1.063802747637241919e+04,2.741470901695316709e+00
1.063802749820793724e+04,2.741470948375661632e+00
1.063802752004345348e+04,2.741470995047269543e+00
1.063802754187896971e+04,2.741471041710142220e+00
1.063802756371448777e+04,2.741471088364284547e+00
1.063802758555000401e+04,2.741471135009687643e+00
1.063802760738552206e+04,2.741471181646359057e+00
1.063802762922103830e+04,2.741471228274290795e+00
1.063802765105655453e+04,2.741471274893486409e+00
1.063802767289207259e+04,2.741471321503949010e+00
1.063802769472758882e+04,2.741471368105670159e+00
1.063802771656310506e+04,2.741471414698654296e+00
1.063802773839862311e+04,2.741471461282904976e+00
1.063802776023413935e+04,2.741471507858412870e+00
1.063802778206965559e+04,2.741471554425182422e+00
1.063802780390517364e+04,2.741471600983216739e+00
1.063802782574068988e+04,2.741471647532507827e+00
1.063802784757620611e+04,2.741471694073059684e+00
1.063802786941172417e+04,2.741471740604874530e+00
1.063802789124724040e+04,2.741471787127945259e+00
1.063802791308275846e+04,2.741471833642278533e+00
1.063802793491827470e+04,2.741471880147867690e+00
1.063802795675379093e+04,2.741471926644714063e+00
1.063802797858930899e+04,2.741471973132822981e+00
1.063802800042482522e+04,2.741472019612185562e+00
1.063802802226034146e+04,2.741472066082805359e+00
1.063802804409585951e+04,2.741472112544685036e+00
1.063802806593137575e+04,2.741472158997818376e+00
1.063802808776689199e+04,2.741472205442206711e+00
1.063802810960241004e+04,2.741472251877855371e+00
1.063802813143792628e+04,2.741472298304755029e+00
1.063802815327344251e+04,2.741472344722909682e+00
1.063802817510896057e+04,2.741472391132322439e+00
1.063802819694447680e+04,2.741472437532985751e+00
1.063802821877999486e+04,2.741472483924906722e+00
1.063802824061551109e+04,2.741472530308076916e+00
1.063802826245102733e+04,2.741472576682500328e+00
1.063802828428654539e+04,2.741472623048179624e+00
1.063802830612206162e+04,2.741472669405107698e+00
1.063802832795757786e+04,2.741472715753287659e+00
1.063802834979309591e+04,2.741472762092722615e+00
1.063802837162861215e+04,2.741472808423405016e+00
1.063802839346412838e+04,2.741472854745338417e+00
1.063802841529964644e+04,2.741472901058525480e+00
1.063802843713516268e+04,2.741472947362958656e+00
1.063802845897067891e+04,2.741472993658641499e+00
1.063802848080619697e+04,2.741473039945577117e+00
1.063802850264171320e+04,2.741473086223757960e+00
1.063802852447723126e+04,2.741473132493191134e+00
1.063802854631274749e+04,2.741473178753867757e+00
1.063802856814826373e+04,2.741473225005792713e+00
1.063802858998378179e+04,2.741473271248968224e+00
1.063802861181929802e+04,2.741473317483387184e+00
1.063802863365481426e+04,2.741473363709052258e+00
1.063802865549033231e+04,2.741473409925967442e+00
1.063802867732584855e+04,2.741473456134124742e+00
1.063802869916136478e+04,2.741473502333526824e+00
1.063802872099688284e+04,2.741473548524178572e+00
1.063802874283239908e+04,2.741473594706070216e+00
1.063802876466791531e+04,2.741473640879206197e+00
1.063802878650343337e+04,2.741473687043590068e+00
1.063802880833894960e+04,2.741473733199213836e+00
1.063802883017446766e+04,2.741473779346083717e+00
1.063802885200998389e+04,2.741473825484193050e+00
1.063802887384550013e+04,2.741473871613544055e+00
1.063802889568101818e+04,2.741473917734141175e+00
1.063802891751653442e+04,2.741473963845976414e+00
1.063802893935205066e+04,2.741474009949052437e+00
1.063802896118756871e+04,2.741474056043372798e+00
1.063802898302308495e+04,2.741474102128929946e+00
1.063802900485860118e+04,2.741474148205726991e+00
1.063802902669411924e+04,2.741474194273767484e+00
1.063802904852963547e+04,2.741474240333043433e+00
1.063802907036515171e+04,2.741474286383558390e+00
1.063802909220066977e+04,2.741474332425315463e+00
1.063802911403618600e+04,2.741474378458306660e+00
1.063802913587170406e+04,2.741474424482539973e+00
1.063802915770722029e+04,2.741474470498006077e+00
1.063802917954273653e+04,2.741474516504709857e+00
1.063802920137825458e+04,2.741474562502653534e+00
1.063802922321377082e+04,2.741474608491830001e+00
1.063802924504928706e+04,2.741474654472241923e+00
1.063802926688480511e+04,2.741474700443893742e+00
1.063802928872032135e+04,2.741474746406776131e+00
1.063802931055583758e+04,2.741474792360893531e+00
1.063802933239135564e+04,2.741474838306249051e+00
1.063802935422687187e+04,2.741474884242834698e+00
1.063802937606238811e+04,2.741474930170653579e+00
1.063802939789790616e+04,2.741474976089709692e+00
1.063802941973342240e+04,2.741475021999995043e+00
1.063802944156894046e+04,2.741475067901516294e+00
1.063802946340445669e+04,2.741475113794265894e+00
1.063802948523997293e+04,2.741475159678246953e+00
1.063802950707549098e+04,2.741475205553463468e+00
1.063802952891100722e+04,2.741475251419907000e+00
1.063802955074652346e+04,2.741475297277580658e+00
1.063802957258204151e+04,2.741475343126488884e+00
1.063802959441755775e+04,2.741475388966622795e+00
1.063802961625307398e+04,2.741475434797986388e+00
1.063802963808859204e+04,2.741475480620581884e+00
1.063802965992410827e+04,2.741475526434403509e+00
1.063802968175962451e+04,2.741475572239452152e+00
1.063802970359514256e+04,2.741475618035733142e+00
1.063802972543065880e+04,2.741475663823237596e+00
1.063802974726617686e+04,2.741475709601973065e+00
1.063802976910169309e+04,2.741475755371931999e+00
1.063802979093720933e+04,2.741475801133117063e+00
1.063802981277272738e+04,2.741475846885531809e+00
1.063802983460824362e+04,2.741475892629167799e+00
1.063802985644375985e+04,2.741475938364029918e+00
1.063802987827927791e+04,2.741475984090119944e+00
1.063802990011479415e+04,2.741476029807431214e+00
1.063802992195031038e+04,2.741476075515966393e+00
1.063802994378582844e+04,2.741476121215729034e+00
1.063802996562134467e+04,2.741476166906711143e+00
1.063802998745686091e+04,2.741476212588916717e+00
1.063803000929237896e+04,2.741476258262348420e+00
1.063803003112789520e+04,2.741476303926998259e+00
1.063803005296341325e+04,2.741476349582874672e+00
1.063803007479892949e+04,2.741476395229967888e+00
1.063803009663444573e+04,2.741476440868281905e+00
1.063803011846996378e+04,2.741476486497821163e+00
1.063803014030548002e+04,2.741476532118576781e+00
1.063803016214099625e+04,2.741476577730552311e+00
1.063803018397651431e+04,2.741476623333751306e+00
1.063803020581203054e+04,2.741476668928165772e+00
1.063803022764754678e+04,2.741476714513798818e+00
