Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.889738090277649462e+03,5.559197838059271817e+02
9.889738107156652404e+03,5.559243410584783760e+02
9.889738124035655346e+03,5.559288977966605216e+02
9.889738140914658288e+03,5.559334540204648647e+02
9.889738157793661230e+03,5.559380097298828787e+02
9.889738174672662353e+03,5.559425649244147962e+02
9.889738191551665295e+03,5.559471196050337767e+02
9.889738208430668237e+03,5.559516737712400527e+02
9.889738225309671179e+03,5.559562274230250978e+02
9.889738242188674121e+03,5.559607805603799306e+02
9.889738259067677063e+03,5.559653331832960248e+02
9.889738275946680005e+03,5.559698852917643990e+02
9.889738292825682947e+03,5.559744368857766403e+02
9.889738309704684070e+03,5.559789879648334363e+02
9.889738326583687012e+03,5.559835385299068093e+02
9.889738343462689954e+03,5.559880885804977879e+02
9.889738360341692896e+03,5.559926381165975044e+02
9.889738377220695838e+03,5.559971871381974324e+02
9.889738394099698780e+03,5.560017356452885906e+02
9.889738410978701722e+03,5.560062836378624525e+02
9.889738427857704664e+03,5.560108311159101504e+02
9.889738444736705787e+03,5.560153780789330540e+02
9.889738461615708729e+03,5.560199245279025035e+02
9.889738478494711671e+03,5.560244704623197549e+02
9.889738495373714613e+03,5.560290158821758268e+02
9.889738512252717555e+03,5.560335607874624202e+02
9.889738529131720497e+03,5.560381051781704400e+02
9.889738546010723439e+03,5.560426490542914735e+02
9.889738562889726381e+03,5.560471924158166530e+02
9.889738579768727504e+03,5.560517352622478029e+02
9.889738596647730446e+03,5.560562775945551266e+02
9.889738613526733388e+03,5.560608194122406758e+02
9.889738630405736330e+03,5.560653607152953555e+02
9.889738647284739272e+03,5.560699015037107529e+02
9.889738664163742214e+03,5.560744417774781141e+02
9.889738681042745156e+03,5.560789815365885715e+02
9.889738697921748098e+03,5.560835207810335987e+02
9.889738714800749221e+03,5.560880595103152473e+02
9.889738731679752163e+03,5.560925977254030386e+02
9.889738748558755105e+03,5.560971354257993653e+02
9.889738765437758047e+03,5.561016726114953599e+02
9.889738782316760989e+03,5.561062092824822685e+02
9.889738799195763931e+03,5.561107454387515645e+02
9.889738816074766873e+03,5.561152810802943804e+02
9.889738832953769816e+03,5.561198162071019624e+02
9.889738849832770939e+03,5.561243508186772715e+02
9.889738866711773881e+03,5.561288849159886922e+02
9.889738883590776823e+03,5.561334184985388447e+02
9.889738900469779765e+03,5.561379515663192024e+02
9.889738917348782707e+03,5.561424841193208977e+02
9.889738934227785649e+03,5.561470161575352904e+02
9.889738951106788591e+03,5.561515476809537404e+02
9.889738967985791533e+03,5.561560786895676074e+02
9.889738984864792656e+03,5.561606091828797389e+02
9.889739001743795598e+03,5.561651391618581783e+02
9.889739018622798540e+03,5.561696686260058868e+02
9.889739035501801482e+03,5.561741975753142242e+02
9.889739052380804424e+03,5.561787260097744365e+02
9.889739069259807366e+03,5.561832539293777700e+02
9.889739086138810308e+03,5.561877813341156980e+02
9.889739103017813250e+03,5.561923082239794667e+02
9.889739119896814373e+03,5.561968345984727193e+02
9.889739136775817315e+03,5.562013604585622488e+02
9.889739153654820257e+03,5.562058858037514710e+02
9.889739170533823199e+03,5.562104106340318594e+02
9.889739187412826141e+03,5.562149349493947739e+02
9.889739204291829083e+03,5.562194587498314604e+02
9.889739221170832025e+03,5.562239820353331652e+02
9.889739238049834967e+03,5.562285048058913617e+02
9.889739254928836090e+03,5.562330270610100342e+02
9.889739271807839032e+03,5.562375488016549525e+02
9.889739288686841974e+03,5.562420700273305556e+02
9.889739305565844916e+03,5.562465907380277486e+02
9.889739322444847858e+03,5.562511109337380049e+02
