Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.896128576389048249e+03,2.742822128722085750e+00
9.896128599245501391e+03,2.742822210836209251e+00
9.896128622101952715e+03,2.742822292944424589e+00
9.896128644958405857e+03,2.742822375046728212e+00
9.896128667814857181e+03,2.742822457143120118e+00
9.896128690671310324e+03,2.742822539233607415e+00
9.896128713527761647e+03,2.742822621318175891e+00
9.896128736384214790e+03,2.742822703396836204e+00
9.896128759240666113e+03,2.742822785469577695e+00
9.896128782097119256e+03,2.742822867536418130e+00
9.896128804953570580e+03,2.742822949597329085e+00
9.896128827810023722e+03,2.742823031652335430e+00
9.896128850666476865e+03,2.742823113701422955e+00
9.896128873522928188e+03,2.742823195744591658e+00
9.896128896379381331e+03,2.742823277781848645e+00
9.896128919235832655e+03,2.742823359813176154e+00
9.896128942092285797e+03,2.742823441838591947e+00
9.896128964948737121e+03,2.742823523858081813e+00
9.896128987805190263e+03,2.742823605871663517e+00
9.896129010661641587e+03,2.742823687879312189e+00
9.896129033518094730e+03,2.742823769881045592e+00
9.896129056374546053e+03,2.742823851876849517e+00
9.896129079230999196e+03,2.742823933866738173e+00
9.896129102087450519e+03,2.742824015850697350e+00
9.896129124943903662e+03,2.742824097828734153e+00
9.896129147800356805e+03,2.742824179800852136e+00
9.896129170656808128e+03,2.742824261767029981e+00
9.896129193513261271e+03,2.742824343727292558e+00
9.896129216369712594e+03,2.742824425681622103e+00
9.896129239226165737e+03,2.742824507630022168e+00
9.896129262082617061e+03,2.742824589572489202e+00
9.896129284939070203e+03,2.742824671509037415e+00
9.896129307795521527e+03,2.742824753439645491e+00
9.896129330651974669e+03,2.742824835364324088e+00
9.896129353508425993e+03,2.742824917283069652e+00
9.896129376364879136e+03,2.742824999195889291e+00
9.896129399221332278e+03,2.742825081102775897e+00
9.896129422077783602e+03,2.742825163003718814e+00
9.896129444934236744e+03,2.742825244898735804e+00
9.896129467790688068e+03,2.742825326787809104e+00
9.896129490647141211e+03,2.742825408670949372e+00
9.896129513503592534e+03,2.742825490548153056e+00
9.896129536360045677e+03,2.742825572419416602e+00
9.896129559216497000e+03,2.742825654284747117e+00
9.896129582072950143e+03,2.742825736144130389e+00
9.896129604929401467e+03,2.742825817997577076e+00
9.896129627785854609e+03,2.742825899845087179e+00
9.896129650642307752e+03,2.742825981686653591e+00
9.896129673498759075e+03,2.742826063522276314e+00
9.896129696355212218e+03,2.742826145351958900e+00
9.896129719211663542e+03,2.742826227175694243e+00
9.896129742068116684e+03,2.742826308993493001e+00
