Time (BJD_TBD - 2450000), F_star + F_c (mJy)
1.065014266203716397e+04,2.740717690895607017e+00
1.065014268332748725e+04,2.740717711392114175e+00
1.065014270461781052e+04,2.740717731886499919e+00
1.065014272590813380e+04,2.740717752378764693e+00
1.065014274719845707e+04,2.740717772868907609e+00
1.065014276848878217e+04,2.740717793356930887e+00
1.065014278977910544e+04,2.740717813842830974e+00
1.065014281106942872e+04,2.740717834326609648e+00
1.065014283235975199e+04,2.740717854808266019e+00
1.065014285365007527e+04,2.740717875287800975e+00
1.065014287494039854e+04,2.740717895765214518e+00
1.065014289623072182e+04,2.740717916240505758e+00
1.065014291752104509e+04,2.740717936713675140e+00
1.065014293881136837e+04,2.740717957184722664e+00
1.065014296010169346e+04,2.740717977653649662e+00
1.065014298139201674e+04,2.740717998120453025e+00
1.065014300268234001e+04,2.740718018585133642e+00
1.065014302397266329e+04,2.740718039047693289e+00
1.065014304526298656e+04,2.740718059508129745e+00
1.065014306655330984e+04,2.740718079966443899e+00
1.065014308784363311e+04,2.740718100422635750e+00
1.065014310913395639e+04,2.740718120876705299e+00
1.065014313042427966e+04,2.740718141328652102e+00
1.065014315171460476e+04,2.740718161778477935e+00
1.065014317300492803e+04,2.740718182226179245e+00
1.065014319429525131e+04,2.740718202671757808e+00
1.065014321558557458e+04,2.740718223115213625e+00
1.065014323687589786e+04,2.740718243556546696e+00
1.065014325816622113e+04,2.740718263995757464e+00
1.065014327945654441e+04,2.740718284432844154e+00
1.065014330074686768e+04,2.740718304867808541e+00
1.065014332203719096e+04,2.740718325300649738e+00
1.065014334332751605e+04,2.740718345731369077e+00
1.065014336461783932e+04,2.740718366159964337e+00
1.065014338590816260e+04,2.740718386586435962e+00
1.065014340719848587e+04,2.740718407010783508e+00
1.065014342848880915e+04,2.740718427433008308e+00
1.065014344977913242e+04,2.740718447853109474e+00
1.065014347106945570e+04,2.740718468271087005e+00
1.065014349235977897e+04,2.740718488686940901e+00
1.065014351365010225e+04,2.740718509100671163e+00
1.065014353494042734e+04,2.740718529512279122e+00
1.065014355623075062e+04,2.740718549921762559e+00
1.065014357752107389e+04,2.740718570329121473e+00
1.065014359881139717e+04,2.740718590734355864e+00
1.065014362010172044e+04,2.740718611137467065e+00
1.065014364139204372e+04,2.740718631538454630e+00
1.065014366268236699e+04,2.740718651937317230e+00
1.065014368397269027e+04,2.740718672334056194e+00
1.065014370526301354e+04,2.740718692728670192e+00
1.065014372655333864e+04,2.740718713121162331e+00
1.065014374784366191e+04,2.740718733511528171e+00
1.065014376913398519e+04,2.740718753899769933e+00
1.065014379042430846e+04,2.740718774285886727e+00
1.065014381171463174e+04,2.740718794669878999e+00
1.065014383300495501e+04,2.740718815051746748e+00
1.065014385429527829e+04,2.740718835431490419e+00
1.065014387558560156e+04,2.740718855809108678e+00
1.065014389687592484e+04,2.740718876184602415e+00
1.065014391816624993e+04,2.740718896557972961e+00
1.065014393945657321e+04,2.740718916929216320e+00
1.065014396074689648e+04,2.740718937298335600e+00
1.065014398203721976e+04,2.740718957665329025e+00
1.065014400332754303e+04,2.740718978030198372e+00
1.065014402461786631e+04,2.740718998392941863e+00
1.065014404590818958e+04,2.740719018753560388e+00
1.065014406719851286e+04,2.740719039112053501e+00
1.065014408848883613e+04,2.740719059468421204e+00
1.065014410977916123e+04,2.740719079822665272e+00
1.065014413106948450e+04,2.740719100174782596e+00
1.065014415235980778e+04,2.740719120524773622e+00
1.065014417365013105e+04,2.740719140872639237e+00
1.065014419494045433e+04,2.740719161218379440e+00
1.065014421623077760e+04,2.740719181561993345e+00
1.065014423752110088e+04,2.740719201903482283e+00
1.065014425881142415e+04,2.740719222242845365e+00
1.065014428010174743e+04,2.740719242580082149e+00
1.065014430139207252e+04,2.740719262915194854e+00
1.065014432268239580e+04,2.740719283248179927e+00
1.065014434397271907e+04,2.740719303579038257e+00
1.065014436526304235e+04,2.740719323907770733e+00
1.065014438655336562e+04,2.740719344234377353e+00
1.065014440784368890e+04,2.740719364558857674e+00
1.065014442913401217e+04,2.740719384881211251e+00
1.065014445042433545e+04,2.740719405201438974e+00
1.065014447171465872e+04,2.740719425519539065e+00
1.065014449300498381e+04,2.740719445835515522e+00
1.065014451429530709e+04,2.740719466149363459e+00
1.065014453558563036e+04,2.740719486461084653e+00
1.065014455687595364e+04,2.740719506770679104e+00
1.065014457816627691e+04,2.740719527078146811e+00
1.065014459945660019e+04,2.740719547383487331e+00
1.065014462074692347e+04,2.740719567686701108e+00
1.065014464203724674e+04,2.740719587987788142e+00
1.065014466332757002e+04,2.740719608286747988e+00
1.065014468461789511e+04,2.740719628583582868e+00
1.065014470590821838e+04,2.740719648878288339e+00
1.065014472719854166e+04,2.740719669170867512e+00
1.065014474848886493e+04,2.740719689461318165e+00
1.065014476977918821e+04,2.740719709749642519e+00
1.065014479106951148e+04,2.740719730035838797e+00
1.065014481235983476e+04,2.740719750319908332e+00
1.065014483365015803e+04,2.740719770601849792e+00
1.065014485494048131e+04,2.740719790881663176e+00
1.065014487623080640e+04,2.740719811159351593e+00
1.065014489752112968e+04,2.740719831434910159e+00
1.065014491881145295e+04,2.740719851708341093e+00
1.065014494010177623e+04,2.740719871979643951e+00
1.065014496139209950e+04,2.740719892248819622e+00
1.065014498268242278e+04,2.740719912515866774e+00
1.065014500397274605e+04,2.740719932780785850e+00
1.065014502526306933e+04,2.740719953043576851e+00
1.065014504655339260e+04,2.740719973304239776e+00
1.065014506784371770e+04,2.740719993562775958e+00
1.065014508913404097e+04,2.740720013819183176e+00
1.065014511042436425e+04,2.740720034073460987e+00
1.065014513171468752e+04,2.740720054325610722e+00
1.065014515300501080e+04,2.740720074575632381e+00
1.065014517429533407e+04,2.740720094823525077e+00
1.065014519558565735e+04,2.740720115069289253e+00
1.065014521687598062e+04,2.740720135312924910e+00
1.065014523816630390e+04,2.740720155554432047e+00
1.065014525945662899e+04,2.740720175793811997e+00
1.065014528074695227e+04,2.740720196031061207e+00
1.065014530203727554e+04,2.740720216266181897e+00
1.065014532332759882e+04,2.740720236499173623e+00
1.065014534461792209e+04,2.740720256730036386e+00
1.065014536590824537e+04,2.740720276958770185e+00
1.065014538719856864e+04,2.740720297185374132e+00
1.065014540848889192e+04,2.740720317409849116e+00
1.065014542977921519e+04,2.740720337632195136e+00
1.065014545106954029e+04,2.740720357852413969e+00
1.065014547235986356e+04,2.740720378070501173e+00
1.065014549365018684e+04,2.740720398286458970e+00
1.065014551494051011e+04,2.740720418500287359e+00
1.065014553623083339e+04,2.740720438711985896e+00
1.065014555752115666e+04,2.740720458921555469e+00
1.065014557881147994e+04,2.740720479128994747e+00
1.065014560010180321e+04,2.740720499334304616e+00
1.065014562139212649e+04,2.740720519537485078e+00
1.065014564268245158e+04,2.740720539738536576e+00
1.065014566397277486e+04,2.740720559937456891e+00
1.065014568526309813e+04,2.740720580134246465e+00
1.065014570655342141e+04,2.740720600328907075e+00
1.065014572784374468e+04,2.740720620521437390e+00
1.065014574913406796e+04,2.740720640711836964e+00
1.065014577042439123e+04,2.740720660900106687e+00
1.065014579171471451e+04,2.740720681086246113e+00
1.065014581300503778e+04,2.740720701270255244e+00
1.065014583429536287e+04,2.740720721452135411e+00
1.065014585558568615e+04,2.740720741631883506e+00
1.065014587687600942e+04,2.740720761809501305e+00
1.065014589816633270e+04,2.740720781984988363e+00
1.065014591945665597e+04,2.740720802158343794e+00
1.065014594074697925e+04,2.740720822329569817e+00
1.065014596203730252e+04,2.740720842498664656e+00
1.065014598332762580e+04,2.740720862665628754e+00
1.065014600461794907e+04,2.740720882830461225e+00
1.065014602590827417e+04,2.740720902993165176e+00
1.065014604719859744e+04,2.740720923153736610e+00
1.065014606848892072e+04,2.740720943312176416e+00
1.065014608977924399e+04,2.740720963468484594e+00
1.065014611106956727e+04,2.740720983622662477e+00
1.065014613235989054e+04,2.740721003774708731e+00
1.065014615365021382e+04,2.740721023924623800e+00
1.065014617494053709e+04,2.740721044072407242e+00
1.065014619623086037e+04,2.740721064218059055e+00
1.065014621752118546e+04,2.740721084361581461e+00
1.065014623881150874e+04,2.740721104502970462e+00
1.065014626010183201e+04,2.740721124642227835e+00
1.065014628139215529e+04,2.740721144779353580e+00
1.065014630268247856e+04,2.740721164914347252e+00
1.065014632397280184e+04,2.740721185047208852e+00
1.065014634526312511e+04,2.740721205177939268e+00
1.065014636655344839e+04,2.740721225306537612e+00
1.065014638784377166e+04,2.740721245433003439e+00
1.065014640913409676e+04,2.740721265557339414e+00
1.065014643042442003e+04,2.740721285679541097e+00
1.065014645171474331e+04,2.740721305799610708e+00
1.065014647300506658e+04,2.740721325917548246e+00
1.065014649429538986e+04,2.740721346033353711e+00
1.065014651558571313e+04,2.740721366147025773e+00
1.065014653687603641e+04,2.740721386258566206e+00
1.065014655816635968e+04,2.740721406367973678e+00
1.065014657945668296e+04,2.740721426475249523e+00
1.065014660074700805e+04,2.740721446580393739e+00
1.065014662203733133e+04,2.740721466683403218e+00
1.065014664332765460e+04,2.740721486784281069e+00
1.065014666461797788e+04,2.740721506883024627e+00
1.065014668590830115e+04,2.740721526979636113e+00
1.065014670719862443e+04,2.740721547074114639e+00
1.065014672848894770e+04,2.740721567166460648e+00
1.065014674977927098e+04,2.740721587256672809e+00
1.065014677106959425e+04,2.740721607344752009e+00
1.065014679235991935e+04,2.740721627430700025e+00
1.065014681365024262e+04,2.740721647514512860e+00
1.065014683494056590e+04,2.740721667596192290e+00
1.065014685623088917e+04,2.740721687675738760e+00
1.065014687752121245e+04,2.740721707753151382e+00
1.065014689881153572e+04,2.740721727828430598e+00
1.065014692010185900e+04,2.740721747901576855e+00
1.065014694139218227e+04,2.740721767972588818e+00
1.065014696268250555e+04,2.740721788041467377e+00
1.065014698397283064e+04,2.740721808108213420e+00
1.065014700526315391e+04,2.740721828172824726e+00
1.065014702655347719e+04,2.740721848235301294e+00
1.065014704784380046e+04,2.740721868295644459e+00
1.065014706913412374e+04,2.740721888353854219e+00
1.065014709042444701e+04,2.740721908409929242e+00
1.065014711171477029e+04,2.740721928463870416e+00
1.065014713300509356e+04,2.740721948515676853e+00
1.065014715429541684e+04,2.740721968565349886e+00
1.065014717558574193e+04,2.740721988612889959e+00
1.065014719687606521e+04,2.740722008658293518e+00
1.065014721816638848e+04,2.740722028701563673e+00
1.065014723945671176e+04,2.740722048742698203e+00
1.065014726074703503e+04,2.740722068781699328e+00
1.065014728203735831e+04,2.740722088818565272e+00
1.065014730332768158e+04,2.740722108853296479e+00
1.065014732461800486e+04,2.740722128885893394e+00
1.065014734590832813e+04,2.740722148916355128e+00
1.065014736719865323e+04,2.740722168944683901e+00
1.065014738848897650e+04,2.740722188970876161e+00
1.065014740977929978e+04,2.740722208994933240e+00
1.065014743106962305e+04,2.740722229016855138e+00
1.065014745235994633e+04,2.740722249036642744e+00
1.065014747365026960e+04,2.740722269054294724e+00
1.065014749494059288e+04,2.740722289069811080e+00
1.065014751623091615e+04,2.740722309083192698e+00
1.065014753752123943e+04,2.740722329094438692e+00
1.065014755881156452e+04,2.740722349103551281e+00
1.065014758010188780e+04,2.740722369110526913e+00
1.065014760139221107e+04,2.740722389115366475e+00
1.065014762268253435e+04,2.740722409118071301e+00
1.065014764397285762e+04,2.740722429118639614e+00
1.065014766526318090e+04,2.740722449117072745e+00
1.065014768655350417e+04,2.740722469113369808e+00
1.065014770784382745e+04,2.740722489107531246e+00
1.065014772913415072e+04,2.740722509099556614e+00
1.065014775042447582e+04,2.740722529089448134e+00
1.065014777171479909e+04,2.740722549077201808e+00
1.065014779300512237e+04,2.740722569062819414e+00
1.065014781429544564e+04,2.740722589046300062e+00
1.065014783558576892e+04,2.740722609027645529e+00
1.065014785687609219e+04,2.740722629006854927e+00
1.065014787816641547e+04,2.740722648983927368e+00
1.065014789945673874e+04,2.740722668958863739e+00
1.065014792074706202e+04,2.740722688931663598e+00
1.065014794203738711e+04,2.740722708902329163e+00
1.065014796332771039e+04,2.740722728870855995e+00
1.065014798461803366e+04,2.740722748837245870e+00
1.065014800590835694e+04,2.740722768801499676e+00
1.065014802719868021e+04,2.740722788763616968e+00
1.065014804848900349e+04,2.740722808723596859e+00
1.065014806977932676e+04,2.740722828681440237e+00
1.065014809106965004e+04,2.740722848637146214e+00
1.065014811235997331e+04,2.740722868590716121e+00
1.065014813365029840e+04,2.740722888542149516e+00
1.065014815494062168e+04,2.740722908491444620e+00
1.065014817623094496e+04,2.740722928438603212e+00
1.065014819752126823e+04,2.740722948383623958e+00
1.065014821881159151e+04,2.740722968326507747e+00
1.065014824010191478e+04,2.740722988267254134e+00
1.065014826139223806e+04,2.740723008205862676e+00
