Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.880038437500130385e+03,1.119185665142066171e+02
9.880038456059855889e+03,1.119158889748441510e+02
9.880038474619583212e+03,1.119132114208506437e+02
9.880038493179308716e+03,1.119105338527531899e+02
9.880038511739036039e+03,1.119078562700291855e+02
9.880038530298761543e+03,1.119051786732055973e+02
9.880038548858488866e+03,1.119025010617599634e+02
9.880038567418214370e+03,1.118998234362191511e+02
9.880038585977941693e+03,1.118971457960607268e+02
9.880038604537667197e+03,1.118944681418115863e+02
9.880038623097394520e+03,1.118917904729492392e+02
9.880038641657120024e+03,1.118891127900007092e+02
9.880038660216847347e+03,1.118864350924433069e+02
9.880038678776572851e+03,1.118837573808041981e+02
9.880038697336298355e+03,1.118810796548231536e+02
9.880038715896025678e+03,1.118784019142398876e+02
9.880038734455751182e+03,1.118757241595815799e+02
9.880038753015478505e+03,1.118730463903255412e+02
9.880038771575204009e+03,1.118703686069988663e+02
9.880038790134931332e+03,1.118676908090788658e+02
9.880038808694656836e+03,1.118650129970927480e+02
9.880038827254384159e+03,1.118623351705176958e+02
9.880038845814109663e+03,1.118596573298809176e+02
9.880038864373836986e+03,1.118569794746596955e+02
9.880038882933562491e+03,1.118543016053812096e+02
9.880038901493289814e+03,1.118516237215226994e+02
9.880038920053015318e+03,1.118489458236113876e+02
9.880038938612740822e+03,1.118462679113869598e+02
9.880038957172468145e+03,1.118435899845892152e+02
9.880038975732193649e+03,1.118409120437452628e+02
9.880038994291920972e+03,1.118382340883324702e+02
9.880039012851646476e+03,1.118355561188778466e+02
9.880039031411373799e+03,1.118328781348588166e+02
9.880039049971099303e+03,1.118302001368024889e+02
9.880039068530826626e+03,1.118275221241861175e+02
9.880039087090552130e+03,1.118248440975369107e+02
9.880039105650279453e+03,1.118221660563321080e+02
9.880039124210004957e+03,1.118194880010989039e+02
9.880039142769732280e+03,1.118168099313145660e+02
9.880039161329457784e+03,1.118141318475062320e+02
9.880039179889183288e+03,1.118114537494137153e+02
9.880039198448910611e+03,1.118087756367767014e+02
9.880039217008636115e+03,1.118060975101223562e+02
9.880039235568363438e+03,1.118034193689280613e+02
9.880039254128088942e+03,1.118007412137207979e+02
9.880039272687816265e+03,1.117980630439779759e+02
9.880039291247541769e+03,1.117953848602267470e+02
9.880039309807269092e+03,1.117927066619443082e+02
9.880039328366994596e+03,1.117900284496579246e+02
9.880039346926721919e+03,1.117873502228447791e+02
9.880039365486447423e+03,1.117846719820321510e+02
9.880039384046174746e+03,1.117819937266972374e+02
9.880039402605900250e+03,1.117793154573672041e+02
9.880039421165625754e+03,1.117766371737818503e+02
9.880039439725353077e+03,1.117739588756808615e+02
9.880039458285078581e+03,1.117712805635914179e+02
9.880039476844805904e+03,1.117686022369908301e+02
9.880039495404531408e+03,1.117659238964062212e+02
9.880039513964258731e+03,1.117632455413149302e+02
9.880039532523984235e+03,1.117605671722440519e+02
9.880039551083711558e+03,1.117578887886708685e+02
9.880039569643437062e+03,1.117552103911226311e+02
9.880039588203164385e+03,1.117525319790764655e+02
9.880039606762889889e+03,1.117498535530596939e+02
9.880039625322617212e+03,1.117471751125494990e+02
9.880039643882342716e+03,1.117444966580730608e+02
9.880039662442068220e+03,1.117418181893701785e+02
9.880039681001795543e+03,1.117391397061804668e+02
9.880039699561521047e+03,1.117364612090312761e+02
9.880039718121248370e+03,1.117337826973997608e+02
9.880039736680973874e+03,1.117311041718131008e+02
9.880039755240701197e+03,1.117284256317486353e+02
9.880039773800426701e+03,1.117257470777334305e+02
9.880039792360154024e+03,1.117230685092448255e+02
9.880039810919879528e+03,1.117203899268100145e+02
9.880039829479606851e+03,1.117177113299061517e+02
9.880039848039332355e+03,1.117150327190605736e+02
9.880039866599059678e+03,1.117123540937503776e+02
9.880039885158785182e+03,1.117096754545029000e+02
9.880039903718510686e+03,1.117069968010578265e+02
9.880039922278238009e+03,1.117043181331547856e+02
9.880039940837963513e+03,1.117016394513211424e+02
9.880039959397690836e+03,1.116989607550340082e+02
9.880039977957416340e+03,1.116962820448206486e+02
9.880039996517143663e+03,1.116936033201583456e+02
9.880040015076869167e+03,1.116909245815741798e+02
9.880040033636596490e+03,1.116882458285454618e+02
9.880040052196321994e+03,1.116855670615994569e+02
9.880040070756049317e+03,1.116828882802132199e+02
9.880040089315774821e+03,1.116802094849141724e+02
9.880040107875502144e+03,1.116775306751793693e+02
9.880040126435227648e+03,1.116748518515362036e+02
9.880040144994953152e+03,1.116721730137242758e+02
9.880040163554680475e+03,1.116694941614832430e+02
9.880040182114405980e+03,1.116668152953404984e+02
9.880040200674133303e+03,1.116641364147731537e+02
9.880040219233858807e+03,1.116614575203084456e+02
9.880040237793586130e+03,1.116587786114236422e+02
9.880040256353311634e+03,1.116560996886458952e+02
9.880040274913038957e+03,1.116534207514524439e+02
9.880040293472764461e+03,1.116507418003705538e+02
9.880040312032491784e+03,1.116480628348773791e+02
9.880040330592217288e+03,1.116453838555002420e+02
9.880040349151944611e+03,1.116427048617162114e+02
9.880040367711670115e+03,1.116400258540526806e+02
9.880040386271395619e+03,1.116373468322493210e+02
9.880040404831122942e+03,1.116346677960456759e+02
9.880040423390848446e+03,1.116319887459692524e+02
9.880040441950575769e+03,1.116293096814970340e+02
9.880040460510301273e+03,1.116266306031563715e+02
9.880040479070028596e+03,1.116239515104244333e+02
9.880040497629754100e+03,1.116212724038284989e+02
9.880040516189481423e+03,1.116185932828457510e+02
9.880040534749206927e+03,1.116159141480034265e+02
9.880040553308934250e+03,1.116132349987786654e+02
9.880040571868659754e+03,1.116105558356988325e+02
9.880040590428387077e+03,1.116078766582409685e+02
9.880040608988112581e+03,1.116051974669325233e+02
9.880040627547838085e+03,1.116025182615130973e+02
9.880040646107565408e+03,1.115998390417222765e+02
9.880040664667290912e+03,1.115971598080875253e+02
9.880040683227018235e+03,1.115944805600858558e+02
9.880040701786743739e+03,1.115918012982447465e+02
9.880040720346471062e+03,1.115891220220410816e+02
9.880040738906196566e+03,1.115864427320024532e+02
9.880040757465923889e+03,1.115837634276057173e+02
9.880040776025649393e+03,1.115810841093783807e+02
9.880040794585376716e+03,1.115784047767974414e+02
