Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.062594821759266779e+04,2.656982611644661318e+00
1.062594823627046208e+04,2.656982661139505097e+00
1.062594825494825454e+04,2.656982710626660804e+00
1.062594827362604883e+04,2.656982760106142649e+00
1.062594829230384312e+04,2.656982809577936422e+00
1.062594831098163559e+04,2.656982859042056333e+00
1.062594832965942987e+04,2.656982908498488172e+00
1.062594834833722416e+04,2.656982957947246149e+00
1.062594836701501663e+04,2.656983007388316054e+00
1.062594838569281092e+04,2.656983056821708544e+00
1.062594840437060520e+04,2.656983106247412962e+00
1.062594842304839767e+04,2.656983155665436414e+00
1.062594844172619196e+04,2.656983205075778898e+00
1.062594846040398625e+04,2.656983254478443968e+00
1.062594847908178053e+04,2.656983303873413860e+00
1.062594849775957300e+04,2.656983353260706338e+00
1.062594851643736729e+04,2.656983402640317848e+00
1.062594853511516158e+04,2.656983452012241287e+00
1.062594855379295404e+04,2.656983501376476653e+00
1.062594857247074833e+04,2.656983550733031052e+00
1.062594859114854262e+04,2.656983600081904484e+00
1.062594860982633509e+04,2.656983649423086291e+00
1.062594862850412937e+04,2.656983698756587131e+00
1.062594864718192366e+04,2.656983748082403451e+00
1.062594866585971613e+04,2.656983797400524594e+00
1.062594868453751042e+04,2.656983846710968322e+00
1.062594870321530470e+04,2.656983896013723978e+00
1.062594872189309717e+04,2.656983945308791562e+00
1.062594874057089146e+04,2.656983994596174625e+00
1.062594875924868575e+04,2.656984043875869617e+00
1.062594877792647821e+04,2.656984093147872983e+00
1.062594879660427250e+04,2.656984142412195382e+00
1.062594881528206679e+04,2.656984191668826156e+00
1.062594883395985926e+04,2.656984240917765305e+00
1.062594885263765354e+04,2.656984290159023487e+00
1.062594887131544783e+04,2.656984339392593597e+00
1.062594888999324030e+04,2.656984388618464976e+00
1.062594890867103459e+04,2.656984437836655388e+00
1.062594892734882887e+04,2.656984487047157728e+00
1.062594894602662316e+04,2.656984536249968443e+00
1.062594896470441563e+04,2.656984585445083979e+00
1.062594898338220992e+04,2.656984634632514997e+00
1.062594900206000420e+04,2.656984683812250836e+00
1.062594902073779667e+04,2.656984732984295050e+00
1.062594903941559096e+04,2.656984782148654745e+00
1.062594905809338525e+04,2.656984831305322814e+00
1.062594907677117772e+04,2.656984880454292153e+00
1.062594909544897200e+04,2.656984929595576972e+00
1.062594911412676629e+04,2.656984978729170166e+00
1.062594913280455876e+04,2.656985027855064629e+00
1.062594915148235305e+04,2.656985076973274573e+00
1.062594917016014733e+04,2.656985126083785786e+00
1.062594918883793980e+04,2.656985175186601822e+00
1.062594920751573409e+04,2.656985224281733338e+00
1.062594922619352838e+04,2.656985273369169676e+00
1.062594924487132084e+04,2.656985322448907283e+00
1.062594926354911513e+04,2.656985371520953265e+00
1.062594928222690942e+04,2.656985420585307622e+00
1.062594930090470189e+04,2.656985469641959696e+00
1.062594931958249617e+04,2.656985518690927250e+00
1.062594933826029046e+04,2.656985567732196074e+00
1.062594935693808293e+04,2.656985616765766167e+00
1.062594937561587722e+04,2.656985665791644635e+00
1.062594939429367150e+04,2.656985714809827925e+00
1.062594941297146579e+04,2.656985763820316038e+00
1.062594943164925826e+04,2.656985812823101867e+00
1.062594945032705255e+04,2.656985861818196071e+00
1.062594946900484683e+04,2.656985910805595097e+00
1.062594948768263930e+04,2.656985959785291840e+00
1.062594950636043359e+04,2.656986008757296958e+00
1.062594952503822788e+04,2.656986057721603345e+00
1.062594954371602034e+04,2.656986106678207449e+00
1.062594956239381463e+04,2.656986155627116375e+00
1.062594958107160892e+04,2.656986204568330123e+00
1.062594959974940139e+04,2.656986253501838036e+00
1.062594961842719567e+04,2.656986302427654323e+00
1.062594963710498996e+04,2.656986351345771880e+00
1.062594965578278243e+04,2.656986400256183600e+00
1.062594967446057672e+04,2.656986449158903696e+00
1.062594969313837100e+04,2.656986498053921508e+00
1.062594971181616347e+04,2.656986546941237037e+00
1.062594973049395776e+04,2.656986595820857389e+00
1.062594974917175205e+04,2.656986644692771904e+00
1.062594976784954451e+04,2.656986693556984136e+00
1.062594978652733880e+04,2.656986742413501190e+00
1.062594980520513309e+04,2.656986791262315961e+00
1.062594982388292556e+04,2.656986840103428449e+00
1.062594984256071984e+04,2.656986888936838653e+00
1.062594986123851413e+04,2.656986937762546575e+00
1.062594987991630842e+04,2.656986986580555765e+00
1.062594989859410089e+04,2.656987035390855567e+00
1.062594991727189517e+04,2.656987084193460191e+00
1.062594993594968946e+04,2.656987132988362532e+00
1.062594995462748193e+04,2.656987181775555484e+00
1.062594997330527622e+04,2.656987230555049706e+00
1.062594999198307050e+04,2.656987279326838092e+00
1.062595001066086297e+04,2.656987328090917089e+00
1.062595002933865726e+04,2.656987376847304461e+00
1.062595004801645155e+04,2.656987425595978891e+00
1.062595006669424401e+04,2.656987474336947486e+00
1.062595008537203830e+04,2.656987523070217350e+00
1.062595010404983259e+04,2.656987571795777825e+00
1.062595012272762506e+04,2.656987620513632464e+00
1.062595014140541934e+04,2.656987669223784820e+00
1.062595016008321363e+04,2.656987717926231340e+00
1.062595017876100610e+04,2.656987766620964919e+00
1.062595019743880039e+04,2.656987815307999767e+00
1.062595021611659467e+04,2.656987863987325227e+00
1.062595023479438714e+04,2.656987912658941298e+00
1.062595025347218143e+04,2.656987961322855085e+00
1.062595027214997572e+04,2.656988009979059484e+00
1.062595029082776819e+04,2.656988058627554494e+00
1.062595030950556247e+04,2.656988107268343668e+00
1.062595032818335676e+04,2.656988155901427007e+00
1.062595034686115105e+04,2.656988204526800956e+00
1.062595036553894352e+04,2.656988253144458412e+00
1.062595038421673780e+04,2.656988301754420689e+00
1.062595040289453209e+04,2.656988350356666473e+00
1.062595042157232456e+04,2.656988398951195762e+00
1.062595044025011885e+04,2.656988447538026321e+00
1.062595045892791313e+04,2.656988496117143939e+00
1.062595047760570560e+04,2.656988544688548615e+00
1.062595049628349989e+04,2.656988593252247455e+00
1.062595051496129418e+04,2.656988641808233353e+00
1.062595053363908664e+04,2.656988690356506311e+00
1.062595055231688093e+04,2.656988738897073432e+00
1.062595057099467522e+04,2.656988787429924059e+00
1.062595058967246769e+04,2.656988835955065298e+00
1.062595060835026197e+04,2.656988884472493595e+00
1.062595062702805626e+04,2.656988932982212503e+00
1.062595064570584873e+04,2.656988981484214918e+00
1.062595066438364302e+04,2.656989029978507943e+00
1.062595068306143730e+04,2.656989078465091580e+00
1.062595070173922977e+04,2.656989126943951618e+00
1.062595072041702406e+04,2.656989175415109372e+00
1.062595073909481835e+04,2.656989223878550632e+00
1.062595075777261081e+04,2.656989272334275398e+00
1.062595077645040510e+04,2.656989320782287223e+00
