Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.065014266203716397e+04,2.657365515479011009e+00
1.065014268332748725e+04,2.657365566107408483e+00
1.065014270461781052e+04,2.657365616725524404e+00
1.065014272590813380e+04,2.657365667333365877e+00
1.065014274719845707e+04,2.657365717930929350e+00
1.065014276848878217e+04,2.657365768518218374e+00
1.065014278977910544e+04,2.657365819095229398e+00
1.065014281106942872e+04,2.657365869661955315e+00
1.065014283235975199e+04,2.657365920218403232e+00
1.065014285365007527e+04,2.657365970764576701e+00
1.065014287494039854e+04,2.657366021300465064e+00
1.065014289623072182e+04,2.657366071826078979e+00
1.065014291752104509e+04,2.657366122341407788e+00
1.065014293881136837e+04,2.657366172846455044e+00
1.065014296010169346e+04,2.657366223341227851e+00
1.065014298139201674e+04,2.657366273825715552e+00
1.065014300268234001e+04,2.657366324299921700e+00
1.065014302397266329e+04,2.657366374763846295e+00
1.065014304526298656e+04,2.657366425217489336e+00
1.065014306655330984e+04,2.657366475660847271e+00
1.065014308784363311e+04,2.657366526093920100e+00
1.065014310913395639e+04,2.657366576516718482e+00
1.065014313042427966e+04,2.657366626929228204e+00
1.065014315171460476e+04,2.657366677331456373e+00
1.065014317300492803e+04,2.657366727723395883e+00
1.065014319429525131e+04,2.657366778105053839e+00
1.065014321558557458e+04,2.657366828476426690e+00
1.065014323687589786e+04,2.657366878837514435e+00
1.065014325816622113e+04,2.657366929188317073e+00
1.065014327945654441e+04,2.657366979528831052e+00
1.065014330074686768e+04,2.657367029859063479e+00
1.065014332203719096e+04,2.657367080179010799e+00
1.065014334332751605e+04,2.657367130488669460e+00
1.065014336461783932e+04,2.657367180788043015e+00
1.065014338590816260e+04,2.657367231077124359e+00
1.065014340719848587e+04,2.657367281355920596e+00
1.065014342848880915e+04,2.657367331624431728e+00
1.065014344977913242e+04,2.657367381882650648e+00
1.065014347106945570e+04,2.657367432130580909e+00
1.065014349235977897e+04,2.657367482368222511e+00
1.065014351365010225e+04,2.657367532595575454e+00
1.065014353494042734e+04,2.657367582812643292e+00
1.065014355623075062e+04,2.657367633019422470e+00
1.065014357752107389e+04,2.657367683215902332e+00
1.065014359881139717e+04,2.657367733402097087e+00
1.065014362010172044e+04,2.657367783578003184e+00
1.065014364139204372e+04,2.657367833743617069e+00
1.065014366268236699e+04,2.657367883898931638e+00
1.065014368397269027e+04,2.657367934043964652e+00
1.065014370526301354e+04,2.657367984178701903e+00
1.065014372655333864e+04,2.657368034303150495e+00
1.065014374784366191e+04,2.657368084417303322e+00
1.065014376913398519e+04,2.657368134521160385e+00
1.065014379042430846e+04,2.657368184614728790e+00
1.065014381171463174e+04,2.657368234698001430e+00
1.065014383300495501e+04,2.657368284770978306e+00
1.065014385429527829e+04,2.657368334833666523e+00
1.065014387558560156e+04,2.657368384886055424e+00
1.065014389687592484e+04,2.657368434928152112e+00
1.065014391816624993e+04,2.657368484959956589e+00
1.065014393945657321e+04,2.657368534981461750e+00
1.065014396074689648e+04,2.657368584992671146e+00
1.065014398203721976e+04,2.657368634993584777e+00
1.065014400332754303e+04,2.657368684984202645e+00
1.065014402461786631e+04,2.657368734964524748e+00
1.065014404590818958e+04,2.657368784934547534e+00
1.065014406719851286e+04,2.657368834894271004e+00
1.065014408848883613e+04,2.657368884843702261e+00
1.065014410977916123e+04,2.657368934782834202e+00
1.065014413106948450e+04,2.657368984711670379e+00
1.065014415235980778e+04,2.657369034630203686e+00
1.065014417365013105e+04,2.657369084538437676e+00
1.065014419494045433e+04,2.657369134436375901e+00
1.065014421623077760e+04,2.657369184324014810e+00
1.065014423752110088e+04,2.657369234201350849e+00
1.065014425881142415e+04,2.657369284068391124e+00
1.065014428010174743e+04,2.657369333925121424e+00
1.065014430139207252e+04,2.657369383771563065e+00
1.065014432268239580e+04,2.657369433607701836e+00
1.065014434397271907e+04,2.657369483433534185e+00
1.065014436526304235e+04,2.657369533249063664e+00
1.065014438655336562e+04,2.657369583054293827e+00
1.065014440784368890e+04,2.657369632849224672e+00
1.065014442913401217e+04,2.657369682633849095e+00
1.065014445042433545e+04,2.657369732408170648e+00
1.065014447171465872e+04,2.657369782172189332e+00
1.065014449300498381e+04,2.657369831925912251e+00
1.065014451429530709e+04,2.657369881669321643e+00
1.065014453558563036e+04,2.657369931402431718e+00
1.065014455687595364e+04,2.657369981125238922e+00
1.065014457816627691e+04,2.657370030837732600e+00
1.065014459945660019e+04,2.657370080539930512e+00
1.065014462074692347e+04,2.657370130231814898e+00
1.065014464203724674e+04,2.657370179913403518e+00
1.065014466332757002e+04,2.657370229584678611e+00
1.065014468461789511e+04,2.657370279245654388e+00
1.065014470590821838e+04,2.657370328896316636e+00
1.065014472719854166e+04,2.657370378536672462e+00
1.065014474848886493e+04,2.657370428166725418e+00
1.065014476977918821e+04,2.657370477786468399e+00
1.065014479106951148e+04,2.657370527395901405e+00
1.065014481235983476e+04,2.657370576995031541e+00
1.065014483365015803e+04,2.657370626583844597e+00
1.065014485494048131e+04,2.657370676162354783e+00
1.065014487623080640e+04,2.657370725730558547e+00
1.065014489752112968e+04,2.657370775288448783e+00
1.065014491881145295e+04,2.657370824836036149e+00
1.065014494010177623e+04,2.657370874373302883e+00
1.065014496139209950e+04,2.657370923900266746e+00
1.065014498268242278e+04,2.657370973416917082e+00
1.065014500397274605e+04,2.657371022923257442e+00
1.065014502526306933e+04,2.657371072419284275e+00
1.065014504655339260e+04,2.657371121905004685e+00
1.065014506784371770e+04,2.657371171380411567e+00
1.065014508913404097e+04,2.657371220845504922e+00
1.065014511042436425e+04,2.657371270300284749e+00
1.065014513171468752e+04,2.657371319744751048e+00
1.065014515300501080e+04,2.657371369178907372e+00
1.065014517429533407e+04,2.657371418602746616e+00
1.065014519558565735e+04,2.657371468016279437e+00
1.065014521687598062e+04,2.657371517419491624e+00
1.065014523816630390e+04,2.657371566812390284e+00
1.065014525945662899e+04,2.657371616194978969e+00
1.065014528074695227e+04,2.657371665567250574e+00
1.065014530203727554e+04,2.657371714929205098e+00
1.065014532332759882e+04,2.657371764280842541e+00
1.065014534461792209e+04,2.657371813622166457e+00
1.065014536590824537e+04,2.657371862953173292e+00
1.065014538719856864e+04,2.657371912273863046e+00
1.065014540848889192e+04,2.657371961584239273e+00
1.065014542977921519e+04,2.657372010884294866e+00
1.065014545106954029e+04,2.657372060174040485e+00
1.065014547235986356e+04,2.657372109453458364e+00
1.065014549365018684e+04,2.657372158722569822e+00
1.065014551494051011e+04,2.657372207981349987e+00
1.065014553623083339e+04,2.657372257229820178e+00
1.065014555752115666e+04,2.657372306467966183e+00
1.065014557881147994e+04,2.657372355695795108e+00
1.065014560010180321e+04,2.657372404913303399e+00
1.065014562139212649e+04,2.657372454120494609e+00
1.065014564268245158e+04,2.657372503317368739e+00
1.065014566397277486e+04,2.657372552503918683e+00
1.065014568526309813e+04,2.657372601680144442e+00
1.065014570655342141e+04,2.657372650846053119e+00
1.065014572784374468e+04,2.657372700001641164e+00
1.065014574913406796e+04,2.657372749146905022e+00
1.065014577042439123e+04,2.657372798281844695e+00
1.065014579171471451e+04,2.657372847406467287e+00
1.065014581300503778e+04,2.657372896520762140e+00
1.065014583429536287e+04,2.657372945624743465e+00
1.065014585558568615e+04,2.657372994718393500e+00
1.065014587687600942e+04,2.657373043801722901e+00
1.065014589816633270e+04,2.657373092874724563e+00
1.065014591945665597e+04,2.657373141937405592e+00
1.065014594074697925e+04,2.657373190989762435e+00
1.065014596203730252e+04,2.657373240031795092e+00
1.065014598332762580e+04,2.657373289063503563e+00
1.065014600461794907e+04,2.657373338084880743e+00
1.065014602590827417e+04,2.657373387095940842e+00
1.065014604719859744e+04,2.657373436096669650e+00
1.065014606848892072e+04,2.657373485087074272e+00
1.065014608977924399e+04,2.657373534067144050e+00
1.065014611106956727e+04,2.657373583036896747e+00
1.065014613235989054e+04,2.657373631996318153e+00
1.065014615365021382e+04,2.657373680945415373e+00
1.065014617494053709e+04,2.657373729884181301e+00
