Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.905193796296138316e+03,2.655875552576009824e+00
9.905193817625817246e+03,2.655875577979742275e+00
9.905193838955496176e+03,2.655875603378028416e+00
9.905193860285176925e+03,2.655875628770875352e+00
9.905193881614855854e+03,2.655875654158275978e+00
9.905193902944534784e+03,2.655875679540237400e+00
9.905193924274213714e+03,2.655875704916745406e+00
9.905193945603892644e+03,2.655875730287817760e+00
9.905193966933571573e+03,2.655875755653440251e+00
9.905193988263252322e+03,2.655875781013619985e+00
9.905194009592931252e+03,2.655875806368353409e+00
9.905194030922610182e+03,2.655875831717636970e+00
9.905194052252289111e+03,2.655875857061474221e+00
9.905194073581968041e+03,2.655875882399868715e+00
9.905194094911648790e+03,2.655875907732816898e+00
9.905194116241327720e+03,2.655875933060311667e+00
9.905194137571006650e+03,2.655875958382360125e+00
9.905194158900685579e+03,2.655875983698958720e+00
9.905194180230364509e+03,2.655876009010111005e+00
9.905194201560043439e+03,2.655876034315813428e+00
9.905194222889724188e+03,2.655876059616065987e+00
9.905194244219403117e+03,2.655876084910868684e+00
9.905194265549082047e+03,2.655876110200217965e+00
9.905194286878760977e+03,2.655876135484117384e+00
9.905194308208439907e+03,2.655876160762566940e+00
9.905194329538120655e+03,2.655876186035563080e+00
9.905194350867799585e+03,2.655876211303109358e+00
9.905194372197478515e+03,2.655876236565198667e+00
9.905194393527157445e+03,2.655876261821838114e+00
9.905194414856836374e+03,2.655876287073020592e+00
9.905194436186517123e+03,2.655876312318756760e+00
9.905194457516196053e+03,2.655876337559032407e+00
9.905194478845874983e+03,2.655876362793854639e+00
9.905194500175553912e+03,2.655876388023223456e+00
9.905194521505232842e+03,2.655876413247131751e+00
9.905194542834911772e+03,2.655876438465590184e+00
9.905194564164592521e+03,2.655876463678591648e+00
9.905194585494271450e+03,2.655876488886132591e+00
9.905194606823950380e+03,2.655876514088220119e+00
9.905194628153629310e+03,2.655876539284850679e+00
9.905194649483308240e+03,2.655876564476020718e+00
9.905194670812988988e+03,2.655876589661733789e+00
9.905194692142667918e+03,2.655876614841986338e+00
9.905194713472346848e+03,2.655876640016781920e+00
9.905194734802025778e+03,2.655876665186116981e+00
9.905194756131704708e+03,2.655876690349995073e+00
9.905194777461383637e+03,2.655876715508409092e+00
9.905194798791064386e+03,2.655876740661366142e+00
9.905194820120743316e+03,2.655876765808859119e+00
9.905194841450422246e+03,2.655876790950891575e+00
9.905194862780101175e+03,2.655876816087467063e+00
9.905194884109780105e+03,2.655876841218571371e+00
9.905194905439460854e+03,2.655876866344218712e+00
9.905194926769139784e+03,2.655876891464401979e+00
9.905194948098818713e+03,2.655876916579124725e+00
9.905194969428497643e+03,2.655876941688379844e+00
9.905194990758176573e+03,2.655876966792167337e+00
9.905195012087855503e+03,2.655876991890497862e+00
9.905195033417536251e+03,2.655877016983360761e+00
9.905195054747215181e+03,2.655877042070756033e+00
9.905195076076894111e+03,2.655877067152687232e+00
9.905195097406573041e+03,2.655877092229154357e+00
9.905195118736251970e+03,2.655877117300150303e+00
9.905195140065932719e+03,2.655877142365682175e+00
9.905195161395611649e+03,2.655877167425749974e+00
9.905195182725290579e+03,2.655877192480343041e+00
9.905195204054969508e+03,2.655877217529468481e+00
9.905195225384648438e+03,2.655877242573129848e+00
9.905195246714329187e+03,2.655877267611323589e+00
9.905195268044008117e+03,2.655877292644046150e+00
9.905195289373687046e+03,2.655877317671297533e+00
9.905195310703365976e+03,2.655877342693077736e+00
9.905195332033044906e+03,2.655877367709390313e+00
9.905195353362723836e+03,2.655877392720228158e+00
9.905195374692404584e+03,2.655877417725598377e+00
9.905195396022083514e+03,2.655877442725493864e+00
9.905195417351762444e+03,2.655877467719918172e+00
9.905195438681441374e+03,2.655877492708871301e+00
9.905195460011120304e+03,2.655877517692353251e+00
9.905195481340801052e+03,2.655877542670360469e+00
9.905195502670479982e+03,2.655877567642889403e+00
9.905195524000158912e+03,2.655877592609947158e+00
9.905195545329837842e+03,2.655877617571533733e+00
9.905195566659516771e+03,2.655877642527642024e+00
9.905195587989195701e+03,2.655877667478275583e+00
9.905195609318876450e+03,2.655877692423434411e+00
9.905195630648555380e+03,2.655877717363118506e+00
9.905195651978234309e+03,2.655877742297320765e+00
9.905195673307913239e+03,2.655877767226051844e+00
9.905195694637592169e+03,2.655877792149301087e+00
9.905195715967272918e+03,2.655877817067079150e+00
9.905195737296951847e+03,2.655877841979371823e+00
9.905195758626630777e+03,2.655877866886189764e+00
9.905195779956309707e+03,2.655877891787525868e+00
9.905195801285988637e+03,2.655877916683383688e+00
9.905195822615667566e+03,2.655877941573766776e+00
9.905195843945348315e+03,2.655877966458668027e+00
9.905195865275027245e+03,2.655877991338087440e+00
