Time (BJD_TBD - 2450000), F_e/F_star (ppm)
1.027292596064833924e+04,1.246400021282701545e+02
1.027292604692779969e+04,1.246468535319181399e+02
1.027292613320726196e+04,1.246537046317029507e+02
1.027292621948672240e+04,1.246605554272816079e+02
1.027292630576618467e+04,1.246674059188888464e+02
1.027292639204564512e+04,1.246742561061816872e+02
1.027292647832510738e+04,1.246811059893949079e+02
1.027292656460456783e+04,1.246879555681855436e+02
1.027292665088403010e+04,1.246948048427883009e+02
1.027292673716349054e+04,1.247016538128603145e+02
1.027292682344295281e+04,1.247085024786361913e+02
1.027292690972241326e+04,1.247153508397731230e+02
1.027292699600187370e+04,1.247221988963613910e+02
1.027292708228133597e+04,1.247290466484912770e+02
1.027292716856079642e+04,1.247358940958199014e+02
1.027292725484025868e+04,1.247427412385819707e+02
1.027292734111971913e+04,1.247495880764346623e+02
1.027292742739918140e+04,1.247564346096125547e+02
1.027292751367864184e+04,1.247632808377729532e+02
1.027292759995810411e+04,1.247701267611503795e+02
1.027292768623756456e+04,1.247769723794020962e+02
1.027292777251702682e+04,1.247838176927627529e+02
1.027292785879648727e+04,1.247906627008895839e+02
1.027292794507594954e+04,1.247975074040171677e+02
1.027292803135540998e+04,1.248043518018027669e+02
1.027292811763487043e+04,1.248111958943367199e+02
1.027292820391433270e+04,1.248180396817091804e+02
1.027292829019379315e+04,1.248248831635775531e+02
1.027292837647325541e+04,1.248317263401763029e+02
1.027292846275271586e+04,1.248385692111628344e+02
1.027292854903217813e+04,1.248454117767716696e+02
1.027292863531163857e+04,1.248522540366602271e+02
1.027292872159110084e+04,1.248590959910629294e+02
1.027292880787056129e+04,1.248659376396372238e+02
1.027292889415002355e+04,1.248727789826176320e+02
1.027292898042948400e+04,1.248796200196616013e+02
1.027292906670894445e+04,1.248864607508592997e+02
1.027292915298840671e+04,1.248933011763009802e+02
1.027292923926786716e+04,1.249001412956440618e+02
1.027292932554732943e+04,1.249069811091230378e+02
1.027292941182678987e+04,1.249138206163953981e+02
1.027292949810625214e+04,1.249206598176956362e+02
1.027292958438571259e+04,1.249274987126811993e+02
1.027292967066517485e+04,1.249343373015864671e+02
1.027292975694463530e+04,1.249411755840691285e+02
1.027292984322409757e+04,1.249480135603634778e+02
1.027292992950355801e+04,1.249548512301271899e+02
1.027293001578302028e+04,1.249616885935945305e+02
1.027293010206248073e+04,1.249685256504231745e+02
1.027293018834194118e+04,1.249753624007032897e+02
1.027293027462140344e+04,1.249821988445251009e+02
1.027293036090086389e+04,1.249890349815461832e+02
1.027293044718032615e+04,1.249958708120008737e+02
1.027293053345978660e+04,1.250027063355469039e+02
1.027293061973924887e+04,1.250095415524185967e+02
1.027293070601870932e+04,1.250163764622735982e+02
1.027293079229817158e+04,1.250232110653462598e+02
1.027293087857763203e+04,1.250300453612942988e+02
1.027293096485709430e+04,1.250368793503519527e+02
1.027293105113655474e+04,1.250437130321770525e+02
1.027293113741601519e+04,1.250505464068597661e+02
1.027293122369547746e+04,1.250573794744901193e+02
1.027293130997493790e+04,1.250642122347259999e+02
1.027293139625440017e+04,1.250710446878016313e+02
1.027293148253386062e+04,1.250778768333748303e+02
1.027293156881332288e+04,1.250847086716798202e+02
1.027293165509278333e+04,1.250915402023744747e+02
1.027293174137224560e+04,1.250983714256929460e+02
1.027293182765170604e+04,1.251052023412931788e+02
1.027293191393116831e+04,1.251120329494093539e+02
1.027293200021062876e+04,1.251188632496993591e+02
1.027293208649008920e+04,1.251256932422533481e+02
1.027293217276955147e+04,1.251325229271612756e+02
1.027293225904901192e+04,1.251393523040813278e+02
1.027293234532847418e+04,1.251461813732474297e+02
1.027293243160793463e+04,1.251530101343177535e+02
1.027293251788739690e+04,1.251598385875262238e+02
1.027293260416685735e+04,1.251666667325310129e+02
1.027293269044631961e+04,1.251734945695661168e+02
1.027293277672578006e+04,1.251803220982896647e+02
1.027293286300524233e+04,1.251871493189356528e+02
1.027293294928470277e+04,1.251939762311622673e+02
1.027293303556416504e+04,1.252008028352033620e+02
