Time (BJD_TBD - 2450000), F_h/F_star (ppm)
9.882460428240709007e+03,1.803680210965822184e+01
9.882460446256400246e+03,1.803688701590910526e+01
9.882460464272089666e+03,1.803697192202316302e+01
9.882460482287780906e+03,1.803705682801754762e+01
9.882460500303470326e+03,1.803714173387510655e+01
9.882460518319161565e+03,1.803722663961298167e+01
9.882460536334850985e+03,1.803731154521402757e+01
9.882460554350542225e+03,1.803739645069538255e+01
9.882460572366233464e+03,1.803748135604847036e+01
9.882460590381922884e+03,1.803756626126472185e+01
9.882460608397614124e+03,1.803765116636127530e+01
9.882460626413303544e+03,1.803773607132098178e+01
9.882460644428994783e+03,1.803782097616098312e+01
9.882460662444684203e+03,1.803790588086413038e+01
9.882460680460375443e+03,1.803799078544756895e+01
9.882460698476066682e+03,1.803807568990271903e+01
9.882460716491756102e+03,1.803816059422101148e+01
9.882460734507447341e+03,1.803824549841957747e+01
9.882460752523136762e+03,1.803833040248128228e+01
9.882460770538828001e+03,1.803841530642325353e+01
9.882460788554517421e+03,1.803850021022835648e+01
9.882460806570208661e+03,1.803858511391372588e+01
9.882460824585899900e+03,1.803867001747078902e+01
9.882460842601589320e+03,1.803875492089096255e+01
9.882460860617280559e+03,1.803883982419140253e+01
9.882460878632969980e+03,1.803892472735494579e+01
9.882460896648661219e+03,1.803900963039874483e+01
9.882460914664350639e+03,1.803909453330564361e+01
9.882460932680041878e+03,1.803917943609279817e+01
9.882460950695733118e+03,1.803926433875161450e+01
9.882460968711422538e+03,1.803934924127353057e+01
9.882460986727113777e+03,1.803943414367567755e+01
9.882461004742803198e+03,1.803951904594092071e+01
9.882461022758494437e+03,1.803960394808638767e+01
9.882461040774183857e+03,1.803968885009493661e+01
9.882461058789875096e+03,1.803977375198371647e+01
9.882461076805566336e+03,1.803985865374414033e+01
9.882461094821255756e+03,1.803994355536763905e+01
9.882461112836946995e+03,1.804002845687135093e+01
9.882461130852636416e+03,1.804011335823813411e+01
9.882461148868327655e+03,1.804019825948512334e+01
9.882461166884017075e+03,1.804028316059517678e+01
9.882461184899708314e+03,1.804036806158542561e+01
9.882461202915399554e+03,1.804045296244730778e+01
9.882461220931088974e+03,1.804053786317223995e+01
9.882461238946780213e+03,1.804062276377736751e+01
9.882461256962469633e+03,1.804070766424553796e+01
9.882461274978160873e+03,1.804079256459389669e+01
9.882461292993850293e+03,1.804087746480529475e+01
9.882461311009541532e+03,1.804096236489687399e+01
9.882461329025232772e+03,1.804104726486005816e+01
9.882461347040922192e+03,1.804113216468627456e+01
9.882461365056613431e+03,1.804121706439265793e+01
9.882461383072302851e+03,1.804130196396206998e+01
9.882461401087994091e+03,1.804138686341164544e+01
9.882461419103683511e+03,1.804147176272423891e+01
9.882461437119374750e+03,1.804155666191699225e+01
9.882461455135065989e+03,1.804164156098132921e+01
9.882461473150755410e+03,1.804172645990867352e+01
9.882461491166446649e+03,1.804181135871616704e+01
9.882461509182136069e+03,1.804189625738667146e+01
9.882461527197827309e+03,1.804198115593730734e+01
9.882461545213516729e+03,1.804206605435095057e+01
9.882461563229207968e+03,1.804215095264472168e+01
9.882461581244899207e+03,1.804223585081006220e+01
9.882461599260588628e+03,1.804232074883838521e+01
9.882461617276279867e+03,1.804240564674684322e+01
9.882461635291969287e+03,1.804249054451827305e+01
9.882461653307660526e+03,1.804257544216983433e+01
9.882461671323349947e+03,1.804266033968436034e+01
9.882461689339041186e+03,1.804274523707901068e+01
9.882461707354732425e+03,1.804283013434519489e+01
9.882461725370421846e+03,1.804291503147435449e+01
9.882461743386113085e+03,1.804299992848361001e+01
9.882461761401802505e+03,1.804308482535583735e+01
9.882461779417493744e+03,1.804316972210814995e+01
9.882461797433183165e+03,1.804325461872342728e+01
9.882461815448874404e+03,1.804333951521878987e+01
9.882461833464563824e+03,1.804342441157711008e+01
9.882461851480255064e+03,1.804350930781551199e+01
9.882461869495946303e+03,1.804359420392542646e+01
9.882461887511635723e+03,1.804367909989828078e+01
9.882461905527326962e+03,1.804376399575121326e+01
9.882461923543016383e+03,1.804384889146707494e+01
9.882461941558707622e+03,1.804393378706300766e+01
9.882461959574397042e+03,1.804401868252187313e+01
9.882461977590088281e+03,1.804410357786079544e+01
9.882461995605779521e+03,1.804418847307121965e+01
9.882462013621468941e+03,1.804427336814455174e+01
9.882462031637160180e+03,1.804435826309795132e+01
9.882462049652849601e+03,1.804444315791425169e+01
9.882462067668540840e+03,1.804452805261060888e+01
9.882462085684230260e+03,1.804461294716986330e+01
9.882462103699921499e+03,1.804469784160916745e+01
9.882462121715612739e+03,1.804478273591993442e+01
9.882462139731302159e+03,1.804486763009360573e+01
9.882462157746993398e+03,1.804495252414730189e+01
9.882462175762682818e+03,1.804503741806389883e+01
9.882462193778374058e+03,1.804512231186051707e+01
9.882462211794063478e+03,1.804520720552002189e+01
9.882462229809754717e+03,1.804529209905954446e+01
9.882462247825445957e+03,1.804537699247051918e+01
9.882462265841135377e+03,1.804546188574436272e+01
9.882462283856826616e+03,1.804554677889822756e+01
9.882462301872516036e+03,1.804563167191495054e+01
9.882462319888207276e+03,1.804571656481168773e+01
9.882462337903896696e+03,1.804580145757128307e+01
9.882462355919587935e+03,1.804588635021087839e+01
9.882462373935279174e+03,1.804597124272190101e+01
9.882462391950968595e+03,1.804605613509577466e+01
9.882462409966659834e+03,1.804614102734964476e+01
9.882462427982349254e+03,1.804622591946635524e+01
9.882462445998040494e+03,1.804631081146305149e+01
9.882462464013729914e+03,1.804639570332259169e+01
9.882462482029421153e+03,1.804648059506210700e+01
9.882462500045112392e+03,1.804656548667302829e+01
9.882462518060801813e+03,1.804665037814678286e+01
9.882462536076493052e+03,1.804673526950050544e+01
9.882462554092182472e+03,1.804682016071705064e+01
9.882462572107873712e+03,1.804690505181355675e+01
9.882462590123563132e+03,1.804698994277288904e+01
9.882462608139254371e+03,1.804707483361217513e+01
9.882462626154945610e+03,1.804715972432284588e+01
9.882462644170635031e+03,1.804724461489632148e+01
9.882462662186326270e+03,1.804732950534974734e+01
9.882462680202015690e+03,1.804741439566597450e+01
9.882462698217706929e+03,1.804749928586214835e+01
9.882462716233396350e+03,1.804758417592111286e+01
9.882462734249087589e+03,1.804766906586001696e+01
9.882462752264778828e+03,1.804775395567028085e+01
9.882462770280468249e+03,1.804783884534333538e+01
9.882462788296159488e+03,1.804792373489631530e+01
9.882462806311848908e+03,1.804800862431207165e+01
9.882462824327540147e+03,1.804809351360775693e+01
9.882462842343229568e+03,1.804817840276620800e+01
9.882462860358920807e+03,1.804826329180457734e+01
9.882462878374612046e+03,1.804834818071428515e+01
9.882462896390301466e+03,1.804843306948676585e+01
9.882462914405992706e+03,1.804851795813914350e+01
9.882462932421682126e+03,1.804860284665428338e+01
9.882462950437373365e+03,1.804868773504932022e+01
9.882462968453062786e+03,1.804877262330711574e+01
9.882462986468754025e+03,1.804885751144479755e+01
9.882463004484445264e+03,1.804894239945380363e+01
9.882463022500134684e+03,1.804902728732554706e+01
9.882463040515825924e+03,1.804911217507718035e+01
9.882463058531515344e+03,1.804919706269154744e+01
9.882463076547206583e+03,1.804928195018579373e+01
9.882463094562896003e+03,1.804936683754277027e+01
9.882463112578587243e+03,1.804945172477961890e+01
9.882463130594278482e+03,1.804953661188776337e+01
9.882463148609967902e+03,1.804962149885863099e+01
9.882463166625659142e+03,1.804970638570935648e+01
9.882463184641348562e+03,1.804979127242280512e+01
9.882463202657039801e+03,1.804987615901610454e+01
9.882463220672729221e+03,1.804996104547211644e+01
9.882463238688420461e+03,1.805004593180797556e+01
9.882463256704111700e+03,1.805013081801511277e+01
9.882463274719801120e+03,1.805021570408495180e+01
9.882463292735492359e+03,1.805030059003462384e+01
9.882463310751181780e+03,1.805038547584699771e+01
9.882463328766873019e+03,1.805047036153920104e+01
9.882463346782562439e+03,1.805055524709409553e+01
9.882463364798253679e+03,1.805064013252881594e+01
9.882463382813944918e+03,1.805072501783479311e+01
9.882463400829634338e+03,1.805080990300344723e+01
9.882463418845325577e+03,1.805089478805192016e+01
9.882463436861014998e+03,1.805097967296306294e+01
9.882463454876706237e+03,1.805106455775402452e+01
9.882463472892395657e+03,1.805114944240764885e+01
9.882463490908086897e+03,1.805123432694107777e+01
9.882463508923778136e+03,1.805131921134574213e+01
9.882463526939467556e+03,1.805140409561306214e+01
9.882463544955158795e+03,1.805148897976017963e+01
9.882463562970848216e+03,1.805157386376994921e+01
9.882463580986539455e+03,1.805165874765951273e+01
9.882463599002228875e+03,1.805174363141172122e+01
9.882463617017920114e+03,1.805182851504370589e+01
9.882463635033611354e+03,1.805191339854690469e+01
9.882463653049300774e+03,1.805199828191274136e+01
9.882463671064992013e+03,1.805208316515835065e+01
9.882463689080681434e+03,1.805216804826659072e+01
9.882463707096372673e+03,1.805225293125459984e+01
9.882463725112062093e+03,1.805233781410523264e+01
9.882463743127753332e+03,1.805242269683563094e+01
9.882463761143444572e+03,1.805250757943721851e+01
9.882463779159133992e+03,1.805259246190141553e+01
9.882463797174825231e+03,1.805267734424537096e+01
9.882463815190514651e+03,1.805276222645193229e+01
9.882463833206205891e+03,1.805284710853824137e+01
9.882463851221895311e+03,1.805293199048715280e+01
9.882463869237586550e+03,1.805301687231580487e+01
9.882463887253277790e+03,1.805310175401562489e+01
9.882463905268967210e+03,1.805318663557803660e+01
9.882463923284658449e+03,1.805327151702017829e+01
9.882463941300347869e+03,1.805335639832491523e+01
9.882463959316039109e+03,1.805344127950936794e+01
9.882463977331728529e+03,1.805352616055640524e+01
9.882463995347419768e+03,1.805361104148315832e+01
9.882464013363111007e+03,1.805369592228106157e+01
9.882464031378800428e+03,1.805378080294153520e+01
9.882464049394491667e+03,1.805386568348172105e+01
9.882464067410181087e+03,1.805395056388446662e+01
9.882464085425872327e+03,1.805403544416692085e+01
9.882464103441561747e+03,1.805412032431193481e+01
9.882464121457252986e+03,1.805420520433664677e+01
9.882464139472944225e+03,1.805429008423247694e+01
9.882464157488633646e+03,1.805437496399085617e+01
9.882464175504324885e+03,1.805445984362892986e+01
9.882464193520014305e+03,1.805454472312954550e+01
9.882464211535705545e+03,1.805462960250984494e+01
9.882464229551394965e+03,1.805471448175267923e+01
9.882464247567086204e+03,1.805479936087519022e+01
9.882464265582777443e+03,1.805488423986880520e+01
9.882464283598466864e+03,1.805496911872495147e+01
9.882464301614158103e+03,1.805505399746075668e+01
9.882464319629847523e+03,1.805513887605908963e+01
9.882464337645538762e+03,1.805522375453707795e+01
9.882464355661228183e+03,1.805530863287759047e+01
9.882464373676919422e+03,1.805539351109774771e+01
9.882464391692610661e+03,1.805547838918899117e+01
9.882464409708300082e+03,1.805556326714274107e+01
9.882464427723991321e+03,1.805564814497613568e+01
9.882464445739680741e+03,1.805573302267202962e+01
9.882464463755371980e+03,1.805581790024756828e+01
9.882464481771061401e+03,1.805590277768559559e+01
9.882464499786752640e+03,1.805598765500325698e+01
9.882464517802442060e+03,1.805607253218340347e+01
9.882464535818133299e+03,1.805615740924318402e+01
9.882464553833824539e+03,1.805624228617400817e+01
9.882464571849513959e+03,1.805632716296732099e+01
9.882464589865205198e+03,1.805641203964023944e+01
9.882464607880894619e+03,1.805649691617563590e+01
9.882464625896585858e+03,1.805658179259064866e+01
9.882464643912275278e+03,1.805666666886812166e+01
9.882464661927966517e+03,1.805675154502520741e+01
9.882464679943657757e+03,1.805683642105331188e+01
9.882464697959347177e+03,1.805692129694388726e+01
9.882464715975038416e+03,1.805700617271404695e+01
9.882464733990727836e+03,1.805709104834666689e+01
9.882464752006419076e+03,1.805717592385887116e+01
9.882464770022108496e+03,1.805726079923352501e+01
9.882464788037799735e+03,1.805734567448775607e+01
9.882464806053490975e+03,1.805743054961300231e+01
9.882464824069180395e+03,1.805751542460068038e+01
9.882464842084871634e+03,1.805760029946793566e+01
