Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.880038437500130385e+03,2.740505309261123568e+00
9.880038456059855889e+03,2.740505218676510868e+00
9.880038474619583212e+03,2.740505128091332399e+00
9.880038493179308716e+03,2.740505037505606811e+00
9.880038511739036039e+03,2.740504946919315898e+00
9.880038530298761543e+03,2.740504856332479200e+00
9.880038548858488866e+03,2.740504765745078064e+00
9.880038567418214370e+03,2.740504675157131587e+00
9.880038585977941693e+03,2.740504584568623336e+00
9.880038604537667197e+03,2.740504493979569745e+00
9.880038623097394520e+03,2.740504403389955268e+00
9.880038641657120024e+03,2.740504312799797226e+00
9.880038660216847347e+03,2.740504222209079188e+00
9.880038678776572851e+03,2.740504131617818473e+00
9.880038697336298355e+03,2.740504041026007975e+00
9.880038715896025678e+03,2.740503950433637925e+00
9.880038734455751182e+03,2.740503859840727419e+00
9.880038753015478505e+03,2.740503769247259580e+00
9.880038771575204009e+03,2.740503678653251285e+00
9.880038790134931332e+03,2.740503588058687434e+00
9.880038808694656836e+03,2.740503497463584459e+00
9.880038827254384159e+03,2.740503406867926373e+00
9.880038845814109663e+03,2.740503316271731382e+00
9.880038864373836986e+03,2.740503225674981280e+00
9.880038882933562491e+03,2.740503135077694719e+00
9.880038901493289814e+03,2.740503044479854822e+00
9.880038920053015318e+03,2.740502953881480241e+00
9.880038938612740822e+03,2.740502863282562096e+00
9.880038957172468145e+03,2.740502772683091948e+00
9.880038975732193649e+03,2.740502682083088004e+00
9.880038994291920972e+03,2.740502591482534278e+00
9.880039012851646476e+03,2.740502500881446757e+00
9.880039031411373799e+03,2.740502410279810341e+00
9.880039049971099303e+03,2.740502319677642795e+00
9.880039068530826626e+03,2.740502229074925911e+00
9.880039087090552130e+03,2.740502138471679672e+00
9.880039105650279453e+03,2.740502047867884983e+00
9.880039124210004957e+03,2.740501957263561827e+00
9.880039142769732280e+03,2.740501866658691998e+00
9.880039161329457784e+03,2.740501776053294147e+00
9.880039179889183288e+03,2.740501685447359836e+00
9.880039198448910611e+03,2.740501594840880628e+00
9.880039217008636115e+03,2.740501504233874730e+00
9.880039235568363438e+03,2.740501413626325711e+00
9.880039254128088942e+03,2.740501323018250446e+00
9.880039272687816265e+03,2.740501232409632948e+00
9.880039291247541769e+03,2.740501141800490981e+00
9.880039309807269092e+03,2.740501051190807669e+00
9.880039328366994596e+03,2.740500960580601220e+00
9.880039346926721919e+03,2.740500869969853870e+00
9.880039365486447423e+03,2.740500779358584271e+00
9.880039384046174746e+03,2.740500688746775548e+00
9.880039402605900250e+03,2.740500598134445909e+00
9.880039421165625754e+03,2.740500507521586915e+00
9.880039439725353077e+03,2.740500416908189685e+00
9.880039458285078581e+03,2.740500326294272870e+00
9.880039476844805904e+03,2.740500235679819596e+00
9.880039495404531408e+03,2.740500145064848070e+00
9.880039513964258731e+03,2.740500054449340972e+00
9.880039532523984235e+03,2.740499963833316066e+00
9.880039551083711558e+03,2.740499873216756477e+00
9.880039569643437062e+03,2.740499782599681300e+00
9.880039588203164385e+03,2.740499691982072772e+00
9.880039606762889889e+03,2.740499601363948656e+00
9.880039625322617212e+03,2.740499510745292078e+00
9.880039643882342716e+03,2.740499420126121244e+00
9.880039662442068220e+03,2.740499329506428161e+00
9.880039681001795543e+03,2.740499238886204836e+00
9.880039699561521047e+03,2.740499148265468587e+00
9.880039718121248370e+03,2.740499057644202541e+00
9.880039736680973874e+03,2.740498967022425791e+00
9.880039755240701197e+03,2.740498876400119688e+00
9.880039773800426701e+03,2.740498785777303326e+00
9.880039792360154024e+03,2.740498695153959829e+00
9.880039810919879528e+03,2.740498604530106963e+00
9.880039829479606851e+03,2.740498513905727407e+00
9.880039848039332355e+03,2.740498423280839813e+00
9.880039866599059678e+03,2.740498332655426861e+00
9.880039885158785182e+03,2.740498242029506759e+00
9.880039903718510686e+03,2.740498151403071514e+00
9.880039922278238009e+03,2.740498060776112244e+00
9.880039940837963513e+03,2.740497970148648044e+00
9.880039959397690836e+03,2.740497879520660263e+00
9.880039977957416340e+03,2.740497788892169329e+00
