Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.880038437500130385e+03,2.740747454130993521e+00
9.880038456059855889e+03,2.740747469005550219e+00
9.880038474619583212e+03,2.740747483878426038e+00
9.880038493179308716e+03,2.740747498749620092e+00
9.880038511739036039e+03,2.740747513619134601e+00
9.880038530298761543e+03,2.740747528486966456e+00
9.880038548858488866e+03,2.740747543353118321e+00
9.880038567418214370e+03,2.740747558217587532e+00
9.880038585977941693e+03,2.740747573080377197e+00
9.880038604537667197e+03,2.740747587941484209e+00
9.880038623097394520e+03,2.740747602800910787e+00
9.880038641657120024e+03,2.740747617658654711e+00
9.880038660216847347e+03,2.740747632514719090e+00
9.880038678776572851e+03,2.740747647369099926e+00
9.880038697336298355e+03,2.740747662221799885e+00
9.880038715896025678e+03,2.740747677072819410e+00
9.880038734455751182e+03,2.740747691922156282e+00
9.880038753015478505e+03,2.740747706769813163e+00
9.880038771575204009e+03,2.740747721615786503e+00
9.880038790134931332e+03,2.740747736460079853e+00
9.880038808694656836e+03,2.740747751302690105e+00
9.880038827254384159e+03,2.740747766143619923e+00
9.880038845814109663e+03,2.740747780982867088e+00
9.880038864373836986e+03,2.740747795820433375e+00
9.880038882933562491e+03,2.740747810656316563e+00
9.880038901493289814e+03,2.740747825490519318e+00
9.880038920053015318e+03,2.740747840323038975e+00
9.880038938612740822e+03,2.740747855153876422e+00
9.880038957172468145e+03,2.740747869983033436e+00
9.880038975732193649e+03,2.740747884810507351e+00
9.880038994291920972e+03,2.740747899636300833e+00
9.880039012851646476e+03,2.740747914460409884e+00
9.880039031411373799e+03,2.740747929282839390e+00
9.880039049971099303e+03,2.740747944103584022e+00
9.880039068530826626e+03,2.740747958922649552e+00
9.880039087090552130e+03,2.740747973740030208e+00
9.880039105650279453e+03,2.740747988555730430e+00
9.880039124210004957e+03,2.740748003369747554e+00
9.880039142769732280e+03,2.740748018182082912e+00
9.880039161329457784e+03,2.740748032992735173e+00
9.880039179889183288e+03,2.740748047801704779e+00
9.880039198448910611e+03,2.740748062608993063e+00
9.880039217008636115e+03,2.740748077414598249e+00
9.880039235568363438e+03,2.740748092218522114e+00
9.880039254128088942e+03,2.740748107020761548e+00
9.880039272687816265e+03,2.740748121821320549e+00
9.880039291247541769e+03,2.740748136620194675e+00
9.880039309807269092e+03,2.740748151417388367e+00
9.880039328366994596e+03,2.740748166212898074e+00
9.880039346926721919e+03,2.740748181006726458e+00
9.880039365486447423e+03,2.740748195798870412e+00
9.880039384046174746e+03,2.740748210589333489e+00
9.880039402605900250e+03,2.740748225378112135e+00
9.880039421165625754e+03,2.740748240165208127e+00
9.880039439725353077e+03,2.740748254950621909e+00
9.880039458285078581e+03,2.740748269734352593e+00
9.880039476844805904e+03,2.740748284516400624e+00
9.880039495404531408e+03,2.740748299296765111e+00
9.880039513964258731e+03,2.740748314075447833e+00
9.880039532523984235e+03,2.740748328852446569e+00
9.880039551083711558e+03,2.740748343627762651e+00
9.880039569643437062e+03,2.740748358401395190e+00
9.880039588203164385e+03,2.740748373173345520e+00
9.880039606762889889e+03,2.740748387943611419e+00
9.880039625322617212e+03,2.740748402712195553e+00
9.880039643882342716e+03,2.740748417479095256e+00
9.880039662442068220e+03,2.740748432244310973e+00
9.880039681001795543e+03,2.740748447007845812e+00
9.880039699561521047e+03,2.740748461769694888e+00
9.880039718121248370e+03,2.740748476529862643e+00
9.880039736680973874e+03,2.740748491288345967e+00
9.880039755240701197e+03,2.740748506045147082e+00
