Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.061386530092591420e+04,2.743845719031750008e+00
1.061386531688121431e+04,2.743845760293570635e+00
1.061386533283651261e+04,2.743845801549486652e+00
1.061386534879181272e+04,2.743845842799512269e+00
1.061386536474711102e+04,2.743845884043636829e+00
1.061386538070241113e+04,2.743845925281867437e+00
1.061386539665770943e+04,2.743845966514200541e+00
1.061386541261300954e+04,2.743846007740650350e+00
1.061386542856830783e+04,2.743846048961191997e+00
1.061386544452360795e+04,2.743846090175843244e+00
1.061386546047890624e+04,2.743846131384596987e+00
1.061386547643420636e+04,2.743846172587456778e+00
1.061386549238950465e+04,2.743846213784415511e+00
1.061386550834480477e+04,2.743846254975483845e+00
1.061386552430010306e+04,2.743846296160644016e+00
1.061386554025540318e+04,2.743846337339920893e+00
1.061386555621070147e+04,2.743846378513293160e+00
1.061386557216600158e+04,2.743846419680771476e+00
1.061386558812129988e+04,2.743846460842348733e+00
1.061386560407659999e+04,2.743846501998032039e+00
1.061386562003189829e+04,2.743846543147814288e+00
1.061386563598719840e+04,2.743846584291706137e+00
1.061386565194249670e+04,2.743846625429693376e+00
1.061386566789779681e+04,2.743846666561783110e+00
1.061386568385309511e+04,2.743846707687975339e+00
1.061386569980839522e+04,2.743846748808270064e+00
1.061386571576369352e+04,2.743846789922663731e+00
1.061386573171899363e+04,2.743846831031159894e+00
1.061386574767429192e+04,2.743846872133762105e+00
1.061386576362959204e+04,2.743846913230459705e+00
1.061386577958489033e+04,2.743846954321259801e+00
1.061386579554019045e+04,2.743846995406158840e+00
1.061386581149549056e+04,2.743847036485160373e+00
1.061386582745078886e+04,2.743847077558260850e+00
1.061386584340608897e+04,2.743847118625467374e+00
1.061386585936138727e+04,2.743847159686765735e+00
1.061386587531668738e+04,2.743847200742170145e+00
1.061386589127198567e+04,2.743847241791669944e+00
1.061386590722728579e+04,2.743847282835272239e+00
1.061386592318258408e+04,2.743847323872969923e+00
1.061386593913788420e+04,2.743847364904770103e+00
1.061386595509318249e+04,2.743847405930669225e+00
1.061386597104848261e+04,2.743847446950670843e+00
1.061386598700378090e+04,2.743847487964764298e+00
1.061386600295908102e+04,2.743847528972960248e+00
1.061386601891437931e+04,2.743847569975251588e+00
1.061386603486967942e+04,2.743847610971648976e+00
1.061386605082497772e+04,2.743847651962138201e+00
1.061386606678027783e+04,2.743847692946726369e+00
1.061386608273557613e+04,2.743847733925413479e+00
1.061386609869087624e+04,2.743847774898199532e+00
1.061386611464617454e+04,2.743847815865077422e+00
1.061386613060147465e+04,2.743847856826061360e+00
1.061386614655677295e+04,2.743847897781133582e+00
1.061386616251207306e+04,2.743847938730315406e+00
1.061386617846737136e+04,2.743847979673578408e+00
1.061386619442267147e+04,2.743848020610951011e+00
1.061386621037796976e+04,2.743848061542411898e+00
1.061386622633326988e+04,2.743848102467978833e+00
1.061386624228856817e+04,2.743848143387630500e+00
1.061386625824386829e+04,2.743848184301388216e+00
1.061386627419916658e+04,2.743848225209234215e+00
1.061386629015446670e+04,2.743848266111182710e+00
1.061386630610976681e+04,2.743848307007230147e+00
1.061386632206506511e+04,2.743848347897365869e+00
1.061386633802036522e+04,2.743848388781600534e+00
1.061386635397566351e+04,2.743848429659923482e+00
1.061386636993096363e+04,2.743848470532352479e+00
1.061386638588626192e+04,2.743848511398866208e+00
1.061386640184156204e+04,2.743848552259485984e+00
1.061386641779686033e+04,2.743848593114186940e+00
1.061386643375216045e+04,2.743848633962993944e+00
1.061386644970745874e+04,2.743848674805885679e+00
1.061386646566275886e+04,2.743848715642883462e+00
1.061386648161805715e+04,2.743848756473965977e+00
1.061386649757335726e+04,2.743848797299143882e+00
1.061386651352865556e+04,2.743848838118417177e+00
1.061386652948395567e+04,2.743848878931789415e+00
1.061386654543925397e+04,2.743848919739242831e+00
1.061386656139455408e+04,2.743848960540805848e+00
1.061386657734985238e+04,2.743849001336446491e+00
1.061386659330515249e+04,2.743849042126189630e+00
1.061386660926045079e+04,2.743849082910021053e+00
1.061386662521575090e+04,2.743849123687947866e+00
1.061386664117104920e+04,2.743849164459962964e+00
1.061386665712634931e+04,2.743849205226073451e+00
1.061386667308164760e+04,2.743849245986275776e+00
1.061386668903694772e+04,2.743849286740577043e+00
1.061386670499224601e+04,2.743849327488959489e+00
1.061386672094754613e+04,2.743849368231440877e+00
1.061386673690284442e+04,2.743849408968010550e+00
1.061386675285814454e+04,2.743849449698672061e+00
1.061386676881344283e+04,2.743849490423421855e+00
1.061386678476874295e+04,2.743849531142270592e+00
1.061386680072404306e+04,2.743849571855211167e+00
1.061386681667934135e+04,2.743849612562232920e+00
1.061386683263464147e+04,2.743849653263353616e+00
1.061386684858993976e+04,2.743849693958559044e+00
