Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
9.903683680555783212e+03,1.404687091811854543e+03
9.903683703452748887e+03,1.404727692471526325e+03
9.903683726349714561e+03,1.404768290374362778e+03
9.903683749246680236e+03,1.404808885520069225e+03
9.903683772143645911e+03,1.404849477908348717e+03
9.903683795040611585e+03,1.404890067538904987e+03
9.903683817937577260e+03,1.404930654411442674e+03
9.903683840834542934e+03,1.404971238525664830e+03
9.903683863731508609e+03,1.405011819881276779e+03
9.903683886628474283e+03,1.405052398477981114e+03
9.903683909525439958e+03,1.405092974315482479e+03
9.903683932422405633e+03,1.405133547393484832e+03
9.903683955319371307e+03,1.405174117711692361e+03
9.903683978216336982e+03,1.405214685269809479e+03
9.903684001113302656e+03,1.405255250067539691e+03
9.903684024010268331e+03,1.405295812104588094e+03
9.903684046907234006e+03,1.405336371380657738e+03
9.903684069804199680e+03,1.405376927895453719e+03
9.903684092701163536e+03,1.405417481645457883e+03
9.903684115598129210e+03,1.405458032636819325e+03
9.903684138495094885e+03,1.405498580866018756e+03
9.903684161392060560e+03,1.405539126332761953e+03
9.903684184289026234e+03,1.405579669036752421e+03
9.903684207185991909e+03,1.405620208977695029e+03
9.903684230082957583e+03,1.405660746155293737e+03
9.903684252979923258e+03,1.405701280569252958e+03
9.903684275876888933e+03,1.405741812219278017e+03
9.903684298773854607e+03,1.405782341105072646e+03
9.903684321670820282e+03,1.405822867226341259e+03
9.903684344567785956e+03,1.405863390582788497e+03
9.903684367464751631e+03,1.405903911174119457e+03
9.903684390361717305e+03,1.405944429000037871e+03
9.903684413258682980e+03,1.405984944060248836e+03
9.903684436155648655e+03,1.406025456354456765e+03
9.903684459052614329e+03,1.406065965882366982e+03
9.903684481949580004e+03,1.406106472643683446e+03
9.903684504846545678e+03,1.406146976638111028e+03
9.903684527743511353e+03,1.406187477865355049e+03
9.903684550640477028e+03,1.406227976325119016e+03
9.903684573537442702e+03,1.406268472017108934e+03
9.903684596434408377e+03,1.406308964941029217e+03
9.903684619331374051e+03,1.406349455096584279e+03
9.903684642228339726e+03,1.406389942483479899e+03
9.903684665125305401e+03,1.406430427101419809e+03
9.903684688022271075e+03,1.406470908950110243e+03
9.903684710919236750e+03,1.406511388029254931e+03
9.903684733816202424e+03,1.406551864338559881e+03
9.903684756713168099e+03,1.406592337877729733e+03
9.903684779610133774e+03,1.406632808646469130e+03
9.903684802507099448e+03,1.406673276644482939e+03
9.903684825404065123e+03,1.406713741871477623e+03
9.903684848301030797e+03,1.406754204327156458e+03
9.903684871197996472e+03,1.406794664011225905e+03
9.903684894094960327e+03,1.406835120920176905e+03
9.903684916991926002e+03,1.406875575060142410e+03
9.903684939888891677e+03,1.406916026427613360e+03
9.903684962785857351e+03,1.406956475022295535e+03
9.903684985682823026e+03,1.406996920843893577e+03
9.903685008579788700e+03,1.407037363892113717e+03
9.903685031476754375e+03,1.407077804166660371e+03
9.903685054373720050e+03,1.407118241667239317e+03
9.903685077270685724e+03,1.407158676393555879e+03
9.903685100167651399e+03,1.407199108345314926e+03
9.903685123064617073e+03,1.407239537522222690e+03
9.903685145961582748e+03,1.407279963923984042e+03
9.903685168858548423e+03,1.407320387550304758e+03
9.903685191755514097e+03,1.407360808400890164e+03
9.903685214652479772e+03,1.407401226475445810e+03
9.903685237549445446e+03,1.407441641773677247e+03
9.903685260446411121e+03,1.407482054295290254e+03
9.903685283343376796e+03,1.407522464039990155e+03
9.903685306240342470e+03,1.407562871007482272e+03
9.903685329137308145e+03,1.407603275197472840e+03
9.903685352034273819e+03,1.407643676609667637e+03
9.903685374931239494e+03,1.407684075243771986e+03
9.903685397828205168e+03,1.407724471099491439e+03
9.903685420725170843e+03,1.407764864176532228e+03
9.903685443622136518e+03,1.407805254474599678e+03
9.903685466519102192e+03,1.407845641993399795e+03
9.903685489416067867e+03,1.407886026732639039e+03
9.903685512313033541e+03,1.407926408692022278e+03
9.903685535209999216e+03,1.407966787871255974e+03
9.903685558106964891e+03,1.408007164270045223e+03
9.903685581003930565e+03,1.408047537888096940e+03
9.903685603900896240e+03,1.408087908725117359e+03
9.903685626797861914e+03,1.408128276780811120e+03
9.903685649694827589e+03,1.408168642054885140e+03
9.903685672591793264e+03,1.408209004547045879e+03
