Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.013184277777792886e+04,2.657032759301191760e+00
1.013184279854968190e+04,2.657032840982939348e+00
1.013184281932143494e+04,2.657032922656210161e+00
1.013184284009318799e+04,2.657033004321007752e+00
1.013184286086494103e+04,2.657033085977328568e+00
1.013184288163669407e+04,2.657033167625179715e+00
1.013184290240844712e+04,2.657033249264550534e+00
1.013184292318020016e+04,2.657033330895448131e+00
1.013184294395195320e+04,2.657033412517872506e+00
1.013184296472370625e+04,2.657033494131813001e+00
1.013184298549545929e+04,2.657033575737276720e+00
1.013184300626721233e+04,2.657033657334270771e+00
1.013184302703896537e+04,2.657033738922777388e+00
1.013184304781071842e+04,2.657033820502807231e+00
1.013184306858247146e+04,2.657033902074360299e+00
1.013184308935422450e+04,2.657033983637433039e+00
1.013184311012597936e+04,2.657034065192029004e+00
1.013184313089773241e+04,2.657034146738137537e+00
1.013184315166948545e+04,2.657034228275765742e+00
1.013184317244123849e+04,2.657034309804917172e+00
1.013184319321299154e+04,2.657034391325577616e+00
1.013184321398474458e+04,2.657034472837757733e+00
1.013184323475649762e+04,2.657034554341453969e+00
1.013184325552825067e+04,2.657034635836666325e+00
1.013184327630000371e+04,2.657034717323398354e+00
1.013184329707175675e+04,2.657034798801642950e+00
1.013184331784350979e+04,2.657034880271400112e+00
1.013184333861526284e+04,2.657034961732676948e+00
1.013184335938701588e+04,2.657035043185459244e+00
1.013184338015876892e+04,2.657035124629761214e+00
1.013184340093052197e+04,2.657035206065572197e+00
1.013184342170227501e+04,2.657035287492899300e+00
1.013184344247402805e+04,2.657035368911731865e+00
1.013184346324578109e+04,2.657035450322080550e+00
1.013184348401753414e+04,2.657035531723938249e+00
1.013184350478928718e+04,2.657035613117304962e+00
1.013184352556104022e+04,2.657035694502180689e+00
1.013184354633279327e+04,2.657035775878565431e+00
1.013184356710454631e+04,2.657035857246462740e+00
1.013184358787629935e+04,2.657035938605865510e+00
1.013184360864805240e+04,2.657036019956773742e+00
1.013184362941980544e+04,2.657036101299190989e+00
1.013184365019155848e+04,2.657036182633117249e+00
1.013184367096331152e+04,2.657036263958548972e+00
1.013184369173506457e+04,2.657036345275482603e+00
1.013184371250681761e+04,2.657036426583921696e+00
1.013184373327857065e+04,2.657036507883869803e+00
1.013184375405032551e+04,2.657036589175326924e+00
