Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.027127336805546656e+04,6.036105351694466208e+02
1.027127353332662278e+04,6.033403110875559605e+02
1.027127369859778082e+04,6.030700050321191839e+02
1.027127386386893704e+04,6.027996171367732359e+02
1.027127402914009326e+04,6.025291475262695258e+02
1.027127419441124948e+04,6.022585963283722776e+02
1.027127435968240752e+04,6.019879636679057739e+02
1.027127452495356374e+04,6.017172496786683951e+02
1.027127469022471996e+04,6.014464544855616168e+02
1.027127485549587800e+04,6.011755782135221580e+02
1.027127502076703422e+04,6.009046209964690206e+02
1.027127518603819044e+04,6.006335829594165716e+02
1.027127535130934666e+04,6.003624642303972223e+02
1.027127551658050470e+04,6.000912649344965075e+02
1.027127568185166092e+04,5.998199852057937278e+02
1.027127584712281714e+04,5.995486251694516113e+02
1.027127601239397518e+04,5.992771849506668786e+02
1.027127617766513140e+04,5.990056646836375194e+02
1.027127634293628762e+04,5.987340644936373337e+02
1.027127650820744384e+04,5.984623845089648739e+02
1.027127667347860188e+04,5.981906248549646534e+02
1.027127683874975810e+04,5.979187856659923455e+02
1.027127700402091432e+04,5.976468670674690884e+02
1.027127716929207236e+04,5.973748691848496719e+02
1.027127733456322858e+04,5.971027921526075488e+02
1.027127749983438480e+04,5.968306360962732242e+02
1.027127766510554284e+04,5.965584011414110819e+02
1.027127783037669906e+04,5.962860874226121268e+02
1.027127799564785528e+04,5.960136950655157762e+02
1.027127816091901150e+04,5.957412241987950665e+02
1.027127832619016954e+04,5.954686749481596735e+02
1.027127849146132576e+04,5.951960474483553298e+02
1.027127865673248198e+04,5.949233418251666308e+02
1.027127882200364002e+04,5.946505582044118228e+02
1.027127898727479624e+04,5.943776967209527129e+02
1.027127915254595246e+04,5.941047575006818988e+02
1.027127931781710868e+04,5.938317406725302590e+02
1.027127948308826672e+04,5.935586463624592852e+02
1.027127964835942294e+04,5.932854747054849440e+02
1.027127981363057916e+04,5.930122258276426237e+02
1.027127997890173719e+04,5.927388998550005681e+02
1.027128014417289342e+04,5.924654969226893400e+02
1.027128030944404964e+04,5.921920171568513069e+02
1.027128047471520586e+04,5.919184606866723470e+02
1.027128063998636389e+04,5.916448276383634948e+02
1.027128080525752011e+04,5.913711181472064027e+02
1.027128097052867633e+04,5.910973323394847512e+02
1.027128113579983437e+04,5.908234703415154172e+02
1.027128130107099059e+04,5.905495322886928307e+02
1.027128146634214681e+04,5.902755183074062870e+02
1.027128163161330303e+04,5.900014285270948449e+02
1.027128179688446107e+04,5.897272630742149886e+02
1.027128196215561729e+04,5.894530220843117831e+02
1.027128212742677351e+04,5.891787056839141314e+02
1.027128229269793155e+04,5.889043139995833371e+02
1.027128245796908777e+04,5.886298471669762193e+02
1.027128262324024399e+04,5.883553053127260455e+02
1.027128278851140021e+04,5.880806885665209620e+02
1.027128295378255825e+04,5.878059970550606295e+02
1.027128311905371447e+04,5.875312309141500009e+02
1.027128328432487069e+04,5.872563902705607006e+02
1.027128344959602873e+04,5.869814752510955032e+02
1.027128361486718495e+04,5.867064859916705473e+02
1.027128378013834117e+04,5.864314226191593207e+02
1.027128394540949739e+04,5.861562852634967840e+02
1.027128411068065543e+04,5.858810740516227042e+02
1.027128427595181165e+04,5.856057891195993079e+02
1.027128444122296787e+04,5.853304305944370753e+02
1.027128460649412591e+04,5.850549986031778644e+02
1.027128477176528213e+04,5.847794932819933820e+02
1.027128493703643835e+04,5.845039147579955170e+02
1.027128510230759457e+04,5.842282631613622925e+02
1.027128526757875261e+04,5.839525386192706264e+02
1.027128543284990883e+04,5.836767412680367215e+02
1.027128559812106505e+04,5.834008712349076404e+02
1.027128576339222309e+04,5.831249286471610276e+02
1.027128592866337931e+04,5.828489136412208609e+02
1.027128609393453553e+04,5.825728263444344748e+02
1.027128625920569357e+04,5.822966668841800129e+02
1.027128642447684979e+04,5.820204353969886597e+02
1.027128658974800601e+04,5.817441320103079079e+02
1.027128675501916223e+04,5.814677568546575230e+02
1.027128692029032027e+04,5.811913100575482076e+02
1.027128708556147649e+04,5.809147917556537095e+02
1.027128725083263271e+04,5.806382020765535117e+02
1.027128741610379075e+04,5.803615411478573378e+02
1.027128758137494697e+04,5.800848091063442098e+02
1.027128774664610319e+04,5.798080060796922908e+02
1.027128791191725941e+04,5.795311321986580424e+02
1.027128807718841745e+04,5.792541875909822693e+02
1.027128824245957367e+04,5.789771723935842829e+02
1.027128840773072989e+04,5.787000867342728725e+02
1.027128857300188793e+04,5.784229307408869545e+02
1.027128873827304415e+04,5.781457045504504322e+02
1.027128890354420037e+04,5.778684082908688424e+02
1.027128906881535659e+04,5.775910420931318185e+02
1.027128923408651463e+04,5.773136060852075389e+02
1.027128939935767085e+04,5.770361004042584909e+02
1.027128956462882707e+04,5.767585251783192462e+02
1.027128972989998510e+04,5.764808805354547303e+02
1.027128989517114132e+04,5.762031666129303176e+02
1.027129006044229754e+04,5.759253835388773268e+02
1.027129022571345376e+04,5.756475314445141294e+02
1.027129039098461180e+04,5.753696104580343444e+02
1.027129055625576802e+04,5.750916207168392020e+02
1.027129072152692424e+04,5.748135623491871229e+02
1.027129088679808228e+04,5.745354354833657453e+02
1.027129105206923850e+04,5.742572402568791858e+02
1.027129121734039472e+04,5.739789767980804527e+02
1.027129138261155094e+04,5.737006452384151771e+02
1.027129154788270898e+04,5.734222457062974172e+02
1.027129171315386520e+04,5.731437783393660084e+02
1.027129187842502142e+04,5.728652432660991280e+02
1.027129204369617946e+04,5.725866406150047396e+02
1.027129220896733568e+04,5.723079705238216093e+02
1.027129237423849190e+04,5.720292331211221608e+02
1.027129253950964812e+04,5.717504285385763296e+02
1.027129270478080616e+04,5.714715569048158841e+02
1.027129287005196238e+04,5.711926183577129450e+02
1.027129303532311860e+04,5.709136130259635138e+02
1.027129320059427664e+04,5.706345410382923546e+02
1.027129336586543286e+04,5.703554025326703822e+02
1.027129353113658908e+04,5.700761976378857980e+02
1.027129369640774712e+04,5.697969264827552252e+02
1.027129386167890334e+04,5.695175892053485995e+02
1.027129402695005956e+04,5.692381859345456405e+02
1.027129419222121578e+04,5.689587168023305139e+02
1.027129435749237382e+04,5.686791819376423973e+02
1.027129452276353004e+04,5.683995814786808296e+02
1.027129468803468626e+04,5.681199155544472887e+02
1.027129485330584430e+04,5.678401842939713333e+02
1.027129501857700052e+04,5.675603878355499319e+02
1.027129518384815674e+04,5.672805263082746023e+02
1.027129534911931296e+04,5.670005998443465387e+02
1.027129551439047100e+04,5.667206085729154665e+02
1.027129567966162722e+04,5.664405526324067068e+02
1.027129584493278344e+04,5.661604321520318308e+02
1.027129601020394148e+04,5.658802472610300356e+02
1.027129617547509770e+04,5.655999980979227075e+02
1.027129634074625392e+04,5.653196847920100936e+02
1.027129650601741014e+04,5.650393074757072327e+02
1.027129667128856818e+04,5.647588662783711015e+02
1.027129683655972440e+04,5.644783613386500747e+02
1.027129700183088062e+04,5.641977927859629744e+02
1.027129716710203866e+04,5.639171607497552259e+02
1.027129733237319488e+04,5.636364653687693362e+02
1.027129749764435110e+04,5.633557067725118941e+02
1.027129766291550732e+04,5.630748850936078043e+02
1.027129782818666536e+04,5.627940004616193619e+02
1.027129799345782158e+04,5.625130530154140160e+02
1.027129815872897780e+04,5.622320428846143159e+02
1.027129832400013584e+04,5.619509701988704364e+02
1.027129848927129206e+04,5.616698350971417995e+02
1.027129865454244828e+04,5.613886377091387203e+02
1.027129881981360450e+04,5.611073781676925591e+02
1.027129898508476253e+04,5.608260566025679736e+02
1.027129915035591875e+04,5.605446731528485316e+02
1.027129931562707498e+04,5.602632279483581215e+02
1.027129948089823301e+04,5.599817211189471209e+02
1.027129964616938923e+04,5.597001528037900471e+02
1.027129981144054545e+04,5.594185231327965084e+02
1.027129997671170167e+04,5.591368322390025014e+02
1.027130014198285971e+04,5.588550802523723178e+02
1.027130030725401593e+04,5.585732673122010965e+02
1.027130047252517215e+04,5.582913935485113370e+02
1.027130063779633019e+04,5.580094590913511183e+02
1.027130080306748641e+04,5.577274640801069836e+02
1.027130096833864263e+04,5.574454086448848784e+02
1.027130113360980067e+04,5.571632929158164416e+02
1.027130129888095689e+04,5.568811170323778015e+02
1.027130146415211311e+04,5.565988811247585772e+02
1.027130162942326933e+04,5.563165853262811424e+02
1.027130179469442737e+04,5.560342297671883216e+02
1.027130195996558359e+04,5.557518145870745911e+02
1.027130212523673981e+04,5.554693399162400738e+02
1.027130229050789785e+04,5.551868058850102443e+02
