Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.027127336805546656e+04,2.655218494082966174e+00
1.027127353332662278e+04,2.655217819240061061e+00
1.027127369859778082e+04,2.655217144316647904e+00
1.027127386386893704e+04,2.655216469313071315e+00
1.027127402914009326e+04,2.655215794229668802e+00
1.027127419441124948e+04,2.655215119066777874e+00
1.027127435968240752e+04,2.655214443824739590e+00
1.027127452495356374e+04,2.655213768503905669e+00
1.027127469022471996e+04,2.655213093104610067e+00
1.027127485549587800e+04,2.655212417627190291e+00
1.027127502076703422e+04,2.655211742071998060e+00
1.027127518603819044e+04,2.655211066439370882e+00
1.027127535130934666e+04,2.655210390729653369e+00
1.027127551658050470e+04,2.655209714943172372e+00
1.027127568185166092e+04,2.655209039080290268e+00
1.027127584712281714e+04,2.655208363141341010e+00
1.027127601239397518e+04,2.655207687126658556e+00
1.027127617766513140e+04,2.655207011036601727e+00
1.027127634293628762e+04,2.655206334871500928e+00
1.027127650820744384e+04,2.655205658631704324e+00
1.027127667347860188e+04,2.655204982317542317e+00
1.027127683874975810e+04,2.655204305929377284e+00
1.027127700402091432e+04,2.655203629467539628e+00
1.027127716929207236e+04,2.655202952932363303e+00
1.027127733456322858e+04,2.655202276324210686e+00
1.027127749983438480e+04,2.655201599643412180e+00
1.027127766510554284e+04,2.655200922890308846e+00
1.027127783037669906e+04,2.655200246065259506e+00
1.027127799564785528e+04,2.655199569168594564e+00
1.027127816091901150e+04,2.655198892200658634e+00
1.027127832619016954e+04,2.655198215161785669e+00
1.027127849146132576e+04,2.655197538052338047e+00
1.027127865673248198e+04,2.655196860872646170e+00
1.027127882200364002e+04,2.655196183623058204e+00
1.027127898727479624e+04,2.655195506303915209e+00
1.027127915254595246e+04,2.655194828915561800e+00
1.027127931781710868e+04,2.655194151458342589e+00
1.027127948308826672e+04,2.655193473932598636e+00
1.027127964835942294e+04,2.655192796338674555e+00
1.027127981363057916e+04,2.655192118676922064e+00
1.027127997890173719e+04,2.655191440947660908e+00
1.027128014417289342e+04,2.655190763151267674e+00
1.027128030944404964e+04,2.655190085288069213e+00
1.027128047471520586e+04,2.655189407358410136e+00
1.027128063998636389e+04,2.655188729362631506e+00
1.027128080525752011e+04,2.655188051301085039e+00
1.027128097052867633e+04,2.655187373174115351e+00
1.027128113579983437e+04,2.655186694982052842e+00
1.027128130107099059e+04,2.655186016725259890e+00
1.027128146634214681e+04,2.655185338404074002e+00
1.027128163161330303e+04,2.655184660018843346e+00
1.027128179688446107e+04,2.655183981569898322e+00
1.027128196215561729e+04,2.655183303057601307e+00
1.027128212742677351e+04,2.655182624482289810e+00
1.027128229269793155e+04,2.655181945844301339e+00
1.027128245796908777e+04,2.655181267143994717e+00
1.027128262324024399e+04,2.655180588381714557e+00
1.027128278851140021e+04,2.655179909557794815e+00
1.027128295378255825e+04,2.655179230672580104e+00
1.027128311905371447e+04,2.655178551726425695e+00
1.027128328432487069e+04,2.655177872719676202e+00
1.027128344959602873e+04,2.655177193652665579e+00
1.027128361486718495e+04,2.655176514525756204e+00
1.027128378013834117e+04,2.655175835339282031e+00
1.027128394540949739e+04,2.655175156093591227e+00
1.027128411068065543e+04,2.655174476789017746e+00
1.027128427595181165e+04,2.655173797425934623e+00
1.027128444122296787e+04,2.655173118004668709e+00
1.027128460649412591e+04,2.655172438525561063e+00
1.027128477176528213e+04,2.655171758988974062e+00
1.027128493703643835e+04,2.655171079395241662e+00
1.027128510230759457e+04,2.655170399744715581e+00
1.027128526757875261e+04,2.655169720037736880e+00
1.027128543284990883e+04,2.655169040274657277e+00
1.027128559812106505e+04,2.655168360455821386e+00
1.027128576339222309e+04,2.655167680581566714e+00
1.027128592866337931e+04,2.655167000652252085e+00
1.027128609393453553e+04,2.655166320668225666e+00
1.027128625920569357e+04,2.655165640629817858e+00
1.027128642447684979e+04,2.655164960537391039e+00
1.027128658974800601e+04,2.655164280391286269e+00
1.027128675501916223e+04,2.655163600191851714e+00
1.027128692029032027e+04,2.655162919939421329e+00
1.027128708556147649e+04,2.655162239634364596e+00
1.027128725083263271e+04,2.655161559277011918e+00
1.027128741610379075e+04,2.655160878867707908e+00
1.027128758137494697e+04,2.655160198406818495e+00
1.027128774664610319e+04,2.655159517894674082e+00
1.027128791191725941e+04,2.655158837331629940e+00
1.027128807718841745e+04,2.655158156718020024e+00
1.027128824245957367e+04,2.655157476054213816e+00
1.027128840773072989e+04,2.655156795340545273e+00
1.027128857300188793e+04,2.655156114577355453e+00
1.027128873827304415e+04,2.655155433765003181e+00
1.027128890354420037e+04,2.655154752903833071e+00
1.027128906881535659e+04,2.655154071994193288e+00
1.027128923408651463e+04,2.655153391036421340e+00
1.027128939935767085e+04,2.655152710030883156e+00
1.027128956462882707e+04,2.655152028977912693e+00
1.027128972989998510e+04,2.655151347877861667e+00
1.027128989517114132e+04,2.655150666731078246e+00
1.027129006044229754e+04,2.655149985537914148e+00
1.027129022571345376e+04,2.655149304298717539e+00
1.027129039098461180e+04,2.655148623013822373e+00
1.027129055625576802e+04,2.655147941683591029e+00
1.027129072152692424e+04,2.655147260308371671e+00
1.027129088679808228e+04,2.655146578888501807e+00
1.027129105206923850e+04,2.655145897424340262e+00
1.027129121734039472e+04,2.655145215916235202e+00
1.027129138261155094e+04,2.655144534364531239e+00
1.027129154788270898e+04,2.655143852769569435e+00
1.027129171315386520e+04,2.655143171131712165e+00
1.027129187842502142e+04,2.655142489451304044e+00
1.027129204369617946e+04,2.655141807728682579e+00
1.027129220896733568e+04,2.655141125964217252e+00
1.027129237423849190e+04,2.655140444158245572e+00
1.027129253950964812e+04,2.655139762311112150e+00
1.027129270478080616e+04,2.655139080423165154e+00
1.027129287005196238e+04,2.655138398494766960e+00
1.027129303532311860e+04,2.655137716526255076e+00
1.027129320059427664e+04,2.655137034517977668e+00
1.027129336586543286e+04,2.655136352470290007e+00
1.027129353113658908e+04,2.655135670383543811e+00
1.027129369640774712e+04,2.655134988258073037e+00
1.027129386167890334e+04,2.655134306094250718e+00
1.027129402695005956e+04,2.655133623892407257e+00
1.027129419222121578e+04,2.655132941652901479e+00
1.027129435749237382e+04,2.655132259376070891e+00
1.027129452276353004e+04,2.655131577062281423e+00
1.027129468803468626e+04,2.655130894711874134e+00
1.027129485330584430e+04,2.655130212325197192e+00
1.027129501857700052e+04,2.655129529902605867e+00
1.027129518384815674e+04,2.655128847444441220e+00
1.027129534911931296e+04,2.655128164951069181e+00
1.027129551439047100e+04,2.655127482422813046e+00
1.027129567966162722e+04,2.655126799860049402e+00
1.027129584493278344e+04,2.655126117263115759e+00
1.027129601020394148e+04,2.655125434632360282e+00
1.027129617547509770e+04,2.655124751968145347e+00
