Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.891595520833507180e+03,1.789909726150140159e+02
9.891595543725843527e+03,1.789894562580757054e+02
9.891595566618178054e+03,1.789879397947864561e+02
9.891595589510514401e+03,1.789864232249072415e+02
9.891595612402848928e+03,1.789849065486810105e+02
9.891595635295185275e+03,1.789833897658686226e+02
9.891595658187519803e+03,1.789818728767130551e+02
9.891595681079856149e+03,1.789803558809751678e+02
9.891595703972190677e+03,1.789788387788979094e+02
9.891595726864527023e+03,1.789773215702421112e+02
9.891595749756863370e+03,1.789758042551302424e+02
9.891595772649197897e+03,1.789742868336848005e+02
9.891595795541534244e+03,1.789727693056665032e+02
9.891595818433868772e+03,1.789712516713184982e+02
9.891595841326205118e+03,1.789697339304015316e+02
9.891595864218539646e+03,1.789682160831586089e+02
9.891595887110875992e+03,1.789666981293505330e+02
9.891595910003210520e+03,1.789651800692204517e+02
9.891595932895546866e+03,1.789636619025289122e+02
9.891595955787881394e+03,1.789621436295192325e+02
9.891595978680217740e+03,1.789606252499519599e+02
9.891596001572554087e+03,1.789591067639496771e+02
9.891596024464888615e+03,1.789575881716349670e+02
9.891596047357224961e+03,1.789560694727684336e+02
9.891596070249559489e+03,1.789545506675933382e+02
9.891596093141895835e+03,1.789530317558701995e+02
9.891596116034230363e+03,1.789515127378423074e+02
9.891596138926566709e+03,1.789499936132702373e+02
9.891596161818901237e+03,1.789484743823972508e+02
9.891596184711237584e+03,1.789469550449838948e+02
9.891596207603573930e+03,1.789454356011527523e+02
9.891596230495908458e+03,1.789439160510265197e+02
9.891596253388244804e+03,1.789423963943656304e+02
9.891596276280579332e+03,1.789408766314135164e+02
9.891596299172915678e+03,1.789393567619304690e+02
9.891596322065250206e+03,1.789378367861600907e+02
9.891596344957586552e+03,1.789363167038626443e+02
9.891596367849921080e+03,1.789347965152816187e+02
9.891596390742257427e+03,1.789332762201774187e+02
9.891596413634591954e+03,1.789317558187934765e+02
9.891596436526928301e+03,1.789302353108901684e+02
9.891596459419264647e+03,1.789287146965901911e+02
9.891596482311599175e+03,1.789271939760163264e+02
9.891596505203935521e+03,1.789256731489287517e+02
9.891596528096270049e+03,1.789241522155711550e+02
9.891596550988606396e+03,1.789226311757036569e+02
9.891596573880940923e+03,1.789211100295699168e+02
9.891596596773277270e+03,1.789195887769302260e+02
9.891596619665611797e+03,1.789180674180281301e+02
9.891596642557948144e+03,1.789165459526238351e+02
9.891596665450284490e+03,1.789150243808401513e+02
9.891596688342619018e+03,1.789135027027998888e+02
9.891596711234955364e+03,1.789119809182631684e+02
9.891596734127289892e+03,1.789104590274737347e+02
9.891596757019626239e+03,1.789089370301916233e+02
9.891596779911960766e+03,1.789074149266606071e+02
9.891596802804297113e+03,1.789058927166408353e+02
9.891596825696631640e+03,1.789043704003760524e+02
9.891596848588967987e+03,1.789028479776262373e+02
9.891596871481304333e+03,1.789013254485143136e+02
9.891596894373638861e+03,1.788998028131631770e+02
9.891596917265975208e+03,1.788982800713327492e+02
9.891596940158309735e+03,1.788967572232670022e+02
9.891596963050646082e+03,1.788952342687258010e+02
9.891596985942980609e+03,1.788937112079530323e+02
9.891597008835316956e+03,1.788921880407087315e+02
9.891597031727651483e+03,1.788906647672367853e+02
9.891597054619987830e+03,1.788891413872970304e+02
9.891597077512322358e+03,1.788876179011335239e+02
9.891597100404658704e+03,1.788860943085060171e+02
9.891597123296995051e+03,1.788845706095375192e+02
9.891597146189329578e+03,1.788830468043510393e+02
9.891597169081665925e+03,1.788815228927063572e+02
9.891597191974000452e+03,1.788799988748474732e+02
9.891597214866336799e+03,1.788784747505342523e+02
9.891597237758671326e+03,1.788769505200107801e+02
9.891597260651007673e+03,1.788754261830367511e+02
9.891597283543342201e+03,1.788739017398563078e+02
9.891597306435678547e+03,1.788723771902291162e+02
9.891597329328014894e+03,1.788708525342782423e+02
9.891597352220349421e+03,1.788693277721267236e+02
9.891597375112685768e+03,1.788678029035342547e+02
9.891597398005020295e+03,1.788662779287450064e+02
9.891597420897356642e+03,1.788647528475186164e+02
9.891597443789691170e+03,1.788632276600993976e+02
9.891597466682027516e+03,1.788617023662467886e+02
9.891597489574362044e+03,1.788601769662052163e+02
9.891597512466698390e+03,1.788586514597340908e+02
9.891597535359032918e+03,1.788571258470778389e+02
9.891597558251369264e+03,1.788556001279958991e+02
9.891597581143705611e+03,1.788540743026114512e+02
9.891597604036040138e+03,1.788525483710476465e+02
9.891597626928376485e+03,1.788510223330639235e+02
9.891597649820711013e+03,1.788494961889047659e+02
9.891597672713047359e+03,1.788479699383294417e+02
9.891597695605381887e+03,1.788464435815825766e+02
9.891597718497718233e+03,1.788449171184234388e+02
9.891597741390052761e+03,1.788433905490965117e+02
9.891597764282389107e+03,1.788418638733612056e+02
9.891597787174725454e+03,1.788403370913407002e+02
9.891597810067059982e+03,1.788388102031582321e+02
9.891597832959396328e+03,1.788372832085730977e+02
9.891597855851730856e+03,1.788357561078299511e+02
9.891597878744067202e+03,1.788342289006879184e+02
9.891597901636401730e+03,1.788327015873916537e+02
9.891597924528738076e+03,1.788311741677004818e+02
9.891597947421072604e+03,1.788296466418589148e+02
9.891597970313408950e+03,1.788281190096261923e+02
9.891597993205745297e+03,1.788265912711256362e+02
9.891598016098079825e+03,1.788250634264805115e+02
9.891598038990416171e+03,1.788235354754500293e+02
9.891598061882750699e+03,1.788220074182789006e+02
9.891598084775087045e+03,1.788204792547261945e+02
9.891598107667421573e+03,1.788189509850366790e+02
9.891598130559757919e+03,1.788174226089695082e+02
9.891598153452092447e+03,1.788158941267693649e+02
9.891598176344428794e+03,1.788143655381953181e+02
9.891598199236763321e+03,1.788128368434922777e+02
9.891598222129099668e+03,1.788113080424191992e+02
9.891598245021436014e+03,1.788097791350994328e+02
9.891598267913770542e+03,1.788082501216564992e+02
9.891598290806106888e+03,1.788067210018492403e+02
9.891598313698441416e+03,1.788051917759225944e+02
9.891598336590777762e+03,1.788036624436355737e+02
9.891598359483112290e+03,1.788021330052330597e+02
9.891598382375448637e+03,1.788006034604738943e+02
9.891598405267783164e+03,1.787990738096031862e+02
9.891598428160119511e+03,1.787975440523796919e+02
9.891598451052455857e+03,1.787960141889269323e+02
9.891598473944790385e+03,1.787944842193683996e+02
9.891598496837126731e+03,1.787929541434628504e+02
9.891598519729461259e+03,1.787914239614553367e+02
9.891598542621797606e+03,1.787898936731047286e+02
9.891598565514132133e+03,1.787883632786560781e+02
9.891598588406468480e+03,1.787868327778681135e+02
9.891598611298803007e+03,1.787853021709860570e+02
9.891598634191139354e+03,1.787837714577684665e+02
9.891598657083473881e+03,1.787822406384606495e+02
9.891598679975810228e+03,1.787807097128211922e+02
9.891598702868146574e+03,1.787791786809736720e+02
9.891598725760481102e+03,1.787776475430416951e+02
9.891598748652817449e+03,1.787761162987838759e+02
9.891598771545151976e+03,1.787745849484454936e+02
9.891598794437488323e+03,1.787730534917850775e+02
9.891598817329822850e+03,1.787715219290480206e+02
9.891598840222159197e+03,1.787699902599927952e+02
9.891598863114493724e+03,1.787684584848647376e+02
9.891598886006830071e+03,1.787669266034223767e+02
9.891598908899166418e+03,1.787653946157893472e+02
9.891598931791500945e+03,1.787638625220893118e+02
9.891598954683837292e+03,1.787623303220807429e+02
9.891598977576171819e+03,1.787607980160090619e+02
9.891599000468508166e+03,1.787592656036327128e+02
9.891599023360842693e+03,1.787577330851971738e+02
9.891599046253179040e+03,1.787562004604607466e+02
