Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.013184277777792886e+04,1.763484338319480571e+01
1.013184279854968190e+04,1.763307091348888989e+01
1.013184281932143494e+04,1.763129852370622430e+01
1.013184284009318799e+04,1.762952621384860663e+01
1.013184286086494103e+04,1.762775398391793047e+01
1.013184288163669407e+04,1.762598183391601125e+01
1.013184290240844712e+04,1.762420976384466798e+01
1.013184292318020016e+04,1.762243777370580489e+01
1.013184294395195320e+04,1.762066586350118769e+01
1.013184296472370625e+04,1.761889403323270642e+01
1.013184298549545929e+04,1.761712228290218363e+01
1.013184300626721233e+04,1.761535061251143119e+01
1.013184302703896537e+04,1.761357902206236048e+01
1.013184304781071842e+04,1.761180751155675139e+01
1.013184306858247146e+04,1.761003608099647622e+01
1.013184308935422450e+04,1.760826473038335038e+01
1.013184311012597936e+04,1.760649345956412049e+01
1.013184313089773241e+04,1.760472226885082137e+01
1.013184315166948545e+04,1.760295115809022803e+01
1.013184317244123849e+04,1.760118012728414527e+01
1.013184319321299154e+04,1.759940917643442049e+01
1.013184321398474458e+04,1.759763830554289754e+01
1.013184323475649762e+04,1.759586751461138832e+01
1.013184325552825067e+04,1.759409680364177220e+01
1.013184327630000371e+04,1.759232617263586462e+01
1.013184329707175675e+04,1.759055562159549879e+01
1.013184331784350979e+04,1.758878515052253988e+01
1.013184333861526284e+04,1.758701475941881398e+01
1.013184335938701588e+04,1.758524444828616140e+01
1.013184338015876892e+04,1.758347421712641179e+01
1.013184340093052197e+04,1.758170406594138413e+01
1.013184342170227501e+04,1.757993399473297558e+01
1.013184344247402805e+04,1.757816400350298025e+01
1.013184346324578109e+04,1.757639409225325267e+01
1.013184348401753414e+04,1.757462426098561536e+01
1.013184350478928718e+04,1.757285450970189444e+01
1.013184352556104022e+04,1.757108483840397994e+01
1.013184354633279327e+04,1.756931524709368730e+01
1.013184356710454631e+04,1.756754573577283196e+01
1.013184358787629935e+04,1.756577630444324356e+01
1.013184360864805240e+04,1.756400695310681215e+01
1.013184362941980544e+04,1.756223768176534250e+01
1.013184365019155848e+04,1.756046849042067493e+01
1.013184367096331152e+04,1.755869937907462131e+01
1.013184369173506457e+04,1.755693034772907879e+01
1.013184371250681761e+04,1.755516139638583795e+01
1.013184373327857065e+04,1.755339252504675684e+01
1.013184375405032551e+04,1.755162373355877392e+01
1.013184377482207856e+04,1.754985502223350835e+01
1.013184379559383160e+04,1.754808639091788791e+01
1.013184381636558464e+04,1.754631783961379199e+01
1.013184383713733769e+04,1.754454936832303602e+01
1.013184385790909073e+04,1.754278097704741413e+01
1.013184387868084377e+04,1.754101266578883767e+01
1.013184389945259682e+04,1.753924443454910431e+01
1.013184392022434986e+04,1.753747628333006503e+01
1.013184394099610290e+04,1.753570821213352815e+01
1.013184396176785594e+04,1.753394022096134108e+01
1.013184398253960899e+04,1.753217230981535479e+01
1.013184400331136203e+04,1.753040447869740248e+01
1.013184402408311507e+04,1.752863672760931735e+01
1.013184404485486812e+04,1.752686905655292549e+01
1.013184406562662116e+04,1.752510146553004944e+01
1.013184408639837420e+04,1.752333395454256504e+01
1.013184410717012724e+04,1.752156652359229128e+01
1.013184412794188029e+04,1.751979917268106490e+01
1.013184414871363333e+04,1.751803190181071201e+01
1.013184416948538637e+04,1.751626471098304805e+01
1.013184419025713942e+04,1.751449760019996660e+01
1.013184421102889246e+04,1.751273056946326179e+01
1.013184423180064550e+04,1.751096361877474905e+01
1.013184425257239855e+04,1.750919674813632199e+01
1.013184427334415159e+04,1.750742995754978537e+01
1.013184429411590463e+04,1.750566324701697596e+01
1.013184431488765767e+04,1.750389661653971984e+01
1.013184433565941072e+04,1.750213006611983602e+01
1.013184435643116376e+04,1.750036359575920386e+01
1.013184437720291680e+04,1.749859720545963881e+01
1.013184439797466985e+04,1.749683089522298118e+01
1.013184441874642471e+04,1.749506466489637191e+01
1.013184443951817775e+04,1.749329851479101805e+01
1.013184446028993079e+04,1.749153244475403923e+01
1.013184448106168384e+04,1.748976645478731839e+01
1.013184450183343688e+04,1.748800054489267097e+01
1.013184452260518992e+04,1.748623471507190175e+01
1.013184454337694297e+04,1.748446896532691497e+01
1.013184456414869601e+04,1.748270329565946213e+01
1.013184458492044905e+04,1.748093770607142972e+01
1.013184460569220209e+04,1.747917219656464383e+01
1.013184462646395514e+04,1.747740676714090213e+01
1.013184464723570818e+04,1.747564141780209823e+01
1.013184466800746122e+04,1.747387614855002624e+01
1.013184468877921427e+04,1.747211095938652647e+01
1.013184470955096731e+04,1.747034585031344278e+01
1.013184473032272035e+04,1.746858082133256573e+01
1.013184475109447339e+04,1.746681587244579603e+01
1.013184477186622644e+04,1.746505100365492424e+01
1.013184479263797948e+04,1.746328621496180133e+01
1.013184481340973252e+04,1.746152150636824629e+01
1.013184483418148557e+04,1.745975687787607100e+01
1.013184485495323861e+04,1.745799232948715840e+01
1.013184487572499165e+04,1.745622786120331327e+01
1.013184489649674470e+04,1.745446347302637591e+01
1.013184491726849774e+04,1.745269916495817242e+01
1.013184493804025078e+04,1.745093493700050757e+01
1.013184495881200382e+04,1.744917078915527142e+01
1.013184497958375687e+04,1.744740672142426874e+01
1.013184500035550991e+04,1.744564273380931141e+01
1.013184502112726295e+04,1.744387882631228592e+01
1.013184504189901600e+04,1.744211499893494732e+01
1.013184506267077086e+04,1.744035125152474208e+01
1.013184508344252390e+04,1.743858758439239409e+01
1.013184510421427694e+04,1.743682399738526456e+01
1.013184512498602999e+04,1.743506049050516182e+01
1.013184514575778303e+04,1.743329706375397592e+01
1.013184516652953607e+04,1.743153371713350097e+01
1.013184518730128912e+04,1.742977045064558794e+01
1.013184520807304216e+04,1.742800726429205227e+01
1.013184522884479520e+04,1.742624415807470228e+01
1.013184524961654824e+04,1.742448113199542092e+01
1.013184527038830129e+04,1.742271818605601297e+01
1.013184529116005433e+04,1.742095532025831162e+01
1.013184531193180737e+04,1.741919253460415362e+01
1.013184533270356042e+04,1.741742982909532600e+01
1.013184535347531346e+04,1.741566720373372945e+01
1.013184537424706650e+04,1.741390465852116165e+01
1.013184539501881954e+04,1.741214219345942382e+01
1.013184541579057259e+04,1.741037980855040956e+01
1.013184543656232563e+04,1.740861750379590234e+01
1.013184545733407867e+04,1.740685527919775311e+01
1.013184547810583172e+04,1.740509313475778796e+01
1.013184549887758476e+04,1.740333107047780103e+01
1.013184551964933780e+04,1.740156908635968236e+01
1.013184554042109085e+04,1.739980718240524382e+01
1.013184556119284389e+04,1.739804535861629375e+01
1.013184558196459693e+04,1.739628361499468667e+01
1.013184560273634997e+04,1.739452195154220249e+01
1.013184562350810302e+04,1.739276036826073835e+01
1.013184564427985606e+04,1.739099886515209192e+01
1.013184566505160910e+04,1.738923744221809997e+01
1.013184568582336215e+04,1.738747609946058148e+01
1.013184570659511701e+04,1.738571483672711437e+01
1.013184572736687005e+04,1.738395365432805306e+01
1.013184574813862309e+04,1.738219255211095060e+01
1.013184576891037614e+04,1.738043153007764374e+01
1.013184578968212918e+04,1.737867058822994082e+01
1.013184581045388222e+04,1.737690972656971766e+01
1.013184583122563527e+04,1.737514894509877550e+01
1.013184585199738831e+04,1.737338824381893332e+01
1.013184587276914135e+04,1.737162762273203853e+01
1.013184589354089439e+04,1.736986708183989236e+01
1.013184591431264744e+04,1.736810662114435999e+01
1.013184593508440048e+04,1.736634624064725685e+01
1.013184595585615352e+04,1.736458594035039127e+01
1.013184597662790657e+04,1.736282572025559645e+01
1.013184599739965961e+04,1.736106558036473757e+01
1.013184601817141265e+04,1.735930552067961230e+01
1.013184603894316569e+04,1.735754554120205029e+01
1.013184605971491874e+04,1.735578564193386342e+01
1.013184608048667178e+04,1.735402582287690976e+01
1.013184610125842482e+04,1.735226608403301185e+01
1.013184612203017787e+04,1.735050642540399579e+01
1.013184614280193091e+04,1.734874684699168412e+01
1.013184616357368395e+04,1.734698734879787452e+01
1.013184618434543700e+04,1.734522793082443570e+01
1.013184620511719004e+04,1.734346859307320088e+01
1.013184622588894308e+04,1.734170933554596772e+01
1.013184624666069612e+04,1.733995015824458719e+01
1.013184626743244917e+04,1.733819106117083919e+01
1.013184628820420221e+04,1.733643204432661733e+01
1.013184630897595525e+04,1.733467310771372283e+01
1.013184632974770830e+04,1.733291425133393560e+01
1.013184635051946316e+04,1.733115547503513909e+01
1.013184637129121620e+04,1.732939677912716903e+01
1.013184639206296924e+04,1.732763816345782359e+01
1.013184641283472229e+04,1.732587962802893955e+01
1.013184643360647533e+04,1.732412117284233233e+01
1.013184645437822837e+04,1.732236279789980671e+01
1.013184647514998142e+04,1.732060450320323852e+01
1.013184649592173446e+04,1.731884628875443610e+01
1.013184651669348750e+04,1.731708815455521133e+01
1.013184653746524054e+04,1.731533010060740096e+01
1.013184655823699359e+04,1.731357212691280978e+01
1.013184657900874663e+04,1.731181423347329940e+01
1.013184659978049967e+04,1.731005642029068170e+01
