Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.905193796296138316e+03,7.555176069290897658e+02
9.905193817625817246e+03,7.555424827794695375e+02
9.905193838955496176e+03,7.555673560670041979e+02
9.905193860285176925e+03,7.555922267936190337e+02
9.905193881614855854e+03,7.556170949548768476e+02
9.905193902944534784e+03,7.556419605527024714e+02
9.905193924274213714e+03,7.556668235869005912e+02
9.905193945603892644e+03,7.556916840572755518e+02
9.905193966933571573e+03,7.557165419636316983e+02
9.905193988263252322e+03,7.557413973078929530e+02
9.905194009592931252e+03,7.557662500856246197e+02
9.905194030922610182e+03,7.557911002987506208e+02
9.905194052252289111e+03,7.558159479470757560e+02
9.905194073581968041e+03,7.558407930304042566e+02
9.905194094911648790e+03,7.558656355506593627e+02
9.905194116241327720e+03,7.558904755034080836e+02
9.905194137571006650e+03,7.559153128905741141e+02
9.905194158900685579e+03,7.559401477119616857e+02
9.905194180230364509e+03,7.559649799673757116e+02
9.905194201560043439e+03,7.559898096566204231e+02
9.905194222889724188e+03,7.560146367816179236e+02
9.905194244219403117e+03,7.560394613379381781e+02
9.905194265549082047e+03,7.560642833275034036e+02
9.905194286878760977e+03,7.560891027501181725e+02
9.905194308208439907e+03,7.561139196055871707e+02
9.905194329538120655e+03,7.561387338958313649e+02
9.905194350867799585e+03,7.561635456164231073e+02
9.905194372197478515e+03,7.561883547692832508e+02
9.905194393527157445e+03,7.562131613542169362e+02
9.905194414856836374e+03,7.562379653710287357e+02
9.905194436186517123e+03,7.562627668216384791e+02
9.905194457516196053e+03,7.562875657016209061e+02
9.905194478845874983e+03,7.563123620128961875e+02
9.905194500175553912e+03,7.563371557552692366e+02
9.905194521505232842e+03,7.563619469285449668e+02
9.905194542834911772e+03,7.563867355325279505e+02
9.905194564164592521e+03,7.564115215691373351e+02
9.905194585494271450e+03,7.564363050339502479e+02
9.905194606823950380e+03,7.564610859288856091e+02
9.905194628153629310e+03,7.564858642537485593e+02
9.905194649483308240e+03,7.565106400083440121e+02
9.905194670812988988e+03,7.565354131945896370e+02
9.905194692142667918e+03,7.565601838080654034e+02
9.905194713472346848e+03,7.565849518506887534e+02
9.905194734802025778e+03,7.566097173222650554e+02
9.905194756131704708e+03,7.566344802225995636e+02
9.905194777461383637e+03,7.566592405514973052e+02
9.905194798791064386e+03,7.566839983108745855e+02
9.905194820120743316e+03,7.567087534963139888e+02
9.905194841450422246e+03,7.567335061097326161e+02
9.905194862780101175e+03,7.567582561509350398e+02
9.905194884109780105e+03,7.567830036197268555e+02
9.905194905439460854e+03,7.568077485180236863e+02
9.905194926769139784e+03,7.568324908414099355e+02
9.905194948098818713e+03,7.568572305918014536e+02
9.905194969428497643e+03,7.568819677690037224e+02
9.905194990758176573e+03,7.569067023728219965e+02
9.905195012087855503e+03,7.569314344030616439e+02
9.905195033417536251e+03,7.569561638616369237e+02
9.905195054747215181e+03,7.569808907441351948e+02
9.905195076076894111e+03,7.570056150524712848e+02
9.905195097406573041e+03,7.570303367864506754e+02
9.905195118736251970e+03,7.570550559458786211e+02
9.905195140065932719e+03,7.570797725326682439e+02
9.905195161395611649e+03,7.571044865424098589e+02
9.905195182725290579e+03,7.571291979770165881e+02
9.905195204054969508e+03,7.571539068362940270e+02
9.905195225384648438e+03,7.571786131200478849e+02
9.905195246714329187e+03,7.572033168301904880e+02
9.905195268044008117e+03,7.572280179623137428e+02
9.905195289373687046e+03,7.572527165183304305e+02
9.905195310703365976e+03,7.572774124980459192e+02
9.905195332033044906e+03,7.573021059012661453e+02
9.905195353362723836e+03,7.573267967277965909e+02
9.905195374692404584e+03,7.573514849795484452e+02
9.905195396022083514e+03,7.573761706521165706e+02
9.905195417351762444e+03,7.574008537474124978e+02
9.905195438681441374e+03,7.574255342652417085e+02
9.905195460011120304e+03,7.574502122054101392e+02
9.905195481340801052e+03,7.574748875698278425e+02
9.905195502670479982e+03,7.574995603540919547e+02
9.905195524000158912e+03,7.575242305601128692e+02
9.905195545329837842e+03,7.575488981876965227e+02
9.905195566659516771e+03,7.575735632366486243e+02
9.905195587989195701e+03,7.575982257067753380e+02
9.905195609318876450e+03,7.576228855999852385e+02
9.905195630648555380e+03,7.576475429118787588e+02
9.905195651978234309e+03,7.576721976443643598e+02
9.905195673307913239e+03,7.576968497972487739e+02
9.905195694637592169e+03,7.577214993703375967e+02
9.905195715967272918e+03,7.577461463655387206e+02
9.905195737296951847e+03,7.577707907784542840e+02
9.905195758626630777e+03,7.577954326109927479e+02
9.905195779956309707e+03,7.578200718629600487e+02
9.905195801285988637e+03,7.578447085341622369e+02
9.905195822615667566e+03,7.578693426244055900e+02
9.905195843945348315e+03,7.578939741355968636e+02
9.905195865275027245e+03,7.579186030633408109e+02
9.905195886604706175e+03,7.579432294095446423e+02
9.905195907934385104e+03,7.579678531740141807e+02
9.905195929264064034e+03,7.579924743565561585e+02
9.905195950593744783e+03,7.580170929590759670e+02
9.905195971923423713e+03,7.580417089771809742e+02
9.905195993253102642e+03,7.580663224127770263e+02
9.905196014582781572e+03,7.580909332656707420e+02
9.905196035912460502e+03,7.581155415356682852e+02
9.905196057242139432e+03,7.581401472225759335e+02
9.905196078571820181e+03,7.581647503282981688e+02
9.905196099901499110e+03,7.581893508484453150e+02
9.905196121231178040e+03,7.582139487849219677e+02
9.905196142560856970e+03,7.582385441375346318e+02
9.905196163890535900e+03,7.582631369060894713e+02
9.905196185220216648e+03,7.582877270924901723e+02
9.905196206549895578e+03,7.583123146923493323e+02
9.905196227879574508e+03,7.583368997075705238e+02
9.905196249209253438e+03,7.583614821379601381e+02
9.905196270538932367e+03,7.583860619833249075e+02
9.905196291868613116e+03,7.584106392455673813e+02
9.905196313198292046e+03,7.584352139203020897e+02
9.905196334527970976e+03,7.584597860094319230e+02
9.905196355857649905e+03,7.584843555127631589e+02
9.905196377187328835e+03,7.585089224301030981e+02
9.905196398517007765e+03,7.585334867612580183e+02
9.905196419846688514e+03,7.585580485081292181e+02
9.905196441176367443e+03,7.585826076663342974e+02
9.905196462506046373e+03,7.586071642377746684e+02
9.905196483835725303e+03,7.586317182222571773e+02
9.905196505165404233e+03,7.586562696195884428e+02
9.905196526495084981e+03,7.586808184316689676e+02
9.905196547824763911e+03,7.587053646541185117e+02
9.905196569154442841e+03,7.587299082888375779e+02
