Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.027127336805546656e+04,3.409036262615309898e+00
1.027127353332662278e+04,3.407399581981947367e+00
1.027127369859778082e+04,3.405763282275311887e+00
1.027127386386893704e+04,3.404127363542986284e+00
1.027127402914009326e+04,3.402491825778517054e+00
1.027127419441124948e+04,3.400856668993467835e+00
1.027127435968240752e+04,3.399221893181385568e+00
1.027127452495356374e+04,3.397587498389827321e+00
1.027127469022471996e+04,3.395953484612327156e+00
1.027127485549587800e+04,3.394319851842470204e+00
1.027127502076703422e+04,3.392686600127743368e+00
1.027127518603819044e+04,3.391053729461719346e+00
1.027127535130934666e+04,3.389421239855929802e+00
1.027127551658050470e+04,3.387789131303946100e+00
1.027127568185166092e+04,3.386157403853230718e+00
1.027127584712281714e+04,3.384526057497343476e+00
1.027127601239397518e+04,3.382895092229874834e+00
1.027127617766513140e+04,3.381264508098236643e+00
1.027127634293628762e+04,3.379634305096000713e+00
1.027127650820744384e+04,3.378004483234692046e+00
1.027127667347860188e+04,3.376375042507889557e+00
1.027127683874975810e+04,3.374745982962978452e+00
1.027127700402091432e+04,3.373117304593530985e+00
1.027127716929207236e+04,3.371489007393132731e+00
1.027127733456322858e+04,3.369861091409136478e+00
1.027127749983438480e+04,3.368233556635127801e+00
1.027127766510554284e+04,3.366606403064685615e+00
1.027127783037669906e+04,3.364979630745137396e+00
1.027127799564785528e+04,3.363353239670055839e+00
1.027127816091901150e+04,3.361727229850947296e+00
1.027127832619016954e+04,3.360101601281389350e+00
1.027127849146132576e+04,3.358476354008679277e+00
1.027127865673248198e+04,3.356851488026388886e+00
1.027127882200364002e+04,3.355227003328122848e+00
1.027127898727479624e+04,3.353602899961126038e+00
1.027127915254595246e+04,3.351979177918989805e+00
1.027127931781710868e+04,3.350355837213182308e+00
1.027127948308826672e+04,3.348732877837320654e+00
1.027127964835942294e+04,3.347110299838591985e+00
1.027127981363057916e+04,3.345488103210600972e+00
1.027127997890173719e+04,3.343866287946964722e+00
1.027128014417289342e+04,3.342244854094839290e+00
1.027128030944404964e+04,3.340623801647822244e+00
1.027128047471520586e+04,3.339003130617381743e+00
1.027128063998636389e+04,3.337382840997122013e+00
1.027128080525752011e+04,3.335762932834173355e+00
1.027128097052867633e+04,3.334143406122139996e+00
1.027128113579983437e+04,3.332524260854651921e+00
1.027128130107099059e+04,3.330905497078782140e+00
1.027128146634214681e+04,3.329287114788154867e+00
1.027128163161330303e+04,3.327669113994192074e+00
1.027128179688446107e+04,3.326051494690543286e+00
1.027128196215561729e+04,3.324434256924230890e+00
1.027128212742677351e+04,3.322817400688884426e+00
1.027128229269793155e+04,3.321200925978133878e+00
1.027128245796908777e+04,3.319584832838994970e+00
1.027128262324024399e+04,3.317969121265078591e+00
1.027128278851140021e+04,3.316353791267807605e+00
1.027128295378255825e+04,3.314738842840824873e+00
1.027128311905371447e+04,3.313124276031095050e+00
1.027128328432487069e+04,3.311510090832241904e+00
1.027128344959602873e+04,3.309896287237914070e+00
1.027128361486718495e+04,3.308282865295038455e+00
1.027128378013834117e+04,3.306669824997245044e+00
1.027128394540949739e+04,3.305057166355950482e+00
1.027128411068065543e+04,3.303444889364784309e+00
1.027128427595181165e+04,3.301832994070641902e+00
1.027128444122296787e+04,3.300221480467159019e+00
1.027128460649412591e+04,3.298610348547998061e+00
1.027128477176528213e+04,3.296999598360008665e+00
1.027128493703643835e+04,3.295389229896827032e+00
1.027128510230759457e+04,3.293779243169845383e+00
1.027128526757875261e+04,3.292169638172717683e+00
1.027128543284990883e+04,3.290560414952257151e+00
1.027128559812106505e+04,3.288951573502105763e+00
1.027128576339222309e+04,3.287343113815932139e+00
1.027128592866337931e+04,3.285735035940516191e+00
1.027128609393453553e+04,3.284127339869507001e+00
1.027128625920569357e+04,3.282520025596585178e+00
1.027128642447684979e+04,3.280913093168473793e+00
1.027128658974800601e+04,3.279306542578854344e+00
1.027128675501916223e+04,3.277700373839059989e+00
1.027128692029032027e+04,3.276094586942784215e+00
1.027128708556147649e+04,3.274489181936712789e+00
1.027128725083263271e+04,3.272884158814506339e+00
1.027128741610379075e+04,3.271279517569858797e+00
1.027128758137494697e+04,3.269675258249430172e+00
1.027128774664610319e+04,3.268071380846881091e+00
1.027128791191725941e+04,3.266467885373558921e+00
1.027128807718841745e+04,3.264864771823138057e+00
1.027128824245957367e+04,3.263262040242246087e+00
1.027128840773072989e+04,3.261659690624557406e+00
1.027128857300188793e+04,3.260057722963771276e+00
1.027128873827304415e+04,3.258456137306446454e+00
1.027128890354420037e+04,3.256854933646301298e+00
1.027128906881535659e+04,3.255254111994618338e+00
1.027128923408651463e+04,3.253653672345111048e+00
1.027128939935767085e+04,3.252053614744317755e+00
1.027128956462882707e+04,3.250453939185925289e+00
1.027128972989998510e+04,3.248854645663640017e+00
1.027128989517114132e+04,3.247255734223956303e+00
1.027129006044229754e+04,3.245657204860579625e+00
1.027129022571345376e+04,3.244059057584806283e+00
1.027129039098461180e+04,3.242461292390335981e+00
1.027129055625576802e+04,3.240863909323631109e+00
1.027129072152692424e+04,3.239266908378385157e+00
1.027129088679808228e+04,3.237670289548329361e+00
1.027129105206923850e+04,3.236074052879882146e+00
1.027129121734039472e+04,3.234478198366742330e+00
1.027129138261155094e+04,3.232882726020187558e+00
1.027129154788270898e+04,3.231287635833942407e+00
1.027129171315386520e+04,3.229692927854393325e+00
1.027129187842502142e+04,3.228098602075239576e+00
1.027129204369617946e+04,3.226504658490207067e+00
1.027129220896733568e+04,3.224911097145655603e+00
1.027129237423849190e+04,3.223317918035285334e+00
1.027129253950964812e+04,3.221725121170366801e+00
1.027129270478080616e+04,3.220132706544625023e+00
1.027129287005196238e+04,3.218540674204356744e+00
1.027129303532311860e+04,3.216949024143293645e+00
1.027129320059427664e+04,3.215357756355167407e+00
1.027129336586543286e+04,3.213766870886249460e+00
1.027129353113658908e+04,3.212176367730258608e+00
1.027129369640774712e+04,3.210586246880945627e+00
1.027129386167890334e+04,3.208996508384543755e+00
1.027129402695005956e+04,3.207407152234778014e+00
1.027129419222121578e+04,3.205818178442886968e+00
1.027129435749237382e+04,3.204229587002608959e+00
1.027129452276353004e+04,3.202641377960138591e+00
1.027129468803468626e+04,3.201053551309214207e+00
1.027129485330584430e+04,3.199466107043579477e+00
1.027129501857700052e+04,3.197879045209405025e+00
1.027129518384815674e+04,3.196292365800427859e+00
1.027129534911931296e+04,3.194706068827848799e+00
1.027129551439047100e+04,3.193120154285443935e+00
1.027129567966162722e+04,3.191534622219306616e+00
1.027129584493278344e+04,3.189949472623200055e+00
1.027129601020394148e+04,3.188364705490875028e+00
1.027129617547509770e+04,3.186780320868424443e+00
1.027129634074625392e+04,3.185196318749587086e+00
1.027129650601741014e+04,3.183612699145555780e+00
1.027129667128856818e+04,3.182029462050101287e+00
1.027129683655972440e+04,3.180446607509265888e+00
1.027129700183088062e+04,3.178864135516805689e+00
1.027129716710203866e+04,3.177282046066485233e+00
1.027129733237319488e+04,3.175700339204308165e+00
1.027129749764435110e+04,3.174119014924043913e+00
1.027129766291550732e+04,3.172538073236861766e+00
1.027129782818666536e+04,3.170957514136537370e+00
1.027129799345782158e+04,3.169377337669036621e+00
1.027129815872897780e+04,3.167797543828116513e+00
1.027129832400013584e+04,3.166218132607566460e+00
1.027129848927129206e+04,3.164639104053307506e+00
1.027129865454244828e+04,3.163060458159122401e+00
1.027129881981360450e+04,3.161482194936153789e+00
1.027129898508476253e+04,3.159904314378191081e+00
1.027129915035591875e+04,3.158326816531129566e+00
1.027129931562707498e+04,3.156749701388726681e+00
1.027129948089823301e+04,3.155172968944790490e+00
1.027129964616938923e+04,3.153596619245159438e+00
1.027129981144054545e+04,3.152020652283629154e+00
1.027129997671170167e+04,3.150445068071316523e+00
1.027130014198285971e+04,3.148869866602030498e+00
1.027130030725401593e+04,3.147295047921583322e+00
1.027130047252517215e+04,3.145720612023745311e+00
1.027130063779633019e+04,3.144146558902330746e+00
1.027130080306748641e+04,3.142572888603114567e+00
1.027130096833864263e+04,3.140999601119879525e+00
1.027130113360980067e+04,3.139426696446439902e+00
1.027130129888095689e+04,3.137854174628525783e+00
1.027130146415211311e+04,3.136282035659939016e+00
1.027130162942326933e+04,3.134710279551791157e+00
1.027130179469442737e+04,3.133138906297883164e+00
1.027130195996558359e+04,3.131567915943926916e+00
1.027130212523673981e+04,3.129997308483711382e+00
1.027130229050789785e+04,3.128427083911063278e+00
1.027130245577905407e+04,3.126857242271636750e+00
1.027130262105021029e+04,3.125287783559240307e+00
1.027130278632136651e+04,3.123718707784965520e+00
1.027130295159252455e+04,3.122150014942632890e+00
1.027130311686368077e+04,3.120581705077865475e+00
1.027130328213483699e+04,3.119013778184464236e+00
1.027130344740599503e+04,3.117446234256269211e+00
1.027130361267715125e+04,3.115879073338858607e+00
1.027130377794830747e+04,3.114312295426045818e+00
1.027130394321946369e+04,3.112745900528904652e+00
1.027130410849062173e+04,3.111179888641280922e+00
1.027130427376177795e+04,3.109614259808688885e+00
