Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.896128576389048249e+03,3.544982878979574537e+01
9.896128599245501391e+03,3.545803344358080267e+01
9.896128622101952715e+03,3.546623898371203865e+01
9.896128644958405857e+03,3.547444541146661834e+01
9.896128667814857181e+03,3.548265272550961669e+01
9.896128690671310324e+03,3.549086092711843321e+01
9.896128713527761647e+03,3.549907001495770231e+01
9.896128736384214790e+03,3.550727999030526405e+01
9.896128759240666113e+03,3.551549085182543308e+01
9.896128782097119256e+03,3.552370260079620579e+01
9.896128804953570580e+03,3.553191523588173339e+01
9.896128827810023722e+03,3.554012875836028229e+01
9.896128850666476865e+03,3.554834316754938328e+01
9.896128873522928188e+03,3.555655846276636822e+01
9.896128896379381331e+03,3.556477464528996535e+01
9.896128919235832655e+03,3.557299171378346614e+01
9.896128942092285797e+03,3.558120966952589725e+01
9.896128964948737121e+03,3.558942851118035833e+01
9.896128987805190263e+03,3.559764824002609629e+01
9.896129010661641587e+03,3.560586885472584839e+01
9.896129033518094730e+03,3.561409035655922395e+01
9.896129056374546053e+03,3.562231274418877547e+01
9.896129079230999196e+03,3.563053601889416910e+01
9.896129102087450519e+03,3.563876017933772999e+01
9.896129124943903662e+03,3.564698522679950798e+01
9.896129147800356805e+03,3.565521116059608886e+01
9.896129170656808128e+03,3.566343798004383103e+01
9.896129193513261271e+03,3.567166568642329594e+01
9.896129216369712594e+03,3.567989427839588501e+01
9.896129239226165737e+03,3.568812375724234442e+01
9.896129262082617061e+03,3.569635412162399035e+01
9.896129284939070203e+03,3.570458537282182476e+01
9.896129307795521527e+03,3.571281750949674461e+01
9.896129330651974669e+03,3.572105053293012844e+01
9.896129353508425993e+03,3.572928444178262453e+01
9.896129376364879136e+03,3.573751923733571800e+01
9.896129399221332278e+03,3.574575491890534806e+01
9.896129422077783602e+03,3.575399148580691389e+01
9.896129444934236744e+03,3.576222893932251878e+01
9.896129467790688068e+03,3.577046727811202231e+01
9.896129490647141211e+03,3.577870650345774095e+01
9.896129513503592534e+03,3.578694661401933530e+01
9.896129536360045677e+03,3.579518761107926395e+01
9.896129559216497000e+03,3.580342949329698854e+01
9.896129582072950143e+03,3.581167226195524478e+01
9.896129604929401467e+03,3.581991591571316036e+01
9.896129627785854609e+03,3.582816045585382625e+01
9.896129650642307752e+03,3.583640588169225794e+01
9.896129673498759075e+03,3.584465219254311563e+01
9.896129696355212218e+03,3.585289938968993795e+01
9.896129719211663542e+03,3.586114747179105677e+01
9.896129742068116684e+03,3.586939644013029493e+01
9.896129764924568008e+03,3.587764629336566458e+01
9.896129787781021150e+03,3.588589703278132959e+01
9.896129810637472474e+03,3.589414865703497526e+01
9.896129833493925616e+03,3.590240116741094312e+01
9.896129856350376940e+03,3.591065456256671240e+01
9.896129879206830083e+03,3.591890884378696569e+01
9.896129902063283225e+03,3.592716401038582319e+01
9.896129924919734549e+03,3.593542006167722747e+01
9.896129947776187691e+03,3.594367699894619506e+01
9.896129970632639015e+03,3.595193482084948045e+01
9.896129993489092158e+03,3.596019352867239149e+01
9.896130016345543481e+03,3.596845312107141979e+01
9.896130039201996624e+03,3.597671359933212898e+01
9.896130062058447947e+03,3.598497496211069091e+01
9.896130084914901090e+03,3.599323721069303872e+01
9.896130107771352414e+03,3.600150034373497476e+01
9.896130130627805556e+03,3.600976436252268087e+01
9.896130153484256880e+03,3.601802926571171781e+01
9.896130176340710022e+03,3.602629505458858716e+01
9.896130199197163165e+03,3.603456172846642147e+01
9.896130222053614489e+03,3.604282928665826091e+01
9.896130244910067631e+03,3.605109773045085575e+01
9.896130267766518955e+03,3.605936705849916279e+01
9.896130290622972097e+03,3.606763727209019521e+01
9.896130313479423421e+03,3.607590836987857585e+01
9.896130336335876564e+03,3.608418035315173711e+01
9.896130359192327887e+03,3.609245322056393235e+01
9.896130382048781030e+03,3.610072697340287107e+01
9.896130404905232353e+03,3.610900161032254374e+01
9.896130427761685496e+03,3.611727713261082329e+01
9.896130450618138639e+03,3.612555353958020987e+01
9.896130473474589962e+03,3.613383083054278444e+01
9.896130496331043105e+03,3.614210900678695282e+01
9.896130519187494428e+03,3.615038806696595941e+01
9.896130542043947571e+03,3.615866801236845873e+01
9.896130564900398895e+03,3.616694884164743229e+01
9.896130587756852037e+03,3.617523055609180460e+01
9.896130610613303361e+03,3.618351315435423032e+01
9.896130633469756503e+03,3.619179663772398925e+01
9.896130656326207827e+03,3.620008100485343761e+01
9.896130679182660970e+03,3.620836625703204703e+01
9.896130702039114112e+03,3.621665239357145794e+01
9.896130724895565436e+03,3.622493941378291993e+01
9.896130747752018578e+03,3.623322731895634519e+01
9.896130770608469902e+03,3.624151610774342913e+01
9.896130793464923045e+03,3.624980578143433974e+01
9.896130816321374368e+03,3.625809633868049531e+01
9.896130839177827511e+03,3.626638778077228409e+01
9.896130862034278834e+03,3.627468010636085438e+01
9.896130884890731977e+03,3.628297331673689996e+01
9.896130907747183301e+03,3.629126741055121386e+01
9.896130930603636443e+03,3.629956238909485933e+01
9.896130953460089586e+03,3.630785825167858860e+01
9.896130976316540909e+03,3.631615499761290522e+01
9.896130999172994052e+03,3.632445262818919218e+01
9.896131022029445376e+03,3.633275114205759593e+01
9.896131044885898518e+03,3.634105054050976946e+01
9.896131067742349842e+03,3.634935082219551106e+01
9.896131090598802984e+03,3.635765198840679346e+01
9.896131113455254308e+03,3.636595403779318758e+01
9.896131136311707451e+03,3.637425697164683669e+01
9.896131159168158774e+03,3.638256078861704168e+01
9.896131182024611917e+03,3.639086548999627979e+01
9.896131204881063240e+03,3.639917107443349664e+01
9.896131227737516383e+03,3.640747754322150342e+01
9.896131250593969526e+03,3.641578489567010024e+01
9.896131273450420849e+03,3.642409313108889535e+01
9.896131296306873992e+03,3.643240225077103389e+01
9.896131319163325315e+03,3.644071225336470121e+01
9.896131342019778458e+03,3.644902314016341904e+01
9.896131364876229782e+03,3.645733490981514535e+01
9.896131387732682924e+03,3.646564756361360082e+01
9.896131410589134248e+03,3.647396110020651605e+01
9.896131433445587390e+03,3.648227552088776804e+01
9.896131456302038714e+03,3.649059082430483869e+01
9.896131479158491857e+03,3.649890701175196028e+01
9.896131502014944999e+03,3.650722408253820106e+01
9.896131524871396323e+03,3.651554203597225268e+01
9.896131547727849465e+03,3.652386087334887321e+01
9.896131570584300789e+03,3.653218059331469902e+01
9.896131593440753932e+03,3.654050119716472267e+01
9.896131616297205255e+03,3.654882268354527497e+01
9.896131639153658398e+03,3.655714505375157586e+01
9.896131662010109721e+03,3.656546830642979984e+01
9.896131684866562864e+03,3.657379244287538000e+01
9.896131707723014188e+03,3.658211746173423506e+01
9.896131730579467330e+03,3.659044336430203259e+01
9.896131753435920473e+03,3.659877014988710897e+01
9.896131776292371796e+03,3.660709781779727479e+01
9.896131799148824939e+03,3.661542636932882289e+01
9.896131822005276263e+03,3.662375580312678380e+01
9.896131844861729405e+03,3.663208612048770618e+01
9.896131867718180729e+03,3.664041732005636476e+01
9.896131890574633871e+03,3.664874940312950713e+01
9.896131913431085195e+03,3.665708236835160960e+01
9.896131936287538338e+03,3.666541621701973952e+01
9.896131959143989661e+03,3.667375094777808897e+01
9.896131982000442804e+03,3.668208656192398820e+01
9.896132004856895946e+03,3.669042305876484988e+01
9.896132027713347270e+03,3.669876043760783801e+01
9.896132050569800413e+03,3.670709869975063100e+01
9.896132073426251736e+03,3.671543784383671039e+01
9.896132096282704879e+03,3.672377787116407433e+01
9.896132119139156202e+03,3.673211878037595568e+01
9.896132141995609345e+03,3.674046057277067945e+01
9.896132164852060669e+03,3.674880324699110901e+01
9.896132187708513811e+03,3.675714680433579673e+01
9.896132210564965135e+03,3.676549124344736441e+01
9.896132233421418277e+03,3.677383656562466285e+01
9.896132256277869601e+03,3.678218276951000831e+01
9.896132279134322744e+03,3.679052985640251450e+01
9.896132301990775886e+03,3.679887782560866327e+01
9.896132324847227210e+03,3.680722667643466650e+01
9.896132347703680352e+03,3.681557641017995763e+01
9.896132370560131676e+03,3.682392702548613528e+01
9.896132393416584819e+03,3.683227852365305210e+01
9.896132416273036142e+03,3.684063090332205093e+01
9.896132439129489285e+03,3.684898416579318337e+01
9.896132461985940608e+03,3.685733830970752933e+01
9.896132484842393751e+03,3.686569333636538204e+01
9.896132507698845075e+03,3.687404924440749454e+01
9.896132530555298217e+03,3.688240603513450822e+01
9.896132553411751360e+03,3.689076370785205228e+01
9.896132576268202683e+03,3.689912226186553568e+01
9.896132599124655826e+03,3.690748169847594795e+01
9.896132621981107150e+03,3.691584201632340267e+01
9.896132644837560292e+03,3.692420321670910965e+01
9.896132667694011616e+03,3.693256529827282719e+01
9.896132690550464758e+03,3.694092826231619142e+01
9.896132713406916082e+03,3.694929210747863380e+01
9.896132736263369225e+03,3.695765683506204624e+01
9.896132759119820548e+03,3.696602244370560442e+01
9.896132781976273691e+03,3.697438893471139210e+01
9.896132804832726833e+03,3.698275630738427822e+01
9.896132827689178157e+03,3.699112456102879065e+01
9.896132850545631300e+03,3.699949369694751056e+01
9.896132873402082623e+03,3.700786371377889594e+01
9.896132896258535766e+03,3.701623461282578376e+01
9.896132919114987089e+03,3.702460639272630516e+01
9.896132941971440232e+03,3.703297905478355290e+01
9.896132964827891556e+03,3.704135259763541654e+01
9.896132987684344698e+03,3.704972702258529438e+01
