Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.014846018518507481e+04,1.241522031377879746e-02
1.014846020605984813e+04,1.242788933382707288e-02
1.014846022693461964e+04,1.244056481277383726e-02
1.014846024780939297e+04,1.245324675283370104e-02
1.014846026868416629e+04,1.246593515289935727e-02
1.014846028955893780e+04,1.247863001185713951e-02
1.014846031043371113e+04,1.249133133192801941e-02
1.014846033130848264e+04,1.250403911088466234e-02
1.014846035218325596e+04,1.251675335095440121e-02
1.014846037305802929e+04,1.252947405101720833e-02
1.014846039393280080e+04,1.254220120996577502e-02
1.014846041480757413e+04,1.255493483002107641e-02
1.014846043568234745e+04,1.256767491006308135e-02
1.014846045655711896e+04,1.258042144899084586e-02
1.014846047743189229e+04,1.259317444901898383e-02
1.014846049830666561e+04,1.260593390903382190e-02
1.014846051918143712e+04,1.261869982792169359e-02
1.014846054005621045e+04,1.263147220790993529e-02
1.014846056093098196e+04,1.264425104677121235e-02
1.014846058180575528e+04,1.265703634672649645e-02
1.014846060268052861e+04,1.266982810666211767e-02
1.014846062355530012e+04,1.268262632546440782e-02
1.014846064443007344e+04,1.269543100535434378e-02
1.014846066530484677e+04,1.270824214522461686e-02
1.014846068617961828e+04,1.272105974395519590e-02
1.014846070705439161e+04,1.273388380377978198e-02
1.014846072792916493e+04,1.274671432357197751e-02
1.014846074880393644e+04,1.275955130221811604e-02
1.014846076967870977e+04,1.277239474195189864e-02
1.014846079055348127e+04,1.278524464053325781e-02
1.014846081142825460e+04,1.279810100020226105e-02
1.014846083230302793e+04,1.281096381983251251e-02
1.014846085317779944e+04,1.282383309831034053e-02
1.014846087405257276e+04,1.283670883786944793e-02
1.014846089492734609e+04,1.284959103739616651e-02
1.014846091580211760e+04,1.286247969575137276e-02
1.014846093667689092e+04,1.287537481518785665e-02
1.014846095755166243e+04,1.288827639345919117e-02
1.014846097842643576e+04,1.290118443281180680e-02
1.014846099930120909e+04,1.291409893211930421e-02
1.014846102017598059e+04,1.292701989024892459e-02
1.014846104105075392e+04,1.293994730945346137e-02
1.014846106192552725e+04,1.295288118861288168e-02
1.014846108280029875e+04,1.296582152658805852e-02
1.014846110367507208e+04,1.297876832563815350e-02
1.014846112454984541e+04,1.299172158463676729e-02
1.014846114542461692e+04,1.300468130244477466e-02
1.014846116629939024e+04,1.301764748132770017e-02
1.014846118717416175e+04,1.303062011902001924e-02
1.014846120804893508e+04,1.304359921778089001e-02
