Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.908226643518544734e+03,7.678134691732669808e+02
9.908226666740774817e+03,7.678391085332889361e+02
9.908226689963004901e+03,7.678647447408134212e+02
9.908226713185233166e+03,7.678903777935937569e+02
9.908226736407463250e+03,7.679160076954066199e+02
9.908226759629693333e+03,7.679416344440048761e+02
9.908226782851923417e+03,7.679672580391496695e+02
9.908226806074151682e+03,7.679928784785950029e+02
9.908226829296381766e+03,7.680184957661160752e+02
9.908226852518611850e+03,7.680441098994666618e+02
9.908226875740841933e+03,7.680697208784080203e+02
9.908226898963070198e+03,7.680953287006955179e+02
9.908226922185300282e+03,7.681209333701019659e+02
9.908226945407530366e+03,7.681465348843828451e+02
9.908226968629760449e+03,7.681721332432989584e+02
9.908226991851988714e+03,7.681977284446072645e+02
9.908227015074218798e+03,7.682233204920786420e+02
9.908227038296448882e+03,7.682489093834693676e+02
9.908227061518678966e+03,7.682744951185409263e+02
9.908227084740907230e+03,7.683000776950506179e+02
9.908227107963137314e+03,7.683256571167681841e+02
9.908227131185367398e+03,7.683512333814503563e+02
9.908227154407597482e+03,7.683768064888593017e+02
9.908227177629825746e+03,7.684023764367532294e+02
9.908227200852055830e+03,7.684279432288996077e+02
9.908227224074285914e+03,7.684535068630569867e+02
9.908227247296515998e+03,7.684790673389870790e+02
9.908227270518744263e+03,7.685046246544496853e+02
9.908227293740974346e+03,7.685301788132102274e+02
9.908227316963204430e+03,7.685557298130281652e+02
9.908227340185434514e+03,7.685812776536654383e+02
9.908227363407662779e+03,7.686068223328828708e+02
9.908227386629892862e+03,7.686323638544440655e+02
9.908227409852122946e+03,7.686579022161098464e+02
9.908227433074353030e+03,7.686834374176421534e+02
9.908227456296581295e+03,7.687089694568028335e+02
9.908227479518811379e+03,7.687344983373536706e+02
9.908227502741041462e+03,7.687600240570565120e+02
9.908227525963271546e+03,7.687855466156732973e+02
9.908227549185499811e+03,7.688110660109671244e+02
9.908227572407729895e+03,7.688365822466982991e+02
9.908227595629959978e+03,7.688620953206291233e+02
9.908227618852190062e+03,7.688876052325221053e+02
9.908227642074418327e+03,7.689131119801412524e+02
9.908227665296648411e+03,7.689386155672449377e+02
9.908227688518878495e+03,7.689641159915968274e+02
9.908227711741108578e+03,7.689896132529594297e+02
9.908227734963336843e+03,7.690151073490980025e+02
9.908227758185566927e+03,7.690405982837685315e+02
9.908227781407797011e+03,7.690660860547362745e+02
9.908227804630027094e+03,7.690915706617638534e+02
9.908227827852255359e+03,7.691170521026172082e+02
9.908227851074485443e+03,7.691425303810511878e+02
9.908227874296715527e+03,7.691680054948315046e+02
9.908227897518945610e+03,7.691934774437211217e+02
9.908227920741173875e+03,7.692189462254873433e+02
9.908227943963403959e+03,7.692444118438825171e+02
9.908227967185634043e+03,7.692698742966741747e+02
9.908227990407864127e+03,7.692953335836249380e+02
9.908228013630092391e+03,7.693207897025032480e+02
9.908228036852322475e+03,7.693462426570599746e+02
9.908228060074552559e+03,7.693716924450634451e+02
9.908228083296782643e+03,7.693971390662762815e+02
9.908228106519010908e+03,7.694225825184682890e+02
9.908228129741240991e+03,7.694480228053884048e+02
9.908228152963471075e+03,7.694734599248060931e+02
9.908228176185701159e+03,7.694988938764838622e+02
9.908228199407929424e+03,7.695243246581932226e+02
