Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.913946643518749624e+03,2.739910228224072153e+00
9.913946661622412648e+03,2.739910308421309004e+00
9.913946679726073853e+03,2.739910388621379589e+00
9.913946697829736877e+03,2.739910468824300782e+00
9.913946715933398082e+03,2.739910549030053932e+00
9.913946734037061105e+03,2.739910629238656359e+00
9.913946752140722310e+03,2.739910709450090742e+00
9.913946770244385334e+03,2.739910789664372626e+00
9.913946788348046539e+03,2.739910869881486022e+00
9.913946806451709563e+03,2.739910950101446918e+00
9.913946824555372586e+03,2.739911030324245100e+00
9.913946842659033791e+03,2.739911110549873907e+00
9.913946860762696815e+03,2.739911190778348438e+00
9.913946878866358020e+03,2.739911271009651372e+00
9.913946896970021044e+03,2.739911351243798698e+00
9.913946915073682248e+03,2.739911431480774873e+00
9.913946933177345272e+03,2.739911511720594550e+00
9.913946951281006477e+03,2.739911591963240856e+00
9.913946969384669501e+03,2.739911672208730220e+00
9.913946987488332525e+03,2.739911752457054650e+00
9.913947005591993729e+03,2.739911832708203931e+00
9.913947023695656753e+03,2.739911912962194496e+00
9.913947041799317958e+03,2.739911993219010355e+00
9.913947059902980982e+03,2.739912073478667054e+00
9.913947078006642187e+03,2.739912153741147272e+00
9.913947096110305210e+03,2.739912234006467440e+00
9.913947114213966415e+03,2.739912314274610239e+00
9.913947132317629439e+03,2.739912394545591656e+00
9.913947150421292463e+03,2.739912474819403698e+00
9.913947168524953668e+03,2.739912555096037039e+00
9.913947186628616691e+03,2.739912635375508110e+00
9.913947204732277896e+03,2.739912715657799591e+00
9.913947222835940920e+03,2.739912795942927914e+00
9.913947240939602125e+03,2.739912876230875760e+00
9.913947259043265149e+03,2.739912956521659115e+00
9.913947277146926353e+03,2.739913036815261549e+00
9.913947295250589377e+03,2.739913117111698604e+00
9.913947313354252401e+03,2.739913197410961843e+00
9.913947331457913606e+03,2.739913277713042827e+00
9.913947349561576630e+03,2.739913358017957101e+00
9.913947367665237834e+03,2.739913438325687345e+00
9.913947385768900858e+03,2.739913518636250878e+00
9.913947403872562063e+03,2.739913598949629492e+00
9.913947421976225087e+03,2.739913679265839619e+00
9.913947440079888111e+03,2.739913759584872821e+00
9.913947458183549315e+03,2.739913839906720217e+00
9.913947476287212339e+03,2.739913920231397793e+00
9.913947494390873544e+03,2.739914000558888674e+00
9.913947512494536568e+03,2.739914080889209291e+00
9.913947530598197773e+03,2.739914161222341882e+00
9.913947548701860796e+03,2.739914241558303321e+00
9.913947566805522001e+03,2.739914321897075844e+00
9.913947584909185025e+03,2.739914402238675439e+00
9.913947603012848049e+03,2.739914482583094113e+00
9.913947621116509254e+03,2.739914562930323871e+00
9.913947639220172277e+03,2.739914643280378925e+00
9.913947657323833482e+03,2.739914723633243288e+00
9.913947675427496506e+03,2.739914803988933389e+00
9.913947693531157711e+03,2.739914884347430579e+00
9.913947711634820735e+03,2.739914964708753065e+00
9.913947729738481939e+03,2.739915045072882638e+00
9.913947747842144963e+03,2.739915125439836174e+00
9.913947765945807987e+03,2.739915205809603460e+00
9.913947784049469192e+03,2.739915286182177390e+00
9.913947802153132216e+03,2.739915366557573506e+00
9.913947820256793420e+03,2.739915446935774046e+00
9.913947838360456444e+03,2.739915527316796329e+00
9.913947856464117649e+03,2.739915607700622591e+00
9.913947874567780673e+03,2.739915688087269263e+00
9.913947892671441878e+03,2.739915768476719027e+00
9.913947910775104901e+03,2.739915848868988313e+00
9.913947928878767925e+03,2.739915929264067795e+00
9.913947946982429130e+03,2.739916009661949925e+00
9.913947965086092154e+03,2.739916090062649356e+00
9.913947983189753359e+03,2.739916170466150103e+00
9.913948001293416382e+03,2.739916250872467707e+00
9.913948019397077587e+03,2.739916331281585293e+00
9.913948037500740611e+03,2.739916411693519294e+00
9.913948055604401816e+03,2.739916492108252832e+00
9.913948073708064840e+03,2.739916572525800564e+00
9.913948091811727863e+03,2.739916652946155384e+00
9.913948109915389068e+03,2.739916733369307966e+00
