Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
9.908226643518544734e+03,1.240183634910685669e+03
9.908226666740774817e+03,1.240213004093908694e+03
9.908226689963004901e+03,1.240242370963426538e+03
9.908226713185233166e+03,1.240271735516676017e+03
9.908226736407463250e+03,1.240301097757993830e+03
9.908226759629693333e+03,1.240330457684816338e+03
9.908226782851923417e+03,1.240359815296880470e+03
9.908226806074151682e+03,1.240389170591623497e+03
9.908226829296381766e+03,1.240418523573380980e+03
9.908226852518611850e+03,1.240447874239589964e+03
9.908226875740841933e+03,1.240477222589987377e+03
9.908226898963070198e+03,1.240506568622011628e+03
9.908226922185300282e+03,1.240535912339996457e+03
9.908226945407530366e+03,1.240565253741380502e+03
9.908226968629760449e+03,1.240594592825900236e+03
9.908226991851988714e+03,1.240623929590995203e+03
9.908227015074218798e+03,1.240653264040997556e+03
9.908227038296448882e+03,1.240682596173346610e+03
9.908227061518678966e+03,1.240711925987779523e+03
9.908227084740907230e+03,1.240741253481735839e+03
9.908227107963137314e+03,1.240770578659547709e+03
9.908227131185367398e+03,1.240799901518653769e+03
9.908227154407597482e+03,1.240829222058792084e+03
9.908227177629825746e+03,1.240858540277402881e+03
9.908227200852055830e+03,1.240887856178816264e+03
9.908227224074285914e+03,1.240917169760473143e+03
9.908227247296515998e+03,1.240946481022110447e+03
9.908227270518744263e+03,1.240975789961170221e+03
9.908227293740974346e+03,1.241005096581980979e+03
9.908227316963204430e+03,1.241034400881983629e+03
9.908227340185434514e+03,1.241063702860916237e+03
9.908227363407662779e+03,1.241093002516220622e+03
9.908227386629892862e+03,1.241122299852224614e+03
9.908227409852122946e+03,1.241151594866370033e+03
9.908227433074353030e+03,1.241180887558394943e+03
9.908227456296581295e+03,1.241210177925742300e+03
9.908227479518811379e+03,1.241239465972737662e+03
9.908227502741041462e+03,1.241268751696824665e+03
9.908227525963271546e+03,1.241298035097740694e+03
9.908227549185499811e+03,1.241327316172930068e+03
9.908227572407729895e+03,1.241356594926716980e+03
9.908227595629959978e+03,1.241385871356545977e+03
9.908227618852190062e+03,1.241415145462154214e+03
9.908227642074418327e+03,1.241444417240986240e+03
9.908227665296648411e+03,1.241473686697366475e+03
9.908227688518878495e+03,1.241502953828739010e+03
9.908227711741108578e+03,1.241532218634841684e+03
9.908227734963336843e+03,1.241561481113119953e+03
9.908227758185566927e+03,1.241590741267896192e+03
9.908227781407797011e+03,1.241619999096616084e+03
9.908227804630027094e+03,1.241649254599017013e+03
9.908227827852255359e+03,1.241678507772546027e+03
9.908227851074485443e+03,1.241707758621523681e+03
9.908227874296715527e+03,1.241737007143395658e+03
9.908227897518945610e+03,1.241766253337900707e+03
9.908227920741173875e+03,1.241795497202486331e+03
9.908227943963403959e+03,1.241824738741471037e+03
9.908227967185634043e+03,1.241853977952303239e+03
9.908227990407864127e+03,1.241883214834720320e+03
9.908228013630092391e+03,1.241912449386169783e+03
9.908228036852322475e+03,1.241941681610970818e+03
9.908228060074552559e+03,1.241970911506571156e+03
9.908228083296782643e+03,1.242000139072708407e+03
9.908228106519010908e+03,1.242029364306832349e+03
9.908228129741240991e+03,1.242058587213258988e+03
9.908228152963471075e+03,1.242087807789438102e+03
9.908228176185701159e+03,1.242117026035106619e+03
9.908228199407929424e+03,1.242146241947715907e+03
9.908228222630159507e+03,1.242175455531579701e+03
9.908228245852389591e+03,1.242204666784149367e+03
9.908228269074619675e+03,1.242233875705162063e+03
9.908228292296847940e+03,1.242263082292068930e+03
9.908228315519078023e+03,1.242292286549184155e+03
9.908228338741308107e+03,1.242321488473957970e+03
9.908228361963538191e+03,1.242350688066128669e+03
9.908228385185766456e+03,1.242379885323148073e+03
9.908228408407996540e+03,1.242409080249328781e+03
9.908228431630226623e+03,1.242438272842121933e+03
9.908228454852456707e+03,1.242467463101266731e+03
9.908228478074684972e+03,1.242496651024215225e+03
9.908228501296915056e+03,1.242525836615278195e+03
9.908228524519145139e+03,1.242555019871908371e+03
9.908228547741375223e+03,1.242584200793844047e+03
9.908228570963603488e+03,1.242613379378539094e+03
9.908228594185833572e+03,1.242642555630302923e+03
9.908228617408063656e+03,1.242671729546588494e+03
9.908228640630293739e+03,1.242700901127135012e+03
9.908228663852522004e+03,1.242730070369396344e+03
9.908228687074752088e+03,1.242759237277680768e+03
9.908228710296982172e+03,1.242788401849442380e+03
9.908228733519212255e+03,1.242817564084420155e+03
9.908228756741440520e+03,1.242846723980068873e+03
9.908228779963670604e+03,1.242875881540695900e+03
9.908228803185900688e+03,1.242905036763755788e+03
9.908228826408130772e+03,1.242934189648987058e+03
9.908228849630359036e+03,1.242963340193846761e+03
9.908228872852589120e+03,1.242992488402639538e+03
9.908228896074819204e+03,1.243021634272821075e+03
9.908228919297049288e+03,1.243050777804131030e+03
9.908228942519277552e+03,1.243079918994025320e+03
9.908228965741507636e+03,1.243109057846808810e+03
9.908228988963737720e+03,1.243138194359938097e+03
9.908229012185967804e+03,1.243167328533151704e+03
9.908229035408196069e+03,1.243196460363907818e+03
9.908229058630426152e+03,1.243225589856509259e+03
9.908229081852656236e+03,1.243254717008412854e+03
9.908229105074886320e+03,1.243283841819358486e+03
9.908229128297114585e+03,1.243312964286803890e+03
9.908229151519344668e+03,1.243342084415051204e+03
9.908229174741574752e+03,1.243371202201558617e+03
9.908229197963804836e+03,1.243400317646064877e+03
9.908229221186033101e+03,1.243429430746029766e+03
9.908229244408263185e+03,1.243458541505753146e+03
9.908229267630493268e+03,1.243487649922694345e+03
9.908229290852723352e+03,1.243516755996592337e+03
9.908229314074951617e+03,1.243545859724908269e+03
9.908229337297181701e+03,1.243574961111939501e+03
9.908229360519411784e+03,1.243604060155147181e+03
9.908229383741641868e+03,1.243633156854270055e+03
9.908229406963870133e+03,1.243662251206769042e+03
9.908229430186100217e+03,1.243691343216942187e+03
9.908229453408330301e+03,1.243720432882249725e+03
9.908229476630560384e+03,1.243749520202431768e+03
9.908229499852788649e+03,1.243778605174949234e+03
9.908229523075018733e+03,1.243807687804099032e+03
9.908229546297248817e+03,1.243836768087342534e+03
9.908229569519478900e+03,1.243865846024419170e+03
9.908229592741707165e+03,1.243894921612791904e+03
9.908229615963937249e+03,1.243923994856755598e+03
9.908229639186167333e+03,1.243953065753771853e+03
9.908229662408397417e+03,1.243982134303581461e+03
9.908229685630625681e+03,1.244011200503647160e+03
9.908229708852855765e+03,1.244040264358262675e+03
9.908229732075085849e+03,1.244069325864891425e+03
9.908229755297315933e+03,1.244098385023272613e+03
