Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
1.061386530092591420e+04,2.657353388718465936e+00
1.061386531688121431e+04,2.657353428679609664e+00
1.061386533283651261e+04,2.657353468635047733e+00
1.061386534879181272e+04,2.657353508584776591e+00
1.061386536474711102e+04,2.657353548528792686e+00
1.061386538070241113e+04,2.657353588467103123e+00
1.061386539665770943e+04,2.657353628399700796e+00
1.061386541261300954e+04,2.657353668326589258e+00
1.061386542856830783e+04,2.657353708247768509e+00
1.061386544452360795e+04,2.657353748163238549e+00
1.061386546047890624e+04,2.657353788072999379e+00
1.061386547643420636e+04,2.657353827977047445e+00
1.061386549238950465e+04,2.657353867875386300e+00
1.061386550834480477e+04,2.657353907768012391e+00
1.061386552430010306e+04,2.657353947654929271e+00
1.061386554025540318e+04,2.657353987536133388e+00
1.061386555621070147e+04,2.657354027411628294e+00
1.061386557216600158e+04,2.657354067281417542e+00
1.061386558812129988e+04,2.657354107145483368e+00
1.061386560407659999e+04,2.657354147003847089e+00
1.061386562003189829e+04,2.657354186856490941e+00
1.061386563598719840e+04,2.657354226703429134e+00
1.061386565194249670e+04,2.657354266544651011e+00
1.061386566789779681e+04,2.657354306380167230e+00
1.061386568385309511e+04,2.657354346209967133e+00
1.061386569980839522e+04,2.657354386034054272e+00
1.061386571576369352e+04,2.657354425852428648e+00
1.061386573171899363e+04,2.657354465665090260e+00
1.061386574767429192e+04,2.657354505472039108e+00
1.061386576362959204e+04,2.657354545273275193e+00
1.061386577958489033e+04,2.657354585068798514e+00
1.061386579554019045e+04,2.657354624858612624e+00
1.061386581149549056e+04,2.657354664642713971e+00
1.061386582745078886e+04,2.657354704421091895e+00
1.061386584340608897e+04,2.657354744193764162e+00
1.061386585936138727e+04,2.657354783960713007e+00
1.061386587531668738e+04,2.657354823721959747e+00
1.061386589127198567e+04,2.657354863477483065e+00
1.061386590722728579e+04,2.657354903227297171e+00
1.061386592318258408e+04,2.657354942971391409e+00
1.061386593913788420e+04,2.657354982709779989e+00
1.061386595509318249e+04,2.657355022442445147e+00
1.061386597104848261e+04,2.657355062169401094e+00
1.061386598700378090e+04,2.657355101890633620e+00
1.061386600295908102e+04,2.657355141606160487e+00
1.061386601891437931e+04,2.657355181315967485e+00
1.061386603486967942e+04,2.657355221020061720e+00
1.061386605082497772e+04,2.657355260718436085e+00
1.061386606678027783e+04,2.657355300411097687e+00
1.061386608273557613e+04,2.657355340098039420e+00
1.061386609869087624e+04,2.657355379779268389e+00
1.061386611464617454e+04,2.657355419454777490e+00
1.061386613060147465e+04,2.657355459124577379e+00
1.061386614655677295e+04,2.657355498788650294e+00
1.061386616251207306e+04,2.657355538447017551e+00
1.061386617846737136e+04,2.657355578099657833e+00
1.061386619442267147e+04,2.657355617746588905e+00
1.061386621037796976e+04,2.657355657387800107e+00
1.061386622633326988e+04,2.657355697023294994e+00
1.061386624228856817e+04,2.657355736653070011e+00
1.061386625824386829e+04,2.657355776277128712e+00
1.061386627419916658e+04,2.657355815895463991e+00
1.061386629015446670e+04,2.657355855508090059e+00
1.061386630610976681e+04,2.657355895114999811e+00
1.061386632206506511e+04,2.657355934716182588e+00
1.061386633802036522e+04,2.657355974311652602e+00
1.061386635397566351e+04,2.657356013901399194e+00
1.061386636993096363e+04,2.657356053485433023e+00
1.061386638588626192e+04,2.657356093063739877e+00
1.061386640184156204e+04,2.657356132636337520e+00
1.061386641779686033e+04,2.657356172203208189e+00
1.061386643375216045e+04,2.657356211764362541e+00
1.061386644970745874e+04,2.657356251319793472e+00
1.061386646566275886e+04,2.657356290869515192e+00
1.061386648161805715e+04,2.657356330413509937e+00
1.061386649757335726e+04,2.657356369951788366e+00
1.061386651352865556e+04,2.657356409484339821e+00
1.061386652948395567e+04,2.657356449011178512e+00
1.061386654543925397e+04,2.657356488532290228e+00
1.061386656139455408e+04,2.657356528047689181e+00
1.061386657734985238e+04,2.657356567557361160e+00
1.061386659330515249e+04,2.657356607061316822e+00
1.061386660926045079e+04,2.657356646559545510e+00
1.061386662521575090e+04,2.657356686052061434e+00
1.061386664117104920e+04,2.657356725538846831e+00
1.061386665712634931e+04,2.657356765019919465e+00
1.061386667308164760e+04,2.657356804495268676e+00
1.061386668903694772e+04,2.657356843964894466e+00
1.061386670499224601e+04,2.657356883428796834e+00
1.061386672094754613e+04,2.657356922886979333e+00
1.061386673690284442e+04,2.657356962339438411e+00
1.061386675285814454e+04,2.657357001786177619e+00
1.061386676881344283e+04,2.657357041227193406e+00
1.061386678476874295e+04,2.657357080662489324e+00
1.061386680072404306e+04,2.657357120092061820e+00
1.061386681667934135e+04,2.657357159515907341e+00
1.061386683263464147e+04,2.657357198934032994e+00
1.061386684858993976e+04,2.657357238346431672e+00
1.061386686454523988e+04,2.657357277753114033e+00
1.061386688050053817e+04,2.657357317154065868e+00
1.061386689645583829e+04,2.657357356549301386e+00
1.061386691241113658e+04,2.657357395938806377e+00
1.061386692836643670e+04,2.657357435322591499e+00
1.061386694432173499e+04,2.657357474700649647e+00
1.061386696027703510e+04,2.657357514072987925e+00
1.061386697623233340e+04,2.657357553439599229e+00
1.061386699218763351e+04,2.657357592800487112e+00
1.061386700814293181e+04,2.657357632155644467e+00
1.061386702409823192e+04,2.657357671505085506e+00
1.061386704005353022e+04,2.657357710848796017e+00
1.061386705600883033e+04,2.657357750186786660e+00
1.061386707196412863e+04,2.657357789519050328e+00
1.061386708791942874e+04,2.657357828845590575e+00
1.061386710387472704e+04,2.657357868166396742e+00
1.061386711983002715e+04,2.657357907481486592e+00
1.061386713578532544e+04,2.657357946790845915e+00
1.061386715174062556e+04,2.657357986094481817e+00
1.061386716769592385e+04,2.657358025392387191e+00
1.061386718365122397e+04,2.657358064684576249e+00
1.061386719960652226e+04,2.657358103971027674e+00
1.061386721556182238e+04,2.657358143251759230e+00
1.061386723151712067e+04,2.657358182526760260e+00
1.061386724747242079e+04,2.657358221796037867e+00
1.061386726342771908e+04,2.657358261059588500e+00
1.061386727938301919e+04,2.657358300317412159e+00
1.061386729533831931e+04,2.657358339569508843e+00
1.061386731129361760e+04,2.657358378815875000e+00
1.061386732724891772e+04,2.657358418056517735e+00
1.061386734320421601e+04,2.657358457291429943e+00
1.061386735915951613e+04,2.657358496520615176e+00
1.061386737511481442e+04,2.657358535744069883e+00
1.061386739107011454e+04,2.657358574961804720e+00
1.061386740702541283e+04,2.657358614173798372e+00
1.061386742298071294e+04,2.657358653380075708e+00
1.061386743893601124e+04,2.657358692580618964e+00
1.061386745489131135e+04,2.657358731775431693e+00
1.061386747084660965e+04,2.657358770964521000e+00
1.061386748680190976e+04,2.657358810147879780e+00
1.061386750275720806e+04,2.657358849325504480e+00
1.061386751871250817e+04,2.657358888497405758e+00
1.061386753466780647e+04,2.657358927663572956e+00
1.061386755062310658e+04,2.657358966824016733e+00
1.061386756657840488e+04,2.657359005978722877e+00
1.061386758253370499e+04,2.657359045127705599e+00
1.061386759848900329e+04,2.657359084270954241e+00
1.061386761444430340e+04,2.657359123408475909e+00
1.061386763039960169e+04,2.657359162540263497e+00
1.061386764635490181e+04,2.657359201666327664e+00
1.061386766231020010e+04,2.657359240786654198e+00
1.061386767826550022e+04,2.657359279901253757e+00
1.061386769422079851e+04,2.657359319010122789e+00
1.061386771017609863e+04,2.657359358113257741e+00
1.061386772613139692e+04,2.657359397210665719e+00
1.061386774208669704e+04,2.657359436302339617e+00
1.061386775804199533e+04,2.657359475388279435e+00
1.061386777399729544e+04,2.657359514468492279e+00
1.061386778995259556e+04,2.657359553542974595e+00
1.061386780590789385e+04,2.657359592611719279e+00
1.061386782186319397e+04,2.657359631674736988e+00
1.061386783781849226e+04,2.657359670732020618e+00
1.061386785377379238e+04,2.657359709783573720e+00
1.061386786972909067e+04,2.657359748829389190e+00
1.061386788568439079e+04,2.657359787869474133e+00
1.061386790163968908e+04,2.657359826903824995e+00
1.061386791759498919e+04,2.657359865932452436e+00
1.061386793355028749e+04,2.657359904955331587e+00
1.061386794950558760e+04,2.657359943972490868e+00
1.061386796546088590e+04,2.657359982983908964e+00
1.061386798141618601e+04,2.657360021989600085e+00
1.061386799737148431e+04,2.657360060989550021e+00
1.061386801332678442e+04,2.657360099983772983e+00
1.061386802928208272e+04,2.657360138972258312e+00
1.061386804523738283e+04,2.657360177955009561e+00
1.061386806119268113e+04,2.657360216932026731e+00
1.061386807714798124e+04,2.657360255903309820e+00
1.061386809310327953e+04,2.657360294868855277e+00
1.061386810905857965e+04,2.657360333828677312e+00
1.061386812501387794e+04,2.657360372782754609e+00
