Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014093855324061587e+04,1.123347241934125051e+00
1.014093857208740883e+04,1.123382566638378766e+00
1.014093859093419996e+04,1.123417891872260377e+00
1.014093860978099292e+04,1.123453217642587099e+00
1.014093862862778406e+04,1.123488543942538609e+00
1.014093864747457701e+04,1.123523870778931677e+00
1.014093866632136815e+04,1.123559198144948201e+00
1.014093868516816110e+04,1.123594526047402953e+00
1.014093870401495224e+04,1.123629854479476275e+00
1.014093872286174519e+04,1.123665183447988047e+00
1.014093874170853633e+04,1.123700512946115060e+00
1.014093876055532928e+04,1.123735842980675637e+00
1.014093877940212042e+04,1.123771173544851454e+00
1.014093879824891337e+04,1.123806504645455950e+00
1.014093881709570451e+04,1.123841836275672579e+00
1.014093883594249746e+04,1.123877168442317886e+00
1.014093885478928860e+04,1.123912501138570441e+00
1.014093887363608155e+04,1.123947834371246790e+00
1.014093889248287269e+04,1.123983168133528832e+00
1.014093891132966564e+04,1.124018502432236444e+00
1.014093893017645678e+04,1.124053837260544642e+00
1.014093894902324973e+04,1.124089172625271971e+00
1.014093896787004269e+04,1.124124508523007604e+00
1.014093898671683382e+04,1.124159844950342491e+00
1.014093900556362678e+04,1.124195181914093178e+00
1.014093902441041791e+04,1.124230519407438011e+00
1.014093904325721087e+04,1.124265857437197313e+00
1.014093906210400201e+04,1.124301195996547653e+00
1.014093908095079496e+04,1.124336535092307354e+00
1.014093909979758610e+04,1.124371874717656539e+00
1.014093911864437905e+04,1.124407214879415084e+00
1.014093913749117019e+04,1.124442555570758229e+00
1.014093915633796314e+04,1.124477896798507626e+00
1.014093917518475428e+04,1.124513238555838512e+00
1.014093919403154723e+04,1.124548580849573876e+00
1.014093921287833837e+04,1.124583923672889174e+00
1.014093923172513132e+04,1.124619267032602510e+00
1.014093925057192246e+04,1.124654610921892450e+00
1.014093926941871541e+04,1.124689955347581982e+00
1.014093928826550655e+04,1.124725300302843456e+00
1.014093930711229950e+04,1.124760645794501412e+00
1.014093932595909064e+04,1.124795991815729534e+00
1.014093934480588359e+04,1.124831338373350809e+00
1.014093936365267473e+04,1.124866685460537585e+00
1.014093938249946768e+04,1.124902033084115738e+00
1.014093940134626064e+04,1.124937381240670220e+00
1.014093942019305177e+04,1.124972729926788428e+00
1.014093943903984473e+04,1.125008079149291795e+00
1.014093945788663586e+04,1.125043428901355558e+00
1.014093947673342882e+04,1.125078779189801592e+00
1.014093949558021995e+04,1.125114130007806246e+00
1.014093951442701291e+04,1.125149481362191395e+00
1.014093953327380405e+04,1.125184833246130500e+00
1.014093955212059700e+04,1.125220185666445216e+00
1.014093957096738814e+04,1.125255538616312556e+00
1.014093958981418109e+04,1.125290892102556839e+00
1.014093960866097223e+04,1.125326246118348861e+00
