Time (BJD_TBD - 2450000), F_star + F_c (mJy)
1.013184277777792886e+04,2.740686842154734570e+00
1.013184279854968190e+04,2.740686864995516281e+00
1.013184281932143494e+04,2.740686887834368868e+00
1.013184284009318799e+04,2.740686910671292331e+00
1.013184286086494103e+04,2.740686933506285339e+00
1.013184288163669407e+04,2.740686956339348779e+00
1.013184290240844712e+04,2.740686979170482207e+00
1.013184292318020016e+04,2.740687001999685624e+00
1.013184294395195320e+04,2.740687024826959473e+00
1.013184296472370625e+04,2.740687047652302422e+00
1.013184298549545929e+04,2.740687070475715803e+00
1.013184300626721233e+04,2.740687093297199173e+00
1.013184302703896537e+04,2.740687116116751643e+00
1.013184304781071842e+04,2.740687138934374101e+00
1.013184306858247146e+04,2.740687161750065659e+00
1.013184308935422450e+04,2.740687184563827206e+00
1.013184311012597936e+04,2.740687207375660517e+00
1.013184313089773241e+04,2.740687230185560264e+00
1.013184315166948545e+04,2.740687252993529999e+00
1.013184317244123849e+04,2.740687275799568390e+00
1.013184319321299154e+04,2.740687298603676769e+00
1.013184321398474458e+04,2.740687321405853805e+00
1.013184323475649762e+04,2.740687344206099940e+00
1.013184325552825067e+04,2.740687367004415176e+00
1.013184327630000371e+04,2.740687389800799068e+00
1.013184329707175675e+04,2.740687412595251615e+00
1.013184331784350979e+04,2.740687435387773263e+00
1.013184333861526284e+04,2.740687458178364011e+00
1.013184335938701588e+04,2.740687480967022527e+00
1.013184338015876892e+04,2.740687503753750587e+00
1.013184340093052197e+04,2.740687526538546415e+00
1.013184342170227501e+04,2.740687549321410899e+00
1.013184344247402805e+04,2.740687572102344038e+00
1.013184346324578109e+04,2.740687594881344946e+00
1.013184348401753414e+04,2.740687617658414510e+00
1.013184350478928718e+04,2.740687640433552286e+00
1.013184352556104022e+04,2.740687663206758273e+00
1.013184354633279327e+04,2.740687685978032029e+00
1.013184356710454631e+04,2.740687708747373552e+00
1.013184358787629935e+04,2.740687731514783287e+00
1.013184360864805240e+04,2.740687754280260791e+00
1.013184362941980544e+04,2.740687777043806062e+00
1.013184365019155848e+04,2.740687799805419100e+00
1.013184367096331152e+04,2.740687822565099907e+00
1.013184369173506457e+04,2.740687845322848482e+00
1.013184371250681761e+04,2.740687868078663936e+00
1.013184373327857065e+04,2.740687890832547602e+00
1.013184375405032551e+04,2.740687913584500368e+00
1.013184377482207856e+04,2.740687936334517794e+00
1.013184379559383160e+04,2.740687959082603431e+00
1.013184381636558464e+04,2.740687981828755948e+00
1.013184383713733769e+04,2.740688004572975345e+00
1.013184385790909073e+04,2.740688027315262065e+00
1.013184387868084377e+04,2.740688050055615665e+00
1.013184389945259682e+04,2.740688072794036145e+00
1.013184392022434986e+04,2.740688095530523061e+00
1.013184394099610290e+04,2.740688118265077300e+00
