Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.065014266203716397e+04,2.741523897130845988e+00
1.065014268332748725e+04,2.741523931330816399e+00
1.065014270461781052e+04,2.741523965522067563e+00
1.065014272590813380e+04,2.741523999704600367e+00
1.065014274719845707e+04,2.741524033878414368e+00
1.065014276848878217e+04,2.741524068043511342e+00
1.065014278977910544e+04,2.741524102199885959e+00
1.065014281106942872e+04,2.741524136347540441e+00
1.065014283235975199e+04,2.741524170486475231e+00
1.065014285365007527e+04,2.741524204616688554e+00
1.065014287494039854e+04,2.741524238738181740e+00
1.065014289623072182e+04,2.741524272850953903e+00
1.065014291752104509e+04,2.741524306955004153e+00
1.065014293881136837e+04,2.741524341050333824e+00
1.065014296010169346e+04,2.741524375136944247e+00
1.065014298139201674e+04,2.741524409214828761e+00
1.065014300268234001e+04,2.741524443283992252e+00
1.065014302397266329e+04,2.741524477344432498e+00
1.065014304526298656e+04,2.741524511396149499e+00
1.065014306655330984e+04,2.741524545439143701e+00
1.065014308784363311e+04,2.741524579473414658e+00
1.065014310913395639e+04,2.741524613498961482e+00
1.065014313042427966e+04,2.741524647515784618e+00
1.065014315171460476e+04,2.741524681523886287e+00
1.065014317300492803e+04,2.741524715523260713e+00
1.065014319429525131e+04,2.741524749513910120e+00
1.065014321558557458e+04,2.741524783495834505e+00
1.065014323687589786e+04,2.741524817469033426e+00
1.065014325816622113e+04,2.741524851433507326e+00
1.065014327945654441e+04,2.741524885389254873e+00
1.065014330074686768e+04,2.741524919336276511e+00
1.065014332203719096e+04,2.741524953274571796e+00
1.065014334332751605e+04,2.741524987204143393e+00
1.065014336461783932e+04,2.741525021124985084e+00
1.065014338590816260e+04,2.741525055037099978e+00
1.065014340719848587e+04,2.741525088940487187e+00
1.065014342848880915e+04,2.741525122835146711e+00
1.065014344977913242e+04,2.741525156721078105e+00
1.065014347106945570e+04,2.741525190598280926e+00
1.065014349235977897e+04,2.741525224466756505e+00
1.065014351365010225e+04,2.741525258326502179e+00
1.065014353494042734e+04,2.741525292177521944e+00
1.065014355623075062e+04,2.741525326019809583e+00
1.065014357752107389e+04,2.741525359853367316e+00
1.065014359881139717e+04,2.741525393678196032e+00
1.065014362010172044e+04,2.741525427494293954e+00
1.065014364139204372e+04,2.741525461301661970e+00
1.065014366268236699e+04,2.741525495100299636e+00
1.065014368397269027e+04,2.741525528890205621e+00
1.065014370526301354e+04,2.741525562671380811e+00
1.065014372655333864e+04,2.741525596443827872e+00
1.065014374784366191e+04,2.741525630207539699e+00
1.065014376913398519e+04,2.741525663962520287e+00
1.065014379042430846e+04,2.741525697708768305e+00
1.065014381171463174e+04,2.741525731446283753e+00
1.065014383300495501e+04,2.741525765175066187e+00
1.065014385429527829e+04,2.741525798895116051e+00
1.065014387558560156e+04,2.741525832606432456e+00
1.065014389687592484e+04,2.741525866309015402e+00
1.065014391816624993e+04,2.741525900002867999e+00
1.065014393945657321e+04,2.741525933687983141e+00
1.065014396074689648e+04,2.741525967364363048e+00
1.065014398203721976e+04,2.741526001032009940e+00
1.065014400332754303e+04,2.741526034690921154e+00
1.065014402461786631e+04,2.741526068341097577e+00
1.065014404590818958e+04,2.741526101982538322e+00
1.065014406719851286e+04,2.741526135615243831e+00
1.065014408848883613e+04,2.741526169239212773e+00
1.065014410977916123e+04,2.741526202854448702e+00
1.065014413106948450e+04,2.741526236460945398e+00
1.065014415235980778e+04,2.741526270058705972e+00
1.065014417365013105e+04,2.741526303647728646e+00
1.065014419494045433e+04,2.741526337228014309e+00
1.065014421623077760e+04,2.741526370799562962e+00
1.065014423752110088e+04,2.741526404362373714e+00
