Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.027127336805546656e+04,1.836229263389916461e-02
1.027127353332662278e+04,1.840269567666681996e-02
1.027127369859778082e+04,1.844314309279009023e-02
1.027127386386893704e+04,1.848363488125397136e-02
1.027127402914009326e+04,1.852417104237907147e-02
1.027127419441124948e+04,1.856475157604294685e-02
1.027127435968240752e+04,1.860537648256782584e-02
1.027127452495356374e+04,1.864604576093386451e-02
1.027127469022471996e+04,1.868675941146651087e-02
1.027127485549587800e+04,1.872751743448798981e-02
1.027127502076703422e+04,1.876831982897523773e-02
1.027127518603819044e+04,1.880916659525370266e-02
1.027127535130934666e+04,1.885005773319772121e-02
1.027127551658050470e+04,1.889099324313273098e-02
1.027127568185166092e+04,1.893197312403084587e-02
1.027127584712281714e+04,1.897299737622072657e-02
1.027127601239397518e+04,1.901406600002460492e-02
1.027127617766513140e+04,1.905517899441619076e-02
1.027127634293628762e+04,1.909633635971932225e-02
1.027127650820744384e+04,1.913753809580994586e-02
1.027127667347860188e+04,1.917878420301350265e-02
1.027127683874975810e+04,1.922007468029727009e-02
1.027127700402091432e+04,1.926140952798829908e-02
1.027127716929207236e+04,1.930278874641526421e-02
1.027127733456322858e+04,1.934421233454221289e-02
1.027127749983438480e+04,1.938568029269620296e-02
1.027127766510554284e+04,1.942719262120751189e-02
1.027127783037669906e+04,1.946874931903535763e-02
1.027127799564785528e+04,1.951035038651002113e-02
1.027127816091901150e+04,1.955199582350261242e-02
1.027127832619016954e+04,1.959368563034502228e-02
1.027127849146132576e+04,1.963541980599324208e-02
1.027127865673248198e+04,1.967719835077594639e-02
1.027127882200364002e+04,1.971902126502824218e-02
1.027127898727479624e+04,1.976088854769968151e-02
1.027127915254595246e+04,1.980280019912215514e-02
1.027127931781710868e+04,1.984475621916838295e-02
1.027127948308826672e+04,1.988675660817186899e-02
1.027127964835942294e+04,1.992880136508055205e-02
1.027127981363057916e+04,1.997089049022471308e-02
1.027127997890173719e+04,2.001302398394268212e-02
1.027128014417289342e+04,2.005520184517756849e-02
1.027128030944404964e+04,2.009742407426126296e-02
1.027128047471520586e+04,2.013969067106809868e-02
1.027128063998636389e+04,2.018200163593157626e-02
1.027128080525752011e+04,2.022435696779157493e-02
1.027128097052867633e+04,2.026675666698482536e-02
1.027128113579983437e+04,2.030920073384804778e-02
1.027128130107099059e+04,2.035168916731790525e-02
1.027128146634214681e+04,2.039422196772951168e-02
1.027128163161330303e+04,2.043679913495397363e-02
1.027128179688446107e+04,2.047942066932962810e-02
1.027128196215561729e+04,2.052208656978830176e-02
1.027128212742677351e+04,2.056479683666833161e-02
1.027128229269793155e+04,2.060755147030966447e-02
1.027128245796908777e+04,2.065035046964090043e-02
1.027128262324024399e+04,2.069319383499877013e-02
1.027128278851140021e+04,2.073608156625438362e-02
1.027128295378255825e+04,2.077901366374929407e-02
1.027128311905371447e+04,2.082199012640727209e-02
1.027128328432487069e+04,2.086501095456666163e-02
1.027128344959602873e+04,2.090807614857062222e-02
1.027128361486718495e+04,2.095118570734131810e-02
1.027128378013834117e+04,2.099433963122030941e-02
1.027128394540949739e+04,2.103753792007225995e-02
1.027128411068065543e+04,2.108078057424516913e-02
1.027128427595181165e+04,2.112406759265314515e-02
1.027128444122296787e+04,2.116739897563774467e-02
1.027128460649412591e+04,2.121077472354696708e-02
1.027128477176528213e+04,2.125419483529008766e-02
1.027128493703643835e+04,2.129765931121349945e-02
1.027128510230759457e+04,2.134116815118347263e-02
1.027128526757875261e+04,2.138472135554640371e-02
1.027128543284990883e+04,2.142831892320995121e-02
1.027128559812106505e+04,2.147196085452050818e-02
1.027128576339222309e+04,2.151564714982446072e-02
1.027128592866337931e+04,2.155937780802786100e-02
1.027128609393453553e+04,2.160315282947548876e-02
1.027128625920569357e+04,2.164697221451857001e-02
