Time (BJD_TBD - 2450000), F_star + F_b (mJy)
9.905193796296138316e+03,2.654891696413316904e+00
9.905193817625817246e+03,2.654891762406146327e+00
9.905193838955496176e+03,2.654891828392177633e+00
9.905193860285176925e+03,2.654891894371414374e+00
9.905193881614855854e+03,2.654891960343846335e+00
9.905193902944534784e+03,2.654892026309477071e+00
9.905193924274213714e+03,2.654892092268306580e+00
9.905193945603892644e+03,2.654892158220335308e+00
9.905193966933571573e+03,2.654892224165561476e+00
9.905193988263252322e+03,2.654892290103990860e+00
9.905194009592931252e+03,2.654892356035611911e+00
9.905194030922610182e+03,2.654892421960428628e+00
9.905194052252289111e+03,2.654892487878441898e+00
9.905194073581968041e+03,2.654892553789650389e+00
9.905194094911648790e+03,2.654892619694058986e+00
9.905194116241327720e+03,2.654892685591656587e+00
9.905194137571006650e+03,2.654892751482448077e+00
9.905194158900685579e+03,2.654892817366432567e+00
9.905194180230364509e+03,2.654892883243609614e+00
9.905194201560043439e+03,2.654892949113979217e+00
9.905194222889724188e+03,2.654893014977546262e+00
9.905194244219403117e+03,2.654893080834298758e+00
9.905194265549082047e+03,2.654893146684242033e+00
9.905194286878760977e+03,2.654893212527375201e+00
9.905194308208439907e+03,2.654893278363698261e+00
9.905194329538120655e+03,2.654893344193216542e+00
9.905194350867799585e+03,2.654893410015916722e+00
9.905194372197478515e+03,2.654893475831805905e+00
9.905194393527157445e+03,2.654893541640882759e+00
9.905194414856836374e+03,2.654893607443145509e+00
9.905194436186517123e+03,2.654893673238601259e+00
9.905194457516196053e+03,2.654893739027237576e+00
9.905194478845874983e+03,2.654893804809059343e+00
9.905194500175553912e+03,2.654893870584065674e+00
9.905194521505232842e+03,2.654893936352257011e+00
9.905194542834911772e+03,2.654894002113631579e+00
9.905194564164592521e+03,2.654894067868196039e+00
9.905194585494271450e+03,2.654894133615937069e+00
9.905194606823950380e+03,2.654894199356861328e+00
9.905194628153629310e+03,2.654894265090966599e+00
9.905194649483308240e+03,2.654894330818253323e+00
9.905194670812988988e+03,2.654894396538727275e+00
9.905194692142667918e+03,2.654894462252375131e+00
9.905194713472346848e+03,2.654894527959203554e+00
9.905194734802025778e+03,2.654894593659210322e+00
9.905194756131704708e+03,2.654894659352396769e+00
9.905194777461383637e+03,2.654894725038761116e+00
9.905194798791064386e+03,2.654894790718308695e+00
9.905194820120743316e+03,2.654894856391028402e+00
9.905194841450422246e+03,2.654894922056924678e+00
9.905194862780101175e+03,2.654894987715996635e+00
9.905194884109780105e+03,2.654895053368244717e+00
9.905194905439460854e+03,2.654895119013673366e+00
9.905194926769139784e+03,2.654895184652271034e+00
9.905194948098818713e+03,2.654895250284043051e+00
9.905194969428497643e+03,2.654895315908988529e+00
9.905194990758176573e+03,2.654895381527107023e+00
9.905195012087855503e+03,2.654895447138398534e+00
9.905195033417536251e+03,2.654895512742867503e+00
9.905195054747215181e+03,2.654895578340502382e+00
9.905195076076894111e+03,2.654895643931308502e+00
9.905195097406573041e+03,2.654895709515284974e+00
9.905195118736251970e+03,2.654895775092430910e+00
9.905195140065932719e+03,2.654895840662752526e+00
9.905195161395611649e+03,2.654895906226237390e+00
9.905195182725290579e+03,2.654895971782890829e+00
9.905195204054969508e+03,2.654896037332711956e+00
9.905195225384648438e+03,2.654896102875700326e+00
9.905195246714329187e+03,2.654896168411861712e+00
9.905195268044008117e+03,2.654896233941184125e+00
9.905195289373687046e+03,2.654896299463671561e+00
9.905195310703365976e+03,2.654896364979324908e+00
9.905195332033044906e+03,2.654896430488143277e+00
9.905195353362723836e+03,2.654896495990125782e+00
9.905195374692404584e+03,2.654896561485277307e+00
9.905195396022083514e+03,2.654896626973586748e+00
9.905195417351762444e+03,2.654896692455059437e+00
9.905195438681441374e+03,2.654896757929694040e+00
9.905195460011120304e+03,2.654896823397490113e+00
9.905195481340801052e+03,2.654896888858453430e+00
9.905195502670479982e+03,2.654896954312571999e+00
9.905195524000158912e+03,2.654897019759850707e+00
9.905195545329837842e+03,2.654897085200288664e+00
9.905195566659516771e+03,2.654897150633885872e+00
9.905195587989195701e+03,2.654897216060642329e+00
9.905195609318876450e+03,2.654897281480561588e+00
9.905195630648555380e+03,2.654897346893633880e+00
9.905195651978234309e+03,2.654897412299862758e+00
9.905195673307913239e+03,2.654897477699248665e+00
9.905195694637592169e+03,2.654897543091790268e+00
9.905195715967272918e+03,2.654897608477492899e+00
9.905195737296951847e+03,2.654897673856345008e+00
9.905195758626630777e+03,2.654897739228352371e+00
9.905195779956309707e+03,2.654897804593513211e+00
9.905195801285988637e+03,2.654897869951827527e+00
9.905195822615667566e+03,2.654897935303295320e+00
9.905195843945348315e+03,2.654898000647920142e+00
9.905195865275027245e+03,2.654898065985692224e+00
9.905195886604706175e+03,2.654898131316616006e+00
9.905195907934385104e+03,2.654898196640690156e+00
9.905195929264064034e+03,2.654898261957915118e+00
9.905195950593744783e+03,2.654898327268295333e+00
9.905195971923423713e+03,2.654898392571819254e+00
9.905195993253102642e+03,2.654898457868492212e+00
9.905196014582781572e+03,2.654898523158313317e+00
9.905196035912460502e+03,2.654898588441283014e+00
9.905196057242139432e+03,2.654898653717399526e+00
9.905196078571820181e+03,2.654898718986668626e+00
9.905196099901499110e+03,2.654898784249077881e+00
9.905196121231178040e+03,2.654898849504633951e+00
9.905196142560856970e+03,2.654898914753335060e+00
9.905196163890535900e+03,2.654898979995180319e+00
9.905196185220216648e+03,2.654899045230175503e+00
9.905196206549895578e+03,2.654899110458309508e+00
9.905196227879574508e+03,2.654899175679586332e+00
9.905196249209253438e+03,2.654899240894006418e+00
