Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.913946643518749624e+03,1.333513130940607425e+02
9.913946661622412648e+03,1.333509179291938551e+02
9.913946679726073853e+03,1.333505227547742038e+02
9.913946697829736877e+03,1.333501275707225204e+02
9.913946715933398082e+03,1.333497323771181868e+02
9.913946734037061105e+03,1.333493371738819064e+02
9.913946752140722310e+03,1.333489419610931463e+02
9.913946770244385334e+03,1.333485467386725247e+02
9.913946788348046539e+03,1.333481515066995655e+02
9.913946806451709563e+03,1.333477562650948300e+02
9.913946824555372586e+03,1.333473610138981655e+02
9.913946842659033791e+03,1.333469657531493624e+02
9.913946860762696815e+03,1.333465704827688967e+02
9.913946878866358020e+03,1.333461752028364629e+02
9.913946896970021044e+03,1.333457799132725654e+02
9.913946915073682248e+03,1.333453846141567567e+02
9.913946933177345272e+03,1.333449893054096265e+02
9.913946951281006477e+03,1.333445939871106418e+02
9.913946969384669501e+03,1.333441986591805346e+02
9.913946987488332525e+03,1.333438033216589531e+02
9.913947005591993729e+03,1.333434079745857730e+02
9.913947023695656753e+03,1.333430126178815840e+02
9.913947041799317958e+03,1.333426172516258248e+02
9.913947059902980982e+03,1.333422218757392557e+02
9.913947078006642187e+03,1.333418264903012584e+02
9.913947096110305210e+03,1.333414310952324513e+02
9.913947114213966415e+03,1.333410356906124719e+02
9.913947132317629439e+03,1.333406402763617677e+02
9.913947150421292463e+03,1.333402448525201862e+02
9.913947168524953668e+03,1.333398494191275461e+02
9.913947186628616691e+03,1.333394539761044371e+02
9.913947204732277896e+03,1.333390585235303547e+02
9.913947222835940920e+03,1.333386630613259172e+02
9.913947240939602125e+03,1.333382675895706484e+02
9.913947259043265149e+03,1.333378721081851381e+02
9.913947277146926353e+03,1.333374766172488819e+02
9.913947295250589377e+03,1.333370811166825547e+02
9.913947313354252401e+03,1.333366856065258901e+02
9.913947331457913606e+03,1.333362900868186500e+02
9.913947349561576630e+03,1.333358945574815380e+02
9.913947367665237834e+03,1.333354990185939926e+02
9.913947385768900858e+03,1.333351034700765751e+02
9.913947403872562063e+03,1.333347079120089518e+02
9.913947421976225087e+03,1.333343123443115985e+02
9.913947440079888111e+03,1.333339167670242773e+02
9.913947458183549315e+03,1.333335211801869207e+02
9.913947476287212339e+03,1.333331255837200047e+02
9.913947494390873544e+03,1.333327299777031669e+02
9.913947512494536568e+03,1.333323343620568551e+02
9.913947530598197773e+03,1.333319387368607352e+02
9.913947548701860796e+03,1.333315431020353117e+02
9.913947566805522001e+03,1.333311474576601086e+02
9.913947584909185025e+03,1.333307518036558008e+02
9.913947603012848049e+03,1.333303561400620936e+02
9.913947621116509254e+03,1.333299604669188625e+02
9.913947639220172277e+03,1.333295647841466689e+02
9.913947657323833482e+03,1.333291690918249515e+02
9.913947675427496506e+03,1.333287733898744420e+02
9.913947693531157711e+03,1.333283776783746362e+02
9.913947711634820735e+03,1.333279819572460099e+02
9.913947729738481939e+03,1.333275862265682861e+02
9.913947747842144963e+03,1.333271904862618271e+02
9.913947765945807987e+03,1.333267947363666224e+02
9.913947784049469192e+03,1.333263989769224622e+02
9.913947802153132216e+03,1.333260032078497375e+02
9.913947820256793420e+03,1.333256074292282278e+02
9.913947838360456444e+03,1.333252116409783241e+02
9.913947856464117649e+03,1.333248158431796924e+02
9.913947874567780673e+03,1.333244200357528655e+02
9.913947892671441878e+03,1.333240242187773390e+02
9.913947910775104901e+03,1.333236283921737879e+02
9.913947928878767925e+03,1.333232325559819174e+02
9.913947946982429130e+03,1.333228367102416314e+02
9.913947965086092154e+03,1.333224408548734061e+02
9.913947983189753359e+03,1.333220449899568791e+02
9.913948001293416382e+03,1.333216491154125265e+02
9.913948019397077587e+03,1.333212532313199858e+02
9.913948037500740611e+03,1.333208573375997616e+02
9.913948055604401816e+03,1.333204614343314915e+02
9.913948073708064840e+03,1.333200655214356232e+02
9.913948091811727863e+03,1.333196695989519753e+02
9.913948109915389068e+03,1.333192736669205374e+02
9.913948128019052092e+03,1.333188777252616717e+02
9.913948146122713297e+03,1.333184817740550159e+02
9.913948164226376321e+03,1.333180858132211313e+02
9.913948182330037525e+03,1.333176898428395418e+02
9.913948200433700549e+03,1.333172938628308657e+02
9.913948218537361754e+03,1.333168978732746268e+02
9.913948236641024778e+03,1.333165018740913865e+02
9.913948254744687802e+03,1.333161058653209636e+02
9.913948272848349006e+03,1.333157098470031769e+02
9.913948290952012030e+03,1.333153138190585310e+02
9.913948309055673235e+03,1.333149177815666917e+02
9.913948327159336259e+03,1.333145217344481068e+02
9.913948345262997464e+03,1.333141256777824708e+02
9.913948363366660487e+03,1.333137296114901744e+02
9.913948381470321692e+03,1.333133335356509122e+02
9.913948399573984716e+03,1.333129374501851885e+02
9.913948417677647740e+03,1.333125413551327654e+02
9.913948435781308945e+03,1.333121452505336322e+02
9.913948453884971968e+03,1.333117491363081228e+02
9.913948471988633173e+03,1.333113530125359887e+02
9.913948490092296197e+03,1.333109568791376489e+02
9.913948508195957402e+03,1.333105607361927412e+02
9.913948526299620426e+03,1.333101645836217983e+02
9.913948544403281630e+03,1.333097684215044296e+02
9.913948562506944654e+03,1.333093722497610543e+02
9.913948580610607678e+03,1.333089760684316332e+02
9.913948598714268883e+03,1.333085798775559567e+02
9.913948616817931907e+03,1.333081836770545010e+02
9.913948634921593111e+03,1.333077874670069889e+02
9.913948653025256135e+03,1.333073912473337259e+02
9.913948671128917340e+03,1.333069950181145487e+02
9.913948689232580364e+03,1.333065987792697911e+02
9.913948707336243388e+03,1.333062025308393572e+02
9.913948725439904592e+03,1.333058062728631512e+02
9.913948743543567616e+03,1.333054100052615354e+02
9.913948761647228821e+03,1.333050137281142895e+02
9.913948779750891845e+03,1.333046174413417759e+02
9.913948797854553050e+03,1.333042211450237176e+02
9.913948815958216073e+03,1.333038248390805052e+02
9.913948834061877278e+03,1.333034285235918617e+02
9.913948852165540302e+03,1.333030321984782347e+02
9.913948870269203326e+03,1.333026358637794999e+02
9.913948888372864531e+03,1.333022395195354477e+02
9.913948906476527554e+03,1.333018431656666394e+02
9.913948924580188759e+03,1.333014468022526557e+02
9.913948942683851783e+03,1.333010504292139728e+02
9.913948960787512988e+03,1.333006540466303136e+02
9.913948978891176012e+03,1.333002576544220403e+02
9.913948996994837216e+03,1.332998612526689044e+02
9.913949015098500240e+03,1.332994648412912682e+02
9.913949033202163264e+03,1.332990684203290641e+02
9.913949051305824469e+03,1.332986719898221679e+02
9.913949069409487493e+03,1.332982755496909704e+02
9.913949087513148697e+03,1.332978791000152228e+02
9.913949105616811721e+03,1.332974826407152875e+02
9.913949123720472926e+03,1.332970861718708875e+02
9.913949141824135950e+03,1.332966896934024419e+02
9.913949159927797155e+03,1.332962932053897021e+02
9.913949178031460178e+03,1.332958967077529451e+02
9.913949196135123202e+03,1.332955002005322456e+02
9.913949214238784407e+03,1.332951036837673655e+02
9.913949232342447431e+03,1.332947071573786957e+02
9.913949250446108636e+03,1.332943106214460727e+02
9.913949268549771659e+03,1.332939140758897452e+02
9.913949286653432864e+03,1.332935175207895497e+02
9.913949304757095888e+03,1.332931209560658488e+02
9.913949322860757093e+03,1.332927243817983651e+02
9.913949340964420117e+03,1.332923277979074896e+02
9.913949359068083140e+03,1.332919312044330695e+02
9.913949377171744345e+03,1.332915346014151226e+02
9.913949395275407369e+03,1.332911379887739258e+02
9.913949413379068574e+03,1.332907413665892591e+02
9.913949431482731597e+03,1.332903447347815415e+02
9.913949449586392802e+03,1.332899480934304108e+02
9.913949467690055826e+03,1.332895514424563430e+02
9.913949485793717031e+03,1.332891547819390610e+02
9.913949503897380055e+03,1.332887581117988702e+02
9.913949522001043078e+03,1.332883614320757601e+02
9.913949540104704283e+03,1.332879647428096348e+02
9.913949558208367307e+03,1.332875680439207713e+02
9.913949576312028512e+03,1.332871713354890915e+02
9.913949594415691536e+03,1.332867746174347303e+02
9.913949612519352740e+03,1.332863778898376665e+02
9.913949630623015764e+03,1.332859811526181204e+02
9.913949648726676969e+03,1.332855844058559001e+02
9.913949666830339993e+03,1.332851876494713679e+02
9.913949684934003017e+03,1.332847908835044279e+02
9.913949703037664221e+03,1.332843941079950127e+02
9.913949721141327245e+03,1.332839973228634562e+02
9.913949739244988450e+03,1.332836005281894813e+02
9.913949757348651474e+03,1.332832037238935641e+02
9.913949775452312679e+03,1.332828069100553705e+02
9.913949793555975702e+03,1.332824100865952630e+02
9.913949811659636907e+03,1.332820132535930497e+02
9.913949829763299931e+03,1.332816164109690646e+02
9.913949847866962955e+03,1.332812195587632118e+02
9.913949865970624160e+03,1.332808226970153953e+02
9.913949884074287183e+03,1.332804258256459775e+02
9.913949902177948388e+03,1.332800289447347950e+02
9.913949920281611412e+03,1.332796320542020965e+02
9.913949938385272617e+03,1.332792351541277185e+02
9.913949956488935641e+03,1.332788382444319950e+02
9.913949974592596845e+03,1.332784413251946489e+02
9.913949992696259869e+03,1.332780443963360995e+02
9.913950010799922893e+03,1.332776474578962507e+02
9.913950028903584098e+03,1.332772505099149782e+02
9.913950047007247122e+03,1.332768535523126729e+02
9.913950065110908326e+03,1.332764565851690861e+02
9.913950083214571350e+03,1.332760596084045517e+02
9.913950101318232555e+03,1.332756626220989062e+02
9.913950119421895579e+03,1.332752656261723700e+02
9.913950137525558603e+03,1.332748686206650177e+02
9.913950155629219807e+03,1.332744716056166965e+02
9.913950173732882831e+03,1.332740745809476834e+02
9.913950191836544036e+03,1.332736775467379005e+02
9.913950209940207060e+03,1.332732805029075394e+02
9.913950228043868265e+03,1.332728834495365220e+02
9.913950246147531288e+03,1.332724863865450686e+02
9.913950264251192493e+03,1.332720893140130443e+02
9.913950282354855517e+03,1.332716922318606976e+02
9.913950300458518541e+03,1.332712951401280463e+02
9.913950318562179746e+03,1.332708980388549662e+02
9.913950336665842769e+03,1.332705009279617627e+02
9.913950354769503974e+03,1.332701038075283293e+02
9.913950372873166998e+03,1.332697066774748862e+02
9.913950390976828203e+03,1.332693095378812984e+02
