Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.063802708333311602e+04,8.161758429481574240e+02
1.063802710516863226e+04,8.161929416995134261e+02
1.063802712700415032e+04,8.162100372663487633e+02
1.063802714883966655e+04,8.162271296456742675e+02
1.063802717067518279e+04,8.162442188387732358e+02
1.063802719251070084e+04,8.162613048469277146e+02
1.063802721434621708e+04,8.162783876671506960e+02
1.063802723618173331e+04,8.162954673007244537e+02
1.063802725801725137e+04,8.163125437489304659e+02
1.063802727985276761e+04,8.163296170087829751e+02
1.063802730168828566e+04,8.163466870829857953e+02
1.063802732352380190e+04,8.163637539685541924e+02
1.063802734535931813e+04,8.163808176667694170e+02
1.063802736719483619e+04,8.163978781789120376e+02
1.063802738903035242e+04,8.164149355019986842e+02
1.063802741086586866e+04,8.164319896373102665e+02
1.063802743270138672e+04,8.164490405861264435e+02
1.063802745453690295e+04,8.164660883454655504e+02
1.063802747637241919e+04,8.164831329166078149e+02
1.063802749820793724e+04,8.165001743008323274e+02
1.063802752004345348e+04,8.165172124951589012e+02
1.063802754187896971e+04,8.165342475008670817e+02
1.063802756371448777e+04,8.165512793192350500e+02
1.063802758555000401e+04,8.165683079472846657e+02
1.063802760738552206e+04,8.165853333877126943e+02
1.063802762922103830e+04,8.166023556375421322e+02
1.063802765105655453e+04,8.166193746980510468e+02
1.063802767289207259e+04,8.166363905705164825e+02
1.063802769472758882e+04,8.166534032519631410e+02
1.063802771656310506e+04,8.166704127436684075e+02
1.063802773839862311e+04,8.166874190469083032e+02
1.063802776023413935e+04,8.167044221587096899e+02
1.063802778206965559e+04,8.167214220803490434e+02
1.063802780390517364e+04,8.167384188131017027e+02
1.063802782574068988e+04,8.167554123539957800e+02
1.063802784757620611e+04,8.167724027043075239e+02
1.063802786941172417e+04,8.167893898653114775e+02
1.063802789124724040e+04,8.168063738340374584e+02
1.063802791308275846e+04,8.168233546131750700e+02
1.063802793491827470e+04,8.168403321997552666e+02
1.063802795675379093e+04,8.168573065950524779e+02
1.063802797858930899e+04,8.168742778003407921e+02
1.063802800042482522e+04,8.168912458126524143e+02
1.063802802226034146e+04,8.169082106332615467e+02
1.063802804409585951e+04,8.169251722634409134e+02
1.063802806593137575e+04,8.169421307002247659e+02
1.063802808776689199e+04,8.169590859448867377e+02
1.063802810960241004e+04,8.169760379986984162e+02
1.063802813143792628e+04,8.169929868586962129e+02
1.063802815327344251e+04,8.170099325261523973e+02
1.063802817510896057e+04,8.170268750023386701e+02
1.063802819694447680e+04,8.170438142842924663e+02
1.063802821877999486e+04,8.170607503746962266e+02
1.063802824061551109e+04,8.170776832705888637e+02
1.063802826245102733e+04,8.170946129732416239e+02
1.063802828428654539e+04,8.171115394839246164e+02
1.063802830612206162e+04,8.171284627996784593e+02
1.063802832795757786e+04,8.171453829217738303e+02
1.063802834979309591e+04,8.171622998514800429e+02
1.063802837162861215e+04,8.171792135858394204e+02
1.063802839346412838e+04,8.171961241261215037e+02
1.063802841529964644e+04,8.172130314735956063e+02
