Time (BJD_TBD - 2450000), F_g/F_star (ppm)
1.061386530092591420e+04,8.238308094268434445e+01
1.061386531688121431e+04,8.238266260482996017e+01
1.061386533283651261e+04,8.238224426537279044e+01
1.061386534879181272e+04,8.238182592421745198e+01
1.061386536474711102e+04,8.238140758145941334e+01
1.061386538070241113e+04,8.238098923700327703e+01
1.061386539665770943e+04,8.238057089094449736e+01
1.061386541261300954e+04,8.238015254318764846e+01
1.061386542856830783e+04,8.237973419382817042e+01
1.061386544452360795e+04,8.237931584277076524e+01
1.061386546047890624e+04,8.237889749011077356e+01
1.061386547643420636e+04,8.237847913575288317e+01
1.061386549238950465e+04,8.237806077979246311e+01
1.061386550834480477e+04,8.237764242213417276e+01
1.061386552430010306e+04,8.237722406287345223e+01
1.061386554025540318e+04,8.237680570191490403e+01
1.061386555621070147e+04,8.237638733935396829e+01
1.061386557216600158e+04,8.237596897509526173e+01
1.061386558812129988e+04,8.237555060923423866e+01
1.061386560407659999e+04,8.237513224167547321e+01
1.061386562003189829e+04,8.237471387251447652e+01
1.061386563598719840e+04,8.237429550165580849e+01
1.061386565194249670e+04,8.237387712919488081e+01
1.061386566789779681e+04,8.237345875503639547e+01
1.061386568385309511e+04,8.237304037927574996e+01
1.061386569980839522e+04,8.237262200181754679e+01
1.061386571576369352e+04,8.237220362275721186e+01
1.061386573171899363e+04,8.237178524199941876e+01
1.061386574767429192e+04,8.237136685963955074e+01
1.061386576362959204e+04,8.237094847558226718e+01
1.061386577958489033e+04,8.237053008992295133e+01
1.061386579554019045e+04,8.237011170256626258e+01
1.061386581149549056e+04,8.236969331355994939e+01
1.061386582745078886e+04,8.236927492295170339e+01
1.061386584340608897e+04,8.236885653064618396e+01
1.061386585936138727e+04,8.236843813673877435e+01
1.061386587531668738e+04,8.236801974113411973e+01
1.061386589127198567e+04,8.236760134392766020e+01
1.061386590722728579e+04,8.236718294502404092e+01
1.061386592318258408e+04,8.236676454451864515e+01
1.061386593913788420e+04,8.236634614231611806e+01
1.061386595509318249e+04,8.236592773851188554e+01
1.061386597104848261e+04,8.236550933301057853e+01
1.061386598700378090e+04,8.236509092590765135e+01
1.061386600295908102e+04,8.236467251710769233e+01
1.061386601891437931e+04,8.236425410670612735e+01
1.061386603486967942e+04,8.236383569460760157e+01
1.061386605082497772e+04,8.236341728090755510e+01
1.061386606678027783e+04,8.236299886551060467e+01
1.061386608273557613e+04,8.236258044851214777e+01
1.061386609869087624e+04,8.236216202981687218e+01
1.061386611464617454e+04,8.236174360952014695e+01
1.061386613060147465e+04,8.236132518752664566e+01
1.061386614655677295e+04,8.236090676393175158e+01
1.061386616251207306e+04,8.236048833864012408e+01
1.061386617846737136e+04,8.236006991174717484e+01
1.061386619442267147e+04,8.235965148315753481e+01
1.061386621037796976e+04,8.235923305296665831e+01
1.061386622633326988e+04,8.235881462107911943e+01
1.061386624228856817e+04,8.235839618759041514e+01
1.061386625824386829e+04,8.235797775240509111e+01
1.061386627419916658e+04,8.235755931561864429e+01
1.061386629015446670e+04,8.235714087713567721e+01
1.061386630610976681e+04,8.235672243700388151e+01
1.061386632206506511e+04,8.235630399527104828e+01
1.061386633802036522e+04,8.235588555184176585e+01
1.061386635397566351e+04,8.235546710681148852e+01
1.061386636993096363e+04,8.235504866008479041e+01
1.061386638588626192e+04,8.235463021175716847e+01
1.061386640184156204e+04,8.235421176173319679e+01
1.061386641779686033e+04,8.235379331010835813e+01
1.061386643375216045e+04,8.235337485678719815e+01
1.061386644970745874e+04,8.235295640186519961e+01
1.061386646566275886e+04,8.235253794524700766e+01
1.061386648161805715e+04,8.235211948702801976e+01
1.061386649757335726e+04,8.235170102711286688e+01
1.061386651352865556e+04,8.235128256559694648e+01
1.061386652948395567e+04,8.235086410238494636e+01
1.061386654543925397e+04,8.235044563757226399e+01
1.061386656139455408e+04,8.235002717106354453e+01
1.061386657734985238e+04,8.234960870295418545e+01
1.061386659330515249e+04,8.234919023314878928e+01
1.061386660926045079e+04,8.234877176174286717e+01
1.061386662521575090e+04,8.234835328864097903e+01
1.061386664117104920e+04,8.234793481393860759e+01
1.061386665712634931e+04,8.234751633754031275e+01
1.061386667308164760e+04,8.234709785954154881e+01
1.061386668903694772e+04,8.234667937984697517e+01
1.061386670499224601e+04,8.234626089855200348e+01
1.061386672094754613e+04,8.234584241556123629e+01
1.061386673690284442e+04,8.234542393097011370e+01
1.061386675285814454e+04,8.234500544468329508e+01
1.061386676881344283e+04,8.234458695679616369e+01
1.061386678476874295e+04,8.234416846721336469e+01
1.061386680072404306e+04,8.234374997598260393e+01
1.061386681667934135e+04,8.234333148315167250e+01
1.061386683263464147e+04,8.234291298862510189e+01
1.061386684858993976e+04,8.234249449249843167e+01
1.061386686454523988e+04,8.234207599467620753e+01
1.061386688050053817e+04,8.234165749525385536e+01
1.061386689645583829e+04,8.234123899413606296e+01
1.061386691241113658e+04,8.234082049141821358e+01
1.061386692836643670e+04,8.234040198700495239e+01
1.061386694432173499e+04,8.233998348099170528e+01
1.061386696027703510e+04,8.233956497328304636e+01
1.061386697623233340e+04,8.233914646397450099e+01
1.061386699218763351e+04,8.233872795297060065e+01
