Time (BJD_TBD - 2450000), F_b/F_star (ppm)
1.061386530092591420e+04,8.251186752858504860e+02
1.061386531688121431e+04,8.251298707026892316e+02
1.061386533283651261e+04,8.251410643778400527e+02
1.061386534879181272e+04,8.251522563138059922e+02
1.061386536474711102e+04,8.251634465079857819e+02
1.061386538070241113e+04,8.251746349628815551e+02
1.061386539665770943e+04,8.251858216758934077e+02
1.061386541261300954e+04,8.251970066495222227e+02
1.061386542856830783e+04,8.252081898811688916e+02
1.061386544452360795e+04,8.252193713733339564e+02
1.061386546047890624e+04,8.252305511234185360e+02
1.061386547643420636e+04,8.252417291339224903e+02
1.061386549238950465e+04,8.252529054022483024e+02
1.061386550834480477e+04,8.252640799308946953e+02
1.061386552430010306e+04,8.252752527172647206e+02
1.061386554025540318e+04,8.252864237638566465e+02
1.061386555621070147e+04,8.252975930680740930e+02
1.061386557216600158e+04,8.253087606324147600e+02
1.061386558812129988e+04,8.253199264542830633e+02
1.061386560407659999e+04,8.253310905361760206e+02
1.061386562003189829e+04,8.253422528754985024e+02
1.061386563598719840e+04,8.253534134747466169e+02
1.061386565194249670e+04,8.253645723313268263e+02
1.061386566789779681e+04,8.253757294477339883e+02
1.061386568385309511e+04,8.253868848213753608e+02
1.061386569980839522e+04,8.253980384547450058e+02
1.061386571576369352e+04,8.254091903452509769e+02
1.061386573171899363e+04,8.254203404953867675e+02
1.061386574767429192e+04,8.254314889025608863e+02
1.061386576362959204e+04,8.254426355692664856e+02
1.061386577958489033e+04,8.254537804929126423e+02
1.061386579554019045e+04,8.254649236759914857e+02
1.061386581149549056e+04,8.254760651171833388e+02
1.061386582745078886e+04,8.254872048151693207e+02
1.061386584340608897e+04,8.254983427724401963e+02
1.061386585936138727e+04,8.255094789864075437e+02
1.061386587531668738e+04,8.255206134595615595e+02
1.061386589127198567e+04,8.255317461893141626e+02
1.061386590722728579e+04,8.255428771781549813e+02
1.061386592318258408e+04,8.255540064234968440e+02
1.061386593913788420e+04,8.255651339278285832e+02
1.061386595509318249e+04,8.255762596885635958e+02
1.061386597104848261e+04,8.255873837081901456e+02
1.061386598700378090e+04,8.255985059841225393e+02
1.061386600295908102e+04,8.256096265188480174e+02
1.061386601891437931e+04,8.256207453097819098e+02
1.061386603486967942e+04,8.256318623594104338e+02
1.061386605082497772e+04,8.256429776651501697e+02
1.061386606678027783e+04,8.256540912294859709e+02
1.061386608273557613e+04,8.256652030498354407e+02
1.061386609869087624e+04,8.256763131286829775e+02
1.061386611464617454e+04,8.256874214634466398e+02
1.061386613060147465e+04,8.256985280566103711e+02
1.061386614655677295e+04,8.257096329055925708e+02
1.061386616251207306e+04,8.257207360128765004e+02
1.061386617846737136e+04,8.257318373758818097e+02
1.061386619442267147e+04,8.257429369970907373e+02
