Time (BJD_TBD - 2450000), F_f/F_star (ppm)
1.014093855324061587e+04,6.238081483548337758e+01
1.014093857208740883e+04,6.238171572218764283e+01
1.014093859093419996e+04,6.238261661014988135e+01
1.014093860978099292e+04,6.238351749954387060e+01
1.014093862862778406e+04,6.238441839019551338e+01
1.014093864747457701e+04,6.238531928227858003e+01
1.014093866632136815e+04,6.238622017561905153e+01
1.014093868516816110e+04,6.238712107039062715e+01
1.014093870401495224e+04,6.238802196641930209e+01
1.014093872286174519e+04,6.238892286387881114e+01
1.014093874170853633e+04,6.238982376259508555e+01
1.014093876055532928e+04,6.239072466274190987e+01
1.014093877940212042e+04,6.239162556414520822e+01
1.014093879824891337e+04,6.239252646697875093e+01
1.014093881709570451e+04,6.239342737106847636e+01
1.014093883594249746e+04,6.239432827658814773e+01
1.014093885478928860e+04,6.239522918336369628e+01
1.014093887363608155e+04,6.239613009156890655e+01
1.014093889248287269e+04,6.239703100102969557e+01
1.014093891132966564e+04,6.239793191191982658e+01
1.014093893017645678e+04,6.239883282406524501e+01
1.014093894902324973e+04,6.239973373763970699e+01
1.014093896787004269e+04,6.240063465255612130e+01
1.014093898671683382e+04,6.240153556872737539e+01
1.014093900556362678e+04,6.240243648632723250e+01
1.014093902441041791e+04,6.240333740518163097e+01
1.014093904325721087e+04,6.240423832546432692e+01
1.014093906210400201e+04,6.240513924700127291e+01
1.014093908095079496e+04,6.240604016996623216e+01
1.014093909979758610e+04,6.240694109418512880e+01
1.014093911864437905e+04,6.240784201983174739e+01
1.014093913749117019e+04,6.240874294673200495e+01
1.014093915633796314e+04,6.240964387505967181e+01
1.014093917518475428e+04,6.241054480464068632e+01
1.014093919403154723e+04,6.241144573564881171e+01
1.014093921287833837e+04,6.241234666790998631e+01
1.014093923172513132e+04,6.241324760159798046e+01
1.014093925057192246e+04,6.241414853653871830e+01
1.014093926941871541e+04,6.241504947290598437e+01
1.014093928826550655e+04,6.241595041052572412e+01
1.014093930711229950e+04,6.241685134957163683e+01
1.014093932595909064e+04,6.241775228986973190e+01
1.014093934480588359e+04,6.241865323159374412e+01
1.014093936365267473e+04,6.241955417456961897e+01
1.014093938249946768e+04,6.242045511897111965e+01
1.014093940134626064e+04,6.242135606471112652e+01
1.014093942019305177e+04,6.242225701170254837e+01
1.014093943903984473e+04,6.242315796011914841e+01
1.014093945788663586e+04,6.242405890978685790e+01
1.014093947673342882e+04,6.242495986087944004e+01
1.014093949558021995e+04,6.242586081322285452e+01
1.014093951442701291e+04,6.242676176699082191e+01
1.014093953327380405e+04,6.242766272200931610e+01
1.014093955212059700e+04,6.242856367845209320e+01
1.014093957096738814e+04,6.242946463614509156e+01
1.014093958981418109e+04,6.243036559526208862e+01
1.014093960866097223e+04,6.243126655562898719e+01
1.014093962750776518e+04,6.243216751741957182e+01
1.014093964635455632e+04,6.243306848045978086e+01
1.014093966520134927e+04,6.243396944492337752e+01
1.014093968404814041e+04,6.243487041063629306e+01
1.014093970289493336e+04,6.243577137777229780e+01
1.014093972174172450e+04,6.243667234615733008e+01
1.014093974058851745e+04,6.243757331596517446e+01
1.014093975943530859e+04,6.243847428702172664e+01
1.014093977828210154e+04,6.243937525950075695e+01
1.014093979712889450e+04,6.244027623331519550e+01
1.014093981597568563e+04,6.244117720837790131e+01
1.014093983482247859e+04,6.244207818486268025e+01
1.014093985366926972e+04,6.244297916259541381e+01
1.014093987251606268e+04,6.244388014174990786e+01
1.014093989136285381e+04,6.244478112215207233e+01
1.014093991020964677e+04,6.244568210397569885e+01
1.014093992905643790e+04,6.244658308704670446e+01
1.014093994790323086e+04,6.244748407153886660e+01
1.014093996675002199e+04,6.244838505727810940e+01
