Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.891595520833507180e+03,4.345953940527665793e+01
9.891595543725843527e+03,4.346018699947170205e+01
9.891595566618178054e+03,4.346083459549426919e+01
9.891595589510514401e+03,4.346148219344717489e+01
9.891595612402848928e+03,4.346212979322742598e+01
9.891595635295185275e+03,4.346277739493783798e+01
9.891595658187519803e+03,4.346342499847540353e+01
9.891595681079856149e+03,4.346407260394298078e+01
9.891595703972190677e+03,4.346472021123753393e+01
9.891595726864527023e+03,4.346536782046189984e+01
9.891595749756863370e+03,4.346601543156454994e+01
9.891595772649197897e+03,4.346666304449392015e+01
9.891595795541534244e+03,4.346731065935282601e+01
9.891595818433868772e+03,4.346795827603829565e+01
9.891595841326205118e+03,4.346860589465312330e+01
9.891595864218539646e+03,4.346925351509435131e+01
9.891595887110875992e+03,4.346990113746475970e+01
9.891595910003210520e+03,4.347054876166136950e+01
9.891595932895546866e+03,4.347119638778700335e+01
9.891595955787881394e+03,4.347184401573867518e+01
9.891595978680217740e+03,4.347249164561917922e+01
9.891596001572554087e+03,4.347313927737697981e+01
9.891596024464888615e+03,4.347378691096056258e+01
9.891596047357224961e+03,4.347443454647270755e+01
9.891596070249559489e+03,4.347508218381044998e+01
9.891596093141895835e+03,4.347572982307659117e+01
9.891596116034230363e+03,4.347637746416815219e+01
9.891596138926566709e+03,4.347702510718794855e+01
9.891596161818901237e+03,4.347767275203295867e+01
9.891596184711237584e+03,4.347832039880603361e+01
9.891596207603573930e+03,4.347896804745565191e+01
9.891596230495908458e+03,4.347961569793019976e+01
9.891596253388244804e+03,4.348026335033255663e+01
9.891596276280579332e+03,4.348091100455970093e+01
9.891596299172915678e+03,4.348155866071448372e+01
9.891596322065250206e+03,4.348220631869386921e+01
9.891596344957586552e+03,4.348285397860070134e+01
9.891596367849921080e+03,4.348350164033198695e+01
9.891596390742257427e+03,4.348414930399052025e+01
9.891596413634591954e+03,4.348479696947332940e+01
9.891596436526928301e+03,4.348544463688322992e+01
9.891596459419264647e+03,4.348609230616869326e+01
9.891596482311599175e+03,4.348673997727813401e+01
9.891596505203935521e+03,4.348738765031442455e+01
9.891596528096270049e+03,4.348803532517452908e+01
9.891596550988606396e+03,4.348868300196129866e+01
9.891596573880940923e+03,4.348933068057169748e+01
9.891596596773277270e+03,4.348997836110860504e+01
