Time (BJD_TBD - 2450000), F_star + F_c (mJy)
1.014093855324061587e+04,2.739623037202373990e+00
1.014093857208740883e+04,2.739623070421964179e+00
1.014093859093419996e+04,2.739623103642505608e+00
1.014093860978099292e+04,2.739623136864005382e+00
1.014093862862778406e+04,2.739623170086456394e+00
1.014093864747457701e+04,2.739623203309865751e+00
1.014093866632136815e+04,2.739623236534225903e+00
1.014093868516816110e+04,2.739623269759543511e+00
1.014093870401495224e+04,2.739623302985812803e+00
1.014093872286174519e+04,2.739623336213039551e+00
1.014093874170853633e+04,2.739623369441217537e+00
1.014093876055532928e+04,2.739623402670352537e+00
1.014093877940212042e+04,2.739623435900438775e+00
1.014093879824891337e+04,2.739623469131481581e+00
1.014093881709570451e+04,2.739623502363475627e+00
1.014093883594249746e+04,2.739623535596426684e+00
1.014093885478928860e+04,2.739623568830327649e+00
1.014093887363608155e+04,2.739623602065186070e+00
1.014093889248287269e+04,2.739623635300994398e+00
1.014093891132966564e+04,2.739623668537759738e+00
1.014093893017645678e+04,2.739623701775475872e+00
1.014093894902324973e+04,2.739623735014148131e+00
1.014093896787004269e+04,2.739623768253772962e+00
1.014093898671683382e+04,2.739623801494349031e+00
1.014093900556362678e+04,2.739623834735880337e+00
1.014093902441041791e+04,2.739623867978362437e+00
1.014093904325721087e+04,2.739623901221800217e+00
1.014093906210400201e+04,2.739623934466187016e+00
1.014093908095079496e+04,2.739623967711530828e+00
1.014093909979758610e+04,2.739624000957823657e+00
1.014093911864437905e+04,2.739624034205072167e+00
1.014093913749117019e+04,2.739624067453270584e+00
1.014093915633796314e+04,2.739624100702424236e+00
1.014093917518475428e+04,2.739624133952527352e+00
1.014093919403154723e+04,2.739624167203586147e+00
1.014093921287833837e+04,2.739624200455593961e+00
1.014093923172513132e+04,2.739624233708556122e+00
1.014093925057192246e+04,2.739624266962468191e+00
1.014093926941871541e+04,2.739624300217335939e+00
1.014093928826550655e+04,2.739624333473151374e+00
1.014093930711229950e+04,2.739624366729922045e+00
1.014093932595909064e+04,2.739624399987641734e+00
1.014093934480588359e+04,2.739624433246315327e+00
1.014093936365267473e+04,2.739624466505937939e+00
1.014093938249946768e+04,2.739624499766515786e+00
1.014093940134626064e+04,2.739624533028044429e+00
1.014093942019305177e+04,2.739624566290521646e+00
1.014093943903984473e+04,2.739624599553953210e+00
1.014093945788663586e+04,2.739624632818332461e+00
1.014093947673342882e+04,2.739624666083666060e+00
1.014093949558021995e+04,2.739624699349947790e+00
1.014093951442701291e+04,2.739624732617183422e+00
1.014093953327380405e+04,2.739624765885367186e+00
1.014093955212059700e+04,2.739624799154504853e+00
1.014093957096738814e+04,2.739624832424589762e+00
1.014093958981418109e+04,2.739624865695629019e+00
1.014093960866097223e+04,2.739624898967615074e+00
1.014093962750776518e+04,2.739624932240555033e+00
1.014093964635455632e+04,2.739624965514441790e+00
1.014093966520134927e+04,2.739624998789282451e+00
1.014093968404814041e+04,2.739625032065069909e+00
1.014093970289493336e+04,2.739625065341811272e+00
1.014093972174172450e+04,2.739625098619499877e+00
1.014093974058851745e+04,2.739625131898140609e+00
1.014093975943530859e+04,2.739625165177728583e+00
1.014093977828210154e+04,2.739625198458269573e+00
1.014093979712889450e+04,2.739625231739760469e+00
1.014093981597568563e+04,2.739625265022198164e+00
1.014093983482247859e+04,2.739625298305587986e+00
1.014093985366926972e+04,2.739625331589924162e+00
1.014093987251606268e+04,2.739625364875213798e+00
1.014093989136285381e+04,2.739625398161448899e+00
1.014093991020964677e+04,2.739625431448636572e+00
1.014093992905643790e+04,2.739625464736770155e+00
1.014093994790323086e+04,2.739625498025856309e+00
1.014093996675002199e+04,2.739625531315887930e+00
1.014093998559681495e+04,2.739625564606872565e+00
1.014094000444360609e+04,2.739625597898802667e+00
1.014094002329039904e+04,2.739625631191684452e+00
1.014094004213719018e+04,2.739625664485511702e+00
1.014094006098398313e+04,2.739625697780290636e+00
1.014094007983077427e+04,2.739625731076015924e+00
1.014094009867756722e+04,2.739625764372692007e+00
1.014094011752435836e+04,2.739625797670314000e+00
1.014094013637115131e+04,2.739625830968886344e+00
1.014094015521794245e+04,2.739625864268405042e+00
1.014094017406473540e+04,2.739625897568874535e+00
1.014094019291152654e+04,2.739625930870289050e+00
1.014094021175831949e+04,2.739625964172654360e+00
1.014094023060511245e+04,2.739625997475968244e+00
1.014094024945190358e+04,2.739626030780226706e+00
1.014094026829869654e+04,2.739626064085435520e+00
1.014094028714548767e+04,2.739626097391589798e+00
1.014094030599228063e+04,2.739626130698693984e+00
1.014094032483907176e+04,2.739626164006743192e+00
1.014094034368586472e+04,2.739626197315743195e+00
1.014094036253265585e+04,2.739626230625686887e+00
1.014094038137944881e+04,2.739626263936580930e+00
1.014094040022623994e+04,2.739626297248419551e+00
1.014094041907303290e+04,2.739626330561208079e+00
1.014094043791982403e+04,2.739626363874940740e+00
1.014094045676661699e+04,2.739626397189623752e+00
1.014094047561340813e+04,2.739626430505250010e+00
1.014094049446020108e+04,2.739626463821826174e+00
1.014094051330699222e+04,2.739626497139346473e+00
1.014094053215378517e+04,2.739626530457816234e+00
1.014094055100057631e+04,2.739626563777230128e+00
1.014094056984736926e+04,2.739626597097592597e+00
1.014094058869416040e+04,2.739626630418898756e+00
1.014094060754095335e+04,2.739626663741154822e+00
1.014094062638774631e+04,2.739626697064356797e+00
1.014094064523453744e+04,2.739626730388502018e+00
1.014094066408133040e+04,2.739626763713596258e+00
1.014094068292812153e+04,2.739626797039633743e+00
1.014094070177491449e+04,2.739626830366619803e+00
1.014094072062170562e+04,2.739626863694549108e+00
1.014094073946849858e+04,2.739626897023426544e+00
1.014094075831528971e+04,2.739626930353247225e+00
1.014094077716208267e+04,2.739626963684016925e+00
1.014094079600887380e+04,2.739626997015728982e+00
1.014094081485566676e+04,2.739627030348389169e+00
1.014094083370245789e+04,2.739627063681991714e+00
1.014094085254925085e+04,2.739627097016542390e+00
1.014094087139604198e+04,2.739627130352036311e+00
1.014094089024283494e+04,2.739627163688477474e+00
1.014094090908962608e+04,2.739627197025860550e+00
1.014094092793641903e+04,2.739627230364192201e+00
1.014094094678321017e+04,2.739627263703465765e+00
1.014094096563000312e+04,2.739627297043687015e+00
1.014094098447679426e+04,2.739627330384850179e+00
1.014094100332358721e+04,2.739627363726960585e+00
1.014094102217037835e+04,2.739627397070012460e+00
1.014094104101717130e+04,2.739627430414012910e+00
1.014094105986396426e+04,2.739627463758957049e+00
1.014094107871075539e+04,2.739627497104842213e+00
1.014094109755754835e+04,2.739627530451675064e+00
1.014094111640433948e+04,2.739627563799449383e+00
1.014094113525113244e+04,2.739627597148170945e+00
1.014094115409792357e+04,2.739627630497832644e+00
1.014094117294471653e+04,2.739627663848442030e+00
1.014094119179150766e+04,2.739627697199991996e+00
1.014094121063830062e+04,2.739627730552488760e+00
1.014094122948509175e+04,2.739627763905926550e+00
1.014094124833188471e+04,2.739627797260311137e+00
1.014094126717867584e+04,2.739627830615635418e+00
1.014094128602546880e+04,2.739627863971906496e+00
1.014094130487225993e+04,2.739627897329118600e+00
1.014094132371905289e+04,2.739627930687276613e+00
1.014094134256584402e+04,2.739627964046374320e+00
1.014094136141263698e+04,2.739627997406419269e+00
1.014094138025942812e+04,2.739628030767403466e+00
1.014094139910622107e+04,2.739628064129334017e+00
1.014094141795301221e+04,2.739628097492204262e+00
1.014094143679980516e+04,2.739628130856020416e+00
1.014094145564659811e+04,2.739628164220779816e+00
1.014094147449338925e+04,2.739628197586478020e+00
1.014094149334018221e+04,2.739628230953123023e+00
1.014094151218697334e+04,2.739628264320706386e+00
1.014094153103376630e+04,2.739628297689235659e+00
1.014094154988055743e+04,2.739628331058704180e+00
1.014094156872735039e+04,2.739628364429118612e+00
1.014094158757414152e+04,2.739628397800470960e+00
1.014094160642093448e+04,2.739628431172770107e+00
1.014094162526772561e+04,2.739628464546006725e+00
1.014094164411451857e+04,2.739628497920189254e+00
1.014094166296130970e+04,2.739628531295310587e+00
