Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.896128576389048249e+03,2.656362064330508588e+00
9.896128599245501391e+03,2.656362143856210167e+00
9.896128622101952715e+03,2.656362223376181220e+00
9.896128644958405857e+03,2.656362302890435956e+00
9.896128667814857181e+03,2.656362382398956612e+00
9.896128690671310324e+03,2.656362461901764505e+00
9.896128713527761647e+03,2.656362541398838317e+00
9.896128736384214790e+03,2.656362620890195814e+00
9.896128759240666113e+03,2.656362700375812125e+00
9.896128782097119256e+03,2.656362779855715672e+00
9.896128804953570580e+03,2.656362859329881587e+00
9.896128827810023722e+03,2.656362938798324080e+00
9.896128850666476865e+03,2.656363018261036046e+00
9.896128873522928188e+03,2.656363097718010380e+00
9.896128896379381331e+03,2.656363177169264844e+00
9.896128919235832655e+03,2.656363256614778123e+00
9.896128942092285797e+03,2.656363336054564428e+00
9.896128964948737121e+03,2.656363415488613100e+00
9.896128987805190263e+03,2.656363494916934798e+00
9.896129010661641587e+03,2.656363574339515310e+00
9.896129033518094730e+03,2.656363653756365295e+00
9.896129056374546053e+03,2.656363733167474095e+00
9.896129079230999196e+03,2.656363812572852368e+00
9.896129102087450519e+03,2.656363891972485902e+00
9.896129124943903662e+03,2.656363971366388910e+00
9.896129147800356805e+03,2.656364050754557837e+00
9.896129170656808128e+03,2.656364130136971369e+00
9.896129193513261271e+03,2.656364209513657926e+00
9.896129216369712594e+03,2.656364288884596192e+00
9.896129239226165737e+03,2.656364368249796826e+00
9.896129262082617061e+03,2.656364447609249169e+00
9.896129284939070203e+03,2.656364526962963879e+00
9.896129307795521527e+03,2.656364606310933851e+00
9.896129330651974669e+03,2.656364685653159086e+00
9.896129353508425993e+03,2.656364764989639582e+00
9.896129376364879136e+03,2.656364844320378893e+00
9.896129399221332278e+03,2.656364923645369913e+00
9.896129422077783602e+03,2.656365002964609090e+00
9.896129444934236744e+03,2.656365082278103529e+00
9.896129467790688068e+03,2.656365161585846124e+00
9.896129490647141211e+03,2.656365240887840429e+00
9.896129513503592534e+03,2.656365320184086443e+00
9.896129536360045677e+03,2.656365399474580613e+00
9.896129559216497000e+03,2.656365478759322940e+00
9.896129582072950143e+03,2.656365558038320529e+00
9.896129604929401467e+03,2.656365637311548511e+00
9.896129627785854609e+03,2.656365716579042413e+00
9.896129650642307752e+03,2.656365795840773814e+00
9.896129673498759075e+03,2.656365875096746265e+00
9.896129696355212218e+03,2.656365954346973979e+00
9.896129719211663542e+03,2.656366033591432085e+00
9.896129742068116684e+03,2.656366112830141901e+00
9.896129764924568008e+03,2.656366192063089215e+00
9.896129787781021150e+03,2.656366271290284686e+00
9.896129810637472474e+03,2.656366350511710550e+00
9.896129833493925616e+03,2.656366429727384570e+00
9.896129856350376940e+03,2.656366508937292537e+00
9.896129879206830083e+03,2.656366588141445106e+00
9.896129902063283225e+03,2.656366667339838727e+00
9.896129924919734549e+03,2.656366746532459189e+00
9.896129947776187691e+03,2.656366825719327807e+00
9.896129970632639015e+03,2.656366904900419712e+00
9.896129993489092158e+03,2.656366984075756221e+00
9.896130016345543481e+03,2.656367063245323124e+00
9.896130039201996624e+03,2.656367142409127524e+00
9.896130062058447947e+03,2.656367221567162318e+00
9.896130084914901090e+03,2.656367300719431057e+00
9.896130107771352414e+03,2.656367379865926637e+00
9.896130130627805556e+03,2.656367459006663267e+00
9.896130153484256880e+03,2.656367538141619633e+00
9.896130176340710022e+03,2.656367617270813497e+00
9.896130199197163165e+03,2.656367696394237754e+00
