Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.014846018518507481e+04,2.741351961305871665e+00
1.014846020605984813e+04,2.741352022816874623e+00
1.014846022693461964e+04,2.741352084320785920e+00
1.014846024780939297e+04,2.741352145817616659e+00
1.014846026868416629e+04,2.741352207307359734e+00
1.014846028955893780e+04,2.741352268790009816e+00
1.014846031043371113e+04,2.741352330265578008e+00
1.014846033130848264e+04,2.741352391734051874e+00
1.014846035218325596e+04,2.741352453195442074e+00
1.014846037305802929e+04,2.741352514649743721e+00
1.014846039393280080e+04,2.741352576096949711e+00
1.014846041480757413e+04,2.741352637537070258e+00
1.014846043568234745e+04,2.741352698970100921e+00
1.014846045655711896e+04,2.741352760396034594e+00
1.014846047743189229e+04,2.741352821814881491e+00
1.014846049830666561e+04,2.741352883226637616e+00
1.014846051918143712e+04,2.741352944631294530e+00
1.014846054005621045e+04,2.741353006028864669e+00
1.014846056093098196e+04,2.741353067419335154e+00
1.014846058180575528e+04,2.741353128802717531e+00
1.014846060268052861e+04,2.741353190179005583e+00
1.014846062355530012e+04,2.741353251548193093e+00
1.014846064443007344e+04,2.741353312910290274e+00
1.014846066530484677e+04,2.741353374265292242e+00
1.014846068617961828e+04,2.741353435613192779e+00
1.014846070705439161e+04,2.741353496954001212e+00
1.014846072792916493e+04,2.741353558287713099e+00
1.014846074880393644e+04,2.741353619614320891e+00
1.014846076967870977e+04,2.741353680933837467e+00
1.014846079055348127e+04,2.741353742246248615e+00
1.014846081142825460e+04,2.741353803551566770e+00
1.014846083230302793e+04,2.741353864849785271e+00
1.014846085317779944e+04,2.741353926140898789e+00
1.014846087405257276e+04,2.741353987424916649e+00
1.014846089492734609e+04,2.741354048701833968e+00
1.014846091580211760e+04,2.741354109971644526e+00
1.014846093667689092e+04,2.741354171234358095e+00
1.014846095755166243e+04,2.741354232489964904e+00
1.014846097842643576e+04,2.741354293738473835e+00
1.014846099930120909e+04,2.741354354979879560e+00
1.014846102017598059e+04,2.741354416214176304e+00
1.014846104105075392e+04,2.741354477441374282e+00
1.014846106192552725e+04,2.741354538661467721e+00
1.014846108280029875e+04,2.741354599874450848e+00
1.014846110367507208e+04,2.741354661080333432e+00
1.014846112454984541e+04,2.741354722279110590e+00
1.014846114542461692e+04,2.741354783470775214e+00
1.014846116629939024e+04,2.741354844655338407e+00
1.014846118717416175e+04,2.741354905832789512e+00
1.014846120804893508e+04,2.741354967003137855e+00
1.014846122892370840e+04,2.741355028166377661e+00
1.014846124979847991e+04,2.741355089322504046e+00
1.014846127067325324e+04,2.741355150471525892e+00
1.014846129154802657e+04,2.741355211613438314e+00
1.014846131242279807e+04,2.741355272748235095e+00
1.014846133329757140e+04,2.741355333875926892e+00
1.014846135417234473e+04,2.741355394996507489e+00
1.014846137504711623e+04,2.741355456109971556e+00
1.014846139592188956e+04,2.741355517216328419e+00
1.014846141679666107e+04,2.741355578315567865e+00
1.014846143767143440e+04,2.741355639407699218e+00
1.014846145854620772e+04,2.741355700492717595e+00
1.014846147942097923e+04,2.741355761570617222e+00
1.014846150029575256e+04,2.741355822641407425e+00
1.014846152117052588e+04,2.741355883705083318e+00
1.014846154204529739e+04,2.741355944761638241e+00
1.014846156292007072e+04,2.741356005811082852e+00
1.014846158379484405e+04,2.741356066853411821e+00
1.014846160466961555e+04,2.741356127888618488e+00
1.014846162554438888e+04,2.741356188916713510e+00
1.014846164641916039e+04,2.741356249937685341e+00
1.014846166729393371e+04,2.741356310951545527e+00
1.014846168816870704e+04,2.741356371958286964e+00
1.014846170904347855e+04,2.741356432957903433e+00
1.014846172991825188e+04,2.741356493950406481e+00
1.014846175079302520e+04,2.741356554935789447e+00
1.014846177166779671e+04,2.741356615914047445e+00
1.014846179254257004e+04,2.741356676885189358e+00
1.014846181341734336e+04,2.741356737849210745e+00
1.014846183429211487e+04,2.741356798806104500e+00
1.014846185516688820e+04,2.741356859755881725e+00
1.014846187604165971e+04,2.741356920698531763e+00
1.014846189691643303e+04,2.741356981634063050e+00
1.014846191779120636e+04,2.741357042562471591e+00
1.014846193866597787e+04,2.741357103483750723e+00
1.014846195954075120e+04,2.741357164397911106e+00
1.014846198041552452e+04,2.741357225304946077e+00
1.014846200129029603e+04,2.741357286204850752e+00
1.014846202216506936e+04,2.741357347097634012e+00
1.014846204303984086e+04,2.741357407983286532e+00
1.014846206391461419e+04,2.741357468861818081e+00
1.014846208478938752e+04,2.741357529733222442e+00
1.014846210566415903e+04,2.741357590597492955e+00
1.014846212653893235e+04,2.741357651454641609e+00
1.014846214741370568e+04,2.741357712304661298e+00
1.014846216828847719e+04,2.741357773147547139e+00
1.014846218916325051e+04,2.741357833983308456e+00
1.014846221003802384e+04,2.741357894811940366e+00
1.014846223091279535e+04,2.741357955633436205e+00
1.014846225178756868e+04,2.741358016447806190e+00
1.014846227266234018e+04,2.741358077255040104e+00
1.014846229353711351e+04,2.741358138055147720e+00
1.014846231441188684e+04,2.741358198848122818e+00
1.014846233528665834e+04,2.741358259633960071e+00
1.014846235616143167e+04,2.741358320412669691e+00
1.014846237703620500e+04,2.741358381184245463e+00
1.014846239791097651e+04,2.741358441948682056e+00
1.014846241878574983e+04,2.741358502705989686e+00
1.014846243966052316e+04,2.741358563456162134e+00
1.014846246053529467e+04,2.741358624199194072e+00
1.014846248141006799e+04,2.741358684935095269e+00
