Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.889738090277649462e+03,2.741430825708039976e+00
9.889738107156652404e+03,2.741430911220064104e+00
9.889738124035655346e+03,2.741430996734042225e+00
9.889738140914658288e+03,2.741431082249974338e+00
9.889738157793661230e+03,2.741431167767860444e+00
9.889738174672662353e+03,2.741431253287693437e+00
9.889738191551665295e+03,2.741431338809491081e+00
9.889738208430668237e+03,2.741431424333239164e+00
9.889738225309671179e+03,2.741431509858944793e+00
9.889738242188674121e+03,2.741431595386600861e+00
9.889738259067677063e+03,2.741431680916207370e+00
9.889738275946680005e+03,2.741431766447767870e+00
9.889738292825682947e+03,2.741431851981278811e+00
9.889738309704684070e+03,2.741431937516733086e+00
9.889738326583687012e+03,2.741432023054144906e+00
9.889738343462689954e+03,2.741432108593514272e+00
9.889738360341692896e+03,2.741432194134830524e+00
9.889738377220695838e+03,2.741432279678093664e+00
9.889738394099698780e+03,2.741432365223310796e+00
9.889738410978701722e+03,2.741432450770474816e+00
9.889738427857704664e+03,2.741432536319589275e+00
9.889738444736705787e+03,2.741432621870639963e+00
9.889738461615708729e+03,2.741432707423648196e+00
9.889738478494711671e+03,2.741432792978606869e+00
9.889738495373714613e+03,2.741432878535512430e+00
9.889738512252717555e+03,2.741432964094364877e+00
9.889738529131720497e+03,2.741433049655160659e+00
9.889738546010723439e+03,2.741433135217906880e+00
9.889738562889726381e+03,2.741433220782596436e+00
9.889738579768727504e+03,2.741433306349225774e+00
9.889738596647730446e+03,2.741433391917805551e+00
9.889738613526733388e+03,2.741433477488332215e+00
9.889738630405736330e+03,2.741433563060798662e+00
9.889738647284739272e+03,2.741433648635215548e+00
9.889738664163742214e+03,2.741433734211572215e+00
9.889738681042745156e+03,2.741433819789875770e+00
9.889738697921748098e+03,2.741433905370119106e+00
9.889738714800749221e+03,2.741433990952298672e+00
9.889738731679752163e+03,2.741434076536425124e+00
9.889738748558755105e+03,2.741434162122494911e+00
9.889738765437758047e+03,2.741434247710508032e+00
9.889738782316760989e+03,2.741434333300460935e+00
9.889738799195763931e+03,2.741434418892357172e+00
9.889738816074766873e+03,2.741434504486189638e+00
9.889738832953769816e+03,2.741434590081965439e+00
9.889738849832770939e+03,2.741434675679670363e+00
9.889738866711773881e+03,2.741434761279325727e+00
9.889738883590776823e+03,2.741434846880920873e+00
9.889738900469779765e+03,2.741434932484448694e+00
9.889738917348782707e+03,2.741435018089916298e+00
9.889738934227785649e+03,2.741435103697323683e+00
9.889738951106788591e+03,2.741435189306670850e+00
9.889738967985791533e+03,2.741435274917947140e+00
9.889738984864792656e+03,2.741435360531159660e+00
9.889739001743795598e+03,2.741435446146315513e+00
9.889739018622798540e+03,2.741435531763404043e+00
9.889739035501801482e+03,2.741435617382432355e+00
9.889739052380804424e+03,2.741435703003393343e+00
9.889739069259807366e+03,2.741435788626290559e+00
9.889739086138810308e+03,2.741435874251120453e+00
9.889739103017813250e+03,2.741435959877883022e+00
9.889739119896814373e+03,2.741436045506574715e+00
9.889739136775817315e+03,2.741436131137202636e+00
9.889739153654820257e+03,2.741436216769773893e+00
9.889739170533823199e+03,2.741436302404267167e+00
9.889739187412826141e+03,2.741436388040700223e+00
9.889739204291829083e+03,2.741436473679062402e+00
9.889739221170832025e+03,2.741436559319353705e+00
9.889739238049834967e+03,2.741436644961577684e+00
9.889739254928836090e+03,2.741436730605723682e+00
9.889739271807839032e+03,2.741436816251809461e+00
9.889739288686841974e+03,2.741436901899827916e+00
9.889739305565844916e+03,2.741436987549775495e+00
9.889739322444847858e+03,2.741437073201648644e+00
9.889739339323850800e+03,2.741437158855450917e+00
9.889739356202853742e+03,2.741437244511185867e+00
9.889739373081856684e+03,2.741437330168846387e+00
9.889739389960857807e+03,2.741437415828428925e+00
9.889739406839860749e+03,2.741437501489940587e+00
9.889739423718863691e+03,2.741437587153388478e+00
9.889739440597866633e+03,2.741437672818758386e+00
9.889739457476869575e+03,2.741437758486053866e+00
9.889739474355872517e+03,2.741437844155274917e+00
9.889739491234875459e+03,2.741437929826425091e+00
9.889739508113878401e+03,2.741438015499500835e+00
9.889739524992879524e+03,2.741438101174487940e+00
9.889739541871882466e+03,2.741438186851411274e+00
9.889739558750885408e+03,2.741438272530256626e+00
9.889739575629888350e+03,2.741438358211031101e+00
9.889739592508891292e+03,2.741438443893727595e+00
9.889739609387894234e+03,2.741438529578342553e+00
9.889739626266897176e+03,2.741438615264883083e+00
9.889739643145900118e+03,2.741438700953345631e+00
9.889739660024901241e+03,2.741438786643723091e+00
9.889739676903904183e+03,2.741438872336029675e+00
9.889739693782907125e+03,2.741438958030254724e+00
9.889739710661910067e+03,2.741439043726408897e+00
9.889739727540913009e+03,2.741439129424474430e+00
9.889739744419915951e+03,2.741439215124465534e+00
9.889739761298918893e+03,2.741439300826375103e+00
9.889739778177921835e+03,2.741439386530206690e+00
9.889739795056922958e+03,2.741439472235942532e+00
9.889739811935925900e+03,2.741439557943607497e+00
9.889739828814928842e+03,2.741439643653194480e+00
9.889739845693931784e+03,2.741439729364696376e+00
9.889739862572934726e+03,2.741439815078116737e+00
9.889739879451937668e+03,2.741439900793455564e+00
9.889739896330940610e+03,2.741439986510709304e+00
9.889739913209943552e+03,2.741440072229877956e+00
9.889739930088944675e+03,2.741440157950957968e+00
9.889739946967947617e+03,2.741440243673959998e+00
