Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.013335255787055939e+04,1.253629687538563303e+03
1.013335257878931770e+04,1.253658892564488497e+03
1.013335259970807601e+04,1.253688095750659841e+03
1.013335262062683432e+04,1.253717297096893390e+03
1.013335264154559445e+04,1.253746496605547236e+03
1.013335266246435276e+04,1.253775694271359953e+03
1.013335268338311107e+04,1.253804890096688496e+03
1.013335270430186938e+04,1.253834084081350056e+03
1.013335272522062769e+04,1.253863276225162508e+03
1.013335274613938600e+04,1.253892466527944407e+03
1.013335276705814431e+04,1.253921654989512035e+03
1.013335278797690262e+04,1.253950841609683494e+03
1.013335280889566275e+04,1.253980026390814828e+03
1.013335282981442106e+04,1.254009209327646886e+03
1.013335285073317937e+04,1.254038390422536850e+03
1.013335287165193768e+04,1.254067569675301456e+03
1.013335289257069599e+04,1.254096747085758125e+03
1.013335291348945429e+04,1.254125922653725866e+03
1.013335293440821260e+04,1.254155096379021415e+03
1.013335295532697091e+04,1.254184268261462876e+03
1.013335297624573104e+04,1.254213438303404700e+03
1.013335299716448935e+04,1.254242606499591602e+03
1.013335301808324766e+04,1.254271772852377808e+03
1.013335303900200597e+04,1.254300937361581873e+03
1.013335305992076428e+04,1.254330100027020762e+03
1.013335308083952259e+04,1.254359260848513486e+03
1.013335310175828090e+04,1.254388419825877008e+03
1.013335312267703921e+04,1.254417576958929658e+03
1.013335314359579934e+04,1.254446732250024297e+03
1.013335316451455765e+04,1.254475885693909049e+03
1.013335318543331596e+04,1.254505037292936549e+03
1.013335320635207427e+04,1.254534187046925354e+03
1.013335322727083258e+04,1.254563334955693335e+03
1.013335324818959089e+04,1.254592481019058596e+03
1.013335326910834920e+04,1.254621625236839009e+03
1.013335329002710751e+04,1.254650767608852448e+03
1.013335331094586763e+04,1.254679908137451775e+03
1.013335333186462594e+04,1.254709046817386252e+03
1.013335335278338425e+04,1.254738183651008285e+03
1.013335337370214256e+04,1.254767318638136658e+03
1.013335339462090087e+04,1.254796451778589017e+03
1.013335341553965918e+04,1.254825583072183235e+03
1.013335343645841749e+04,1.254854712518738552e+03
1.013335345737717762e+04,1.254883840120605328e+03
1.013335347829593593e+04,1.254912965872535551e+03
1.013335349921469424e+04,1.254942089776881176e+03
1.013335352013345255e+04,1.254971211833460529e+03
1.013335354105221086e+04,1.255000332042091486e+03
1.013335356197096917e+04,1.255029450402592602e+03
1.013335358288972748e+04,1.255058566914781977e+03
1.013335360380848579e+04,1.255087681578478396e+03
1.013335362472724591e+04,1.255116794396031537e+03
1.013335364564600422e+04,1.255145905362196345e+03
1.013335366656476253e+04,1.255175014479322954e+03
1.013335368748352084e+04,1.255204121747230374e+03
1.013335370840227915e+04,1.255233227165736707e+03
1.013335372932103746e+04,1.255262330734660054e+03
1.013335375023979577e+04,1.255291432453818743e+03
1.013335377115855408e+04,1.255320532323032239e+03
1.013335379207731421e+04,1.255349630344648631e+03
1.013335381299607252e+04,1.255378726513425363e+03
1.013335383391483083e+04,1.255407820831712115e+03
1.013335385483358914e+04,1.255436913299327898e+03
1.013335387575234745e+04,1.255466003916089676e+03
1.013335389667110576e+04,1.255495092681817596e+03
1.013335391758986407e+04,1.255524179596329304e+03
1.013335393850862238e+04,1.255553264659444267e+03
1.013335395942738251e+04,1.255582347873509207e+03
1.013335398034614082e+04,1.255611429233285207e+03
1.013335400126489913e+04,1.255640508741120129e+03
1.013335402218365743e+04,1.255669586396832528e+03
1.013335404310241574e+04,1.255698662200240506e+03
1.013335406402117405e+04,1.255727736151163981e+03
1.013335408493993236e+04,1.255756808249421283e+03
1.013335410585869067e+04,1.255785878494830285e+03
1.013335412677745080e+04,1.255814946889738621e+03
1.013335414769620911e+04,1.255844013428909193e+03
1.013335416861496742e+04,1.255873078114688724e+03
1.013335418953372573e+04,1.255902140946895997e+03
1.013335421045248404e+04,1.255931201925349569e+03
1.013335423137124235e+04,1.255960261049868222e+03
1.013335425229000066e+04,1.255989318320271650e+03
1.013335427320876079e+04,1.256018373738904529e+03
1.013335429412751910e+04,1.256047427300533627e+03
1.013335431504627741e+04,1.256076479007503167e+03
1.013335433596503572e+04,1.256105528859632841e+03
1.013335435688379403e+04,1.256134576856741205e+03
1.013335437780255234e+04,1.256163622998647725e+03
1.013335439872131064e+04,1.256192667285171638e+03
1.013335441964006895e+04,1.256221709716131272e+03
1.013335444055882908e+04,1.256250750293871533e+03
1.013335446147758739e+04,1.256279789013160325e+03
1.013335448239634570e+04,1.256308825876342326e+03
1.013335450331510401e+04,1.256337860883236544e+03
1.013335452423386232e+04,1.256366894033662675e+03
1.013335454515262063e+04,1.256395925327438817e+03
1.013335456607137894e+04,1.256424954764385348e+03
