Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.908226643518544734e+03,2.656177460808898161e+00
9.908226666740774817e+03,2.656177538722030107e+00
9.908226689963004901e+03,2.656177616629033622e+00
9.908226713185233166e+03,2.656177694529887390e+00
9.908226736407463250e+03,2.656177772424602068e+00
9.908226759629693333e+03,2.656177850313184763e+00
9.908226782851923417e+03,2.656177928195624816e+00
9.908226806074151682e+03,2.656178006071915121e+00
9.908226829296381766e+03,2.656178083942069890e+00
9.908226852518611850e+03,2.656178161806085569e+00
9.908226875740841933e+03,2.656178239663955054e+00
9.908226898963070198e+03,2.656178317515671239e+00
9.908226922185300282e+03,2.656178395361251887e+00
9.908226945407530366e+03,2.656178473200682788e+00
9.908226968629760449e+03,2.656178551033971047e+00
9.908226991851988714e+03,2.656178628861106006e+00
9.908227015074218798e+03,2.656178706682098323e+00
9.908227038296448882e+03,2.656178784496940892e+00
9.908227061518678966e+03,2.656178862305637267e+00
9.908227084740907230e+03,2.656178940108173236e+00
9.908227107963137314e+03,2.656179017904570117e+00
9.908227131185367398e+03,2.656179095694810144e+00
9.908227154407597482e+03,2.656179173478903977e+00
9.908227177629825746e+03,2.656179251256837404e+00
9.908227200852055830e+03,2.656179329028624636e+00
9.908227224074285914e+03,2.656179406794255016e+00
9.908227247296515998e+03,2.656179484553728543e+00
9.908227270518744263e+03,2.656179562307045217e+00
9.908227293740974346e+03,2.656179640054208591e+00
9.908227316963204430e+03,2.656179717795218664e+00
9.908227340185434514e+03,2.656179795530068333e+00
9.908227363407662779e+03,2.656179873258754043e+00
9.908227386629892862e+03,2.656179950981286453e+00
9.908227409852122946e+03,2.656180028697662010e+00
9.908227433074353030e+03,2.656180106407877162e+00
9.908227456296581295e+03,2.656180184111921250e+00
9.908227479518811379e+03,2.656180261809812038e+00
9.908227502741041462e+03,2.656180339501538867e+00
9.908227525963271546e+03,2.656180417187105292e+00
9.908227549185499811e+03,2.656180494866500652e+00
9.908227572407729895e+03,2.656180572539739160e+00
9.908227595629959978e+03,2.656180650206810157e+00
9.908227618852190062e+03,2.656180727867713642e+00
9.908227642074418327e+03,2.656180805522449617e+00
9.908227665296648411e+03,2.656180883171018081e+00
9.908227688518878495e+03,2.656180960813422587e+00
9.908227711741108578e+03,2.656181038449663134e+00
9.908227734963336843e+03,2.656181116079718407e+00
9.908227758185566927e+03,2.656181193703613275e+00
9.908227781407797011e+03,2.656181271321340631e+00
9.908227804630027094e+03,2.656181348932893371e+00
9.908227827852255359e+03,2.656181426538271495e+00
9.908227851074485443e+03,2.656181504137475002e+00
9.908227874296715527e+03,2.656181581730514552e+00
9.908227897518945610e+03,2.656181659317372379e+00
9.908227920741173875e+03,2.656181736898052037e+00
9.908227943963403959e+03,2.656181814472560632e+00
9.908227967185634043e+03,2.656181892040894610e+00
9.908227990407864127e+03,2.656181969603053972e+00
9.908228013630092391e+03,2.656182047159024506e+00
9.908228036852322475e+03,2.656182124708827530e+00
9.908228060074552559e+03,2.656182202252448832e+00
9.908228083296782643e+03,2.656182279789888412e+00
9.908228106519010908e+03,2.656182357321146270e+00
9.908228129741240991e+03,2.656182434846222407e+00
9.908228152963471075e+03,2.656182512365120374e+00
9.908228176185701159e+03,2.656182589877836620e+00
9.908228199407929424e+03,2.656182667384364038e+00
9.908228222630159507e+03,2.656182744884713287e+00
9.908228245852389591e+03,2.656182822378877262e+00
9.908228269074619675e+03,2.656182899866855962e+00
9.908228292296847940e+03,2.656182977348642282e+00
9.908228315519078023e+03,2.656183054824246881e+00
9.908228338741308107e+03,2.656183132293666205e+00
9.908228361963538191e+03,2.656183209756893149e+00
9.908228385185766456e+03,2.656183287213927713e+00
9.908228408407996540e+03,2.656183364664780555e+00
9.908228431630226623e+03,2.656183442109444570e+00
9.908228454852456707e+03,2.656183519547912653e+00
9.908228478074684972e+03,2.656183596980184802e+00
9.908228501296915056e+03,2.656183674406271678e+00
9.908228524519145139e+03,2.656183751826166173e+00
