Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
9.889738090277649462e+03,8.018527720325614609e+02
9.889738107156652404e+03,8.018839895230665888e+02
9.889738124035655346e+03,8.019152077274300154e+02
9.889738140914658288e+03,8.019464266455174766e+02
9.889738157793661230e+03,8.019776462771955039e+02
9.889738174672662353e+03,8.020088666189657260e+02
9.889738191551665295e+03,8.020400876774230028e+02
9.889738208430668237e+03,8.020713094490691901e+02
9.889738225309671179e+03,8.021025319337703650e+02
9.889738242188674121e+03,8.021337551313926042e+02
9.889738259067677063e+03,8.021649790418018711e+02
9.889738275946680005e+03,8.021962036648642425e+02
9.889738292825682947e+03,8.022274290004459090e+02
9.889738309704684070e+03,8.022586550450479308e+02
9.889738326583687012e+03,8.022898818052660772e+02
9.889738343462689954e+03,8.023211092776019768e+02
9.889738360341692896e+03,8.023523374619213655e+02
9.889738377220695838e+03,8.023835663580903201e+02
9.889738394099698780e+03,8.024147959659746903e+02
9.889738410978701722e+03,8.024460262854412349e+02
9.889738427857704664e+03,8.024772573163550078e+02
9.889738444736705787e+03,8.025084890552169554e+02
9.889738461615708729e+03,8.025397215086243250e+02
9.889738478494711671e+03,8.025709546730777220e+02
9.889738495373714613e+03,8.026021885484425411e+02
9.889738512252717555e+03,8.026334231345855414e+02
9.889738529131720497e+03,8.026646584313721178e+02
9.889738546010723439e+03,8.026958944386689154e+02
9.889738562889726381e+03,8.027271311563414429e+02
9.889738579768727504e+03,8.027583685808893961e+02
9.889738596647730446e+03,8.027896067189115001e+02
9.889738613526733388e+03,8.028208455669074510e+02
9.889738630405736330e+03,8.028520851247432120e+02
9.889738647284739272e+03,8.028833253922848598e+02
9.889738664163742214e+03,8.029145663693982442e+02
9.889738681042745156e+03,8.029458080559493283e+02
9.889738697921748098e+03,8.029770504518041889e+02
9.889738714800749221e+03,8.030082935534617263e+02
9.889738731679752163e+03,8.030395373675215751e+02
9.889738748558755105e+03,8.030707818904832038e+02
9.889738765437758047e+03,8.031020271222123483e+02
9.889738782316760989e+03,8.031332730625748582e+02
9.889738799195763931e+03,8.031645197114369239e+02
9.889738816074766873e+03,8.031957670686641677e+02
9.889738832953769816e+03,8.032270151341225528e+02
9.889738849832770939e+03,8.032582639043107520e+02
9.889738866711773881e+03,8.032895133858295367e+02
9.889738883590776823e+03,8.033207635751770113e+02
9.889738900469779765e+03,8.033520144722197074e+02
9.889738917348782707e+03,8.033832660768229061e+02
9.889738934227785649e+03,8.034145183888529118e+02
9.889738951106788591e+03,8.034457714081758013e+02
9.889738967985791533e+03,8.034770251346568557e+02
9.889738984864792656e+03,8.035082795647942930e+02
9.889739001743795598e+03,8.035395347051899080e+02
9.889739018622798540e+03,8.035707905523414638e+02
9.889739035501801482e+03,8.036020471061153785e+02
9.889739052380804424e+03,8.036333043663768194e+02
9.889739069259807366e+03,8.036645623329919772e+02
9.889739086138810308e+03,8.036958210058269287e+02
9.889739103017813250e+03,8.037270803847469551e+02
9.889739119896814373e+03,8.037583404662498197e+02
9.889739136775817315e+03,8.037896012569381128e+02
9.889739153654820257e+03,8.038208627533095978e+02
9.889739170533823199e+03,8.038521249552296695e+02
9.889739187412826141e+03,8.038833878625642910e+02
9.889739204291829083e+03,8.039146514751794257e+02
9.889739221170832025e+03,8.039459157929408093e+02
9.889739238049834967e+03,8.039771808157141777e+02
9.889739254928836090e+03,8.040084465399959299e+02
9.889739271807839032e+03,8.040397129723904754e+02
9.889739288686841974e+03,8.040709801093946680e+02
9.889739305565844916e+03,8.041022479508740162e+02
9.889739322444847858e+03,8.041335164966942557e+02
9.889739339323850800e+03,8.041647857467214635e+02
9.889739356202853742e+03,8.041960557008212618e+02
9.889739373081856684e+03,8.042273263588590453e+02
9.889739389960857807e+03,8.042585977173309857e+02
9.889739406839860749e+03,8.042898697828431978e+02
9.889739423718863691e+03,8.043211425518907163e+02
9.889739440597866633e+03,8.043524160243397318e+02
9.889739457476869575e+03,8.043836902000557529e+02
9.889739474355872517e+03,8.044149650789046291e+02
9.889739491234875459e+03,8.044462406607522098e+02
9.889739508113878401e+03,8.044775169454641173e+02
9.889739524992879524e+03,8.045087939295353863e+02
9.889739541871882466e+03,8.045400716195733821e+02
9.889739558750885408e+03,8.045713500120725712e+02
9.889739575629888350e+03,8.046026291068988030e+02
9.889739592508891292e+03,8.046339089039182682e+02
9.889739609387894234e+03,8.046651894029962477e+02
9.889739626266897176e+03,8.046964706039988187e+02
9.889739643145900118e+03,8.047277525067912620e+02
9.889739660024901241e+03,8.047590351078682716e+02
9.889739676903904183e+03,8.047903184138378947e+02
9.889739693782907125e+03,8.048216024211945978e+02
9.889739710661910067e+03,8.048528871298042304e+02
9.889739727540913009e+03,8.048841725395320736e+02
9.889739744419915951e+03,8.049154586502442044e+02
9.889739761298918893e+03,8.049467454618062447e+02
9.889739778177921835e+03,8.049780329740835896e+02
9.889739795056922958e+03,8.050093211835703642e+02
9.889739811935925900e+03,8.050406100968755254e+02
9.889739828814928842e+03,8.050718997104929713e+02
9.889739845693931784e+03,8.051031900242887787e+02
9.889739862572934726e+03,8.051344810381282286e+02
9.889739879451937668e+03,8.051657727518768297e+02
9.889739896330940610e+03,8.051970651654004314e+02
9.889739913209943552e+03,8.052283582785646558e+02
9.889739930088944675e+03,8.052596520878624915e+02
9.889739946967947617e+03,8.052909465999046006e+02
9.889739963846950559e+03,8.053222418111840852e+02
