Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.913946643518749624e+03,5.532602864058488876e+02
9.913946661622412648e+03,5.532654847662126940e+02
9.913946679726073853e+03,5.532706825402028699e+02
9.913946697829736877e+03,5.532758797288523738e+02
9.913946715933398082e+03,5.532810763311052824e+02
9.913946734037061105e+03,5.532862723479947817e+02
9.913946752140722310e+03,5.532914677784648347e+02
9.913946770244385334e+03,5.532966626235481726e+02
9.913946788348046539e+03,5.533018568821895542e+02
9.913946806451709563e+03,5.533070505554210285e+02
9.913946824555372586e+03,5.533122436427095181e+02
9.913946842659033791e+03,5.533174361435214905e+02
9.913946860762696815e+03,5.533226280588893360e+02
9.913946878866358020e+03,5.533278193877581543e+02
9.913946896970021044e+03,5.533330101311595399e+02
9.913946915073682248e+03,5.533382002880391610e+02
9.913946933177345272e+03,5.533433898594282709e+02
9.913946951281006477e+03,5.533485788442728790e+02
9.913946969384669501e+03,5.533537672436041248e+02
9.913946987488332525e+03,5.533589550568890445e+02
9.913947005591993729e+03,5.533641422835953563e+02
9.913947023695656753e+03,5.533693289247536313e+02
9.913947041799317958e+03,5.533745149793104474e+02
9.913947059902980982e+03,5.533797004482963757e+02
9.913947078006642187e+03,5.533848853306579940e+02
9.913947096110305210e+03,5.533900696274256461e+02
9.913947114213966415e+03,5.533952533375462508e+02
9.913947132317629439e+03,5.534004364620501519e+02
9.913947150421292463e+03,5.534056190004047266e+02
9.913947168524953668e+03,5.534108009520781479e+02
9.913947186628616691e+03,5.534159823181003048e+02
9.913947204732277896e+03,5.534211630974183436e+02
9.913947222835940920e+03,5.534263432910622669e+02
9.913947240939602125e+03,5.534315228979793346e+02
9.913947259043265149e+03,5.534367019191992085e+02
9.913947277146926353e+03,5.534418803536696032e+02
9.913947295250589377e+03,5.534470582024197256e+02
9.913947313354252401e+03,5.534522354649179761e+02
9.913947331457913606e+03,5.534574121406326412e+02
9.913947349561576630e+03,5.534625882305924733e+02
9.913947367665237834e+03,5.534677637337462102e+02
9.913947385768900858e+03,5.534729386511222629e+02
9.913947403872562063e+03,5.534781129816694829e+02
9.913947421976225087e+03,5.534832867264159404e+02
9.913947440079888111e+03,5.534884598848304904e+02
9.913947458183549315e+03,5.534936324563821017e+02
9.913947476287212339e+03,5.534988044420987308e+02
9.913947494390873544e+03,5.535039758409295700e+02
9.913947512494536568e+03,5.535091466539023486e+02
9.913947530598197773e+03,5.535143168799668274e+02
9.913947548701860796e+03,5.535194865201505081e+02
9.913947566805522001e+03,5.535246555734030380e+02
9.913947584909185025e+03,5.535298240407516914e+02
9.913947603012848049e+03,5.535349919216657781e+02
9.913947621116509254e+03,5.535401592156147217e+02
9.913947639220172277e+03,5.535453259236255690e+02
9.913947657323833482e+03,5.535504920446484221e+02
9.913947675427496506e+03,5.535556575797103278e+02
9.913947693531157711e+03,5.535608225277617294e+02
9.913947711634820735e+03,5.535659868898291052e+02
9.913947729738481939e+03,5.535711506648632394e+02
9.913947747842144963e+03,5.535763138538906105e+02
9.913947765945807987e+03,5.535814764563807557e+02
9.913947784049469192e+03,5.535866384718037807e+02
9.913947802153132216e+03,5.535917999011854818e+02
9.913947820256793420e+03,5.535969607434774389e+02
9.913947838360456444e+03,5.536021209997052210e+02
9.913947856464117649e+03,5.536072806688205219e+02
9.913947874567780673e+03,5.536124397518489104e+02
9.913947892671441878e+03,5.536175982477419666e+02
9.913947910775104901e+03,5.536227561575253731e+02
9.913947928878767925e+03,5.536279134806690081e+02
9.913947946982429130e+03,5.536330702166436595e+02
9.913947965086092154e+03,5.536382263664741004e+02
9.913947983189753359e+03,5.536433819291127065e+02
9.913948001293416382e+03,5.536485369055843648e+02
9.913948019397077587e+03,5.536536912948416784e+02
9.913948037500740611e+03,5.536588450979090794e+02
9.913948055604401816e+03,5.536639983137393983e+02
9.913948073708064840e+03,5.536691509433570673e+02
9.913948091811727863e+03,5.536743029862327603e+02
9.913948109915389068e+03,5.536794544418374926e+02
9.913948128019052092e+03,5.536846053111952415e+02
9.913948146122713297e+03,5.536897555932595196e+02
9.913948164226376321e+03,5.536949052890538496e+02
9.913948182330037525e+03,5.537000543975320852e+02
9.913948200433700549e+03,5.537052029197175216e+02
9.913948218537361754e+03,5.537103508545643535e+02
9.913948236641024778e+03,5.537154982030955352e+02
9.913948254744687802e+03,5.537206449647825366e+02
9.913948272848349006e+03,5.537257911390969412e+02
9.913948290952012030e+03,5.537309367270615894e+02
9.913948309055673235e+03,5.537360817276310172e+02
9.913948327159336259e+03,5.537412261418278376e+02
9.913948345262997464e+03,5.537463699686068139e+02
9.913948363366660487e+03,5.537515132089904455e+02
9.913948381470321692e+03,5.537566558619337229e+02
9.913948399573984716e+03,5.537617979284588046e+02
9.913948417677647740e+03,5.537669394080373877e+02
9.913948435781308945e+03,5.537720803001419654e+02
9.913948453884971968e+03,5.537772206057939002e+02
9.913948471988633173e+03,5.537823603239492058e+02
9.913948490092296197e+03,5.537874994556292449e+02
9.913948508195957402e+03,5.537926379997900312e+02
9.913948526299620426e+03,5.537977759574526999e+02
9.913948544403281630e+03,5.538029133275734921e+02
9.913948562506944654e+03,5.538080501111734293e+02
9.913948580610607678e+03,5.538131863077251182e+02
9.913948598714268883e+03,5.538183219167009383e+02
9.913948616817931907e+03,5.538234569391219111e+02
9.913948634921593111e+03,5.538285913739446187e+02
9.913948653025256135e+03,5.538337252221896279e+02
9.913948671128917340e+03,5.538388584828137482e+02
9.913948689232580364e+03,5.538439911568373191e+02
9.913948707336243388e+03,5.538491232437332883e+02
9.913948725439904592e+03,5.538542547429747174e+02
9.913948743543567616e+03,5.538593856555814909e+02
9.913948761647228821e+03,5.538645159805111007e+02
9.913948779750891845e+03,5.538696457187833175e+02
9.913948797854553050e+03,5.538747748693559743e+02
9.913948815958216073e+03,5.538799034332485007e+02
9.913948834061877278e+03,5.538850314094188434e+02
9.913948852165540302e+03,5.538901587988863184e+02
9.913948870269203326e+03,5.538952856011241010e+02
9.913948888372864531e+03,5.539004118156062759e+02
9.913948906476527554e+03,5.539055374433512497e+02
9.913948924580188759e+03,5.539106624833179922e+02
9.913948942683851783e+03,5.539157869365247961e+02
9.913948960787512988e+03,5.539209108019308587e+02
9.913948978891176012e+03,5.539260340805544729e+02
9.913948996994837216e+03,5.539311567713547220e+02
9.913949015098500240e+03,5.539362788753496716e+02
9.913949033202163264e+03,5.539414003920134064e+02
9.913949051305824469e+03,5.539465213208201249e+02
9.913949069409487493e+03,5.539516416627875515e+02
9.913949087513148697e+03,5.539567614168754517e+02
9.913949105616811721e+03,5.539618805841012090e+02
9.913949123720472926e+03,5.539669991634251573e+02
9.913949141824135950e+03,5.539721171558643391e+02
9.913949159927797155e+03,5.539772345603790882e+02
9.913949178031460178e+03,5.539823513779863333e+02
9.913949196135123202e+03,5.539874676081607277e+02
