Time (BJD_TBD - 2450000), F_d/F_star (ppm)
9.908226643518544734e+03,1.342226458382357066e+02
9.908226666740774817e+03,1.342195515778597326e+02
9.908226689963004901e+03,1.342164572660369970e+02
9.908226713185233166e+03,1.342133629030138593e+02
9.908226736407463250e+03,1.342102684883095662e+02
9.908226759629693333e+03,1.342071740221705625e+02
9.908226782851923417e+03,1.342040795046007702e+02
9.908226806074151682e+03,1.342009849358467193e+02
9.908226829296381766e+03,1.341978903154275429e+02
9.908226852518611850e+03,1.341947956435897709e+02
9.908226875740841933e+03,1.341917009203372402e+02
9.908226898963070198e+03,1.341886061459165660e+02
9.908226922185300282e+03,1.341855113198468246e+02
9.908226945407530366e+03,1.341824164423744605e+02
9.908226968629760449e+03,1.341793215135035382e+02
9.908226991851988714e+03,1.341762265334804738e+02
9.908227015074218798e+03,1.341731315018244004e+02
9.908227038296448882e+03,1.341700364187817911e+02
9.908227061518678966e+03,1.341669412843567102e+02
9.908227084740907230e+03,1.341638460987955170e+02
9.908227107963137314e+03,1.341607508616174300e+02
9.908227131185367398e+03,1.341576555730688654e+02
9.908227154407597482e+03,1.341545602331539158e+02
9.908227177629825746e+03,1.341514648421189406e+02
9.908227200852055830e+03,1.341483693994830730e+02
9.908227224074285914e+03,1.341452739054928429e+02
9.908227247296515998e+03,1.341421783601522577e+02
9.908227270518744263e+03,1.341390827637077905e+02
9.908227293740974346e+03,1.341359871156784891e+02
9.908227316963204430e+03,1.341328914163108550e+02
9.908227340185434514e+03,1.341297956656089809e+02
9.908227363407662779e+03,1.341266998638192547e+02
9.908227386629892862e+03,1.341236040104608094e+02
9.908227409852122946e+03,1.341205081057800896e+02
9.908227433074353030e+03,1.341174121497811882e+02
9.908227456296581295e+03,1.341143161427105781e+02
9.908227479518811379e+03,1.341112200840872219e+02
9.908227502741041462e+03,1.341081239741577633e+02
9.908227525963271546e+03,1.341050278129261244e+02
9.908227549185499811e+03,1.341019316006388920e+02
9.908227572407729895e+03,1.340988353368150285e+02
9.908227595629959978e+03,1.340957390217010357e+02
9.908227618852190062e+03,1.340926426553010344e+02
9.908227642074418327e+03,1.340895462378614411e+02
9.908227665296648411e+03,1.340864497689013604e+02
9.908227688518878495e+03,1.340833532486672084e+02
9.908227711741108578e+03,1.340802566771630779e+02
9.908227734963336843e+03,1.340771600546354989e+02
9.908227758185566927e+03,1.340740633806034623e+02
9.908227781407797011e+03,1.340709666553134412e+02
9.908227804630027094e+03,1.340678698787695282e+02
9.908227827852255359e+03,1.340647730512183102e+02
9.908227851074485443e+03,1.340616761721786077e+02
9.908227874296715527e+03,1.340585792418970925e+02
9.908227897518945610e+03,1.340554822603776586e+02
9.908227920741173875e+03,1.340523852278670631e+02
9.908227943963403959e+03,1.340492881438840698e+02
9.908227967185634043e+03,1.340461910086753505e+02
9.908227990407864127e+03,1.340430938222447708e+02
9.908228013630092391e+03,1.340399965848391730e+02
9.908228036852322475e+03,1.340368992959771788e+02
9.908228060074552559e+03,1.340338019559055454e+02
9.908228083296782643e+03,1.340307045646282234e+02
9.908228106519010908e+03,1.340276071223918564e+02
9.908228129741240991e+03,1.340245096287152364e+02
9.908228152963471075e+03,1.340214120838450071e+02
9.908228176185701159e+03,1.340183144877851760e+02
9.908228199407929424e+03,1.340152168407824433e+02
9.908228222630159507e+03,1.340121191423554876e+02
9.908228245852389591e+03,1.340090213927510376e+02
9.908228269074619675e+03,1.340059235919731293e+02
9.908228292296847940e+03,1.340028257402682641e+02
9.908228315519078023e+03,1.339997278371553762e+02
