Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.905193796296138316e+03,1.605260800572147559e+02
9.905193817625817246e+03,1.605117992196845762e+02
9.905193838955496176e+03,1.604975187716536027e+02
9.905193860285176925e+03,1.604832387119473935e+02
9.905193881614855854e+03,1.604689590430456292e+02
9.905193902944534784e+03,1.604546797637740951e+02
9.905193924274213714e+03,1.604404008741764187e+02
9.905193945603892644e+03,1.604261223742964830e+02
9.905193966933571573e+03,1.604118442641778302e+02
9.905193988263252322e+03,1.603975665426467856e+02
9.905194009592931252e+03,1.603832892121821203e+02
9.905194030922610182e+03,1.603690122716101314e+02
9.905194052252289111e+03,1.603547357209744462e+02
9.905194073581968041e+03,1.603404595603186067e+02
9.905194094911648790e+03,1.603261837884692227e+02
9.905194116241327720e+03,1.603119084079045535e+02
9.905194137571006650e+03,1.602976334174510953e+02
9.905194158900685579e+03,1.602833588171525889e+02
9.905194180230364509e+03,1.602690846070526902e+02
9.905194201560043439e+03,1.602548107871949696e+02
9.905194222889724188e+03,1.602405373564061222e+02
9.905194244219403117e+03,1.602262643171641514e+02
9.905194265549082047e+03,1.602119916682957523e+02
9.905194286878760977e+03,1.601977194098443249e+02
9.905194308208439907e+03,1.601834475418538659e+02
9.905194329538120655e+03,1.601691760631507577e+02
9.905194350867799585e+03,1.601549049762131745e+02
9.905194372197478515e+03,1.601406342798674700e+02
9.905194393527157445e+03,1.601263639741573854e+02
9.905194414856836374e+03,1.601120940591265764e+02
9.905194436186517123e+03,1.600978245336020791e+02
9.905194457516196053e+03,1.600835554000611296e+02
9.905194478845874983e+03,1.600692866573307356e+02
9.905194500175553912e+03,1.600550183054545528e+02
9.905194521505232842e+03,1.600407503444760380e+02
9.905194542834911772e+03,1.600264827744391880e+02
9.905194564164592521e+03,1.600122155941708399e+02
9.905194585494271450e+03,1.599979488061480595e+02
9.905194606823950380e+03,1.599836824091978826e+02
9.905194628153629310e+03,1.599694164033641073e+02
9.905194649483308240e+03,1.599551507886903323e+02
9.905194670812988988e+03,1.599408855640035370e+02
9.905194692142667918e+03,1.599266207317808437e+02
9.905194713472346848e+03,1.599123562908490044e+02
9.905194734802025778e+03,1.598980922412520442e+02
9.905194756131704708e+03,1.598838285830333348e+02
9.905194777461383637e+03,1.598695653162368728e+02
9.905194798791064386e+03,1.598553024396896944e+02
9.905194820120743316e+03,1.598410399558684105e+02
9.905194841450422246e+03,1.598267778636002845e+02
9.905194862780101175e+03,1.598125161629288300e+02
9.905194884109780105e+03,1.597982548538978165e+02
9.905194905439460854e+03,1.597839939353349052e+02
9.905194926769139784e+03,1.597697334097159398e+02
9.905194948098818713e+03,1.597554732758685248e+02
9.905194969428497643e+03,1.597412135338362305e+02
