Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.903683680555783212e+03,3.622709462931286595e+01
9.903683703452748887e+03,3.622771532478478207e+01
9.903683726349714561e+03,3.622833602311732193e+01
9.903683749246680236e+03,3.622895672431038605e+01
9.903683772143645911e+03,3.622957742836389627e+01
9.903683795040611585e+03,3.623019813527778865e+01
9.903683817937577260e+03,3.623081884505194949e+01
9.903683840834542934e+03,3.623143955768631486e+01
9.903683863731508609e+03,3.623206027318078526e+01
9.903683886628474283e+03,3.623268099153527544e+01
9.903683909525439958e+03,3.623330171274973566e+01
9.903683932422405633e+03,3.623392243682403802e+01
9.903683955319371307e+03,3.623454316375812567e+01
9.903683978216336982e+03,3.623516389355189204e+01
9.903684001113302656e+03,3.623578462620528029e+01
9.903684024010268331e+03,3.623640536171818383e+01
9.903684046907234006e+03,3.623702610009052449e+01
9.903684069804199680e+03,3.623764684132223834e+01
9.903684092701163536e+03,3.623826758536387871e+01
9.903684115598129210e+03,3.623888833231404050e+01
9.903684138495094885e+03,3.623950908212329836e+01
9.903684161392060560e+03,3.624012983479157413e+01
9.903684184289026234e+03,3.624075059031878254e+01
9.903684207185991909e+03,3.624137134870483834e+01
9.903684230082957583e+03,3.624199210994967757e+01
9.903684252979923258e+03,3.624261287405317944e+01
9.903684275876888933e+03,3.624323364101529421e+01
9.903684298773854607e+03,3.624385441083590820e+01
9.903684321670820282e+03,3.624447518351495034e+01
9.903684344567785956e+03,3.624509595905235670e+01
9.903684367464751631e+03,3.624571673744799938e+01
9.903684390361717305e+03,3.624633751870184284e+01
9.903684413258682980e+03,3.624695830281375208e+01
9.903684436155648655e+03,3.624757908978368448e+01
9.903684459052614329e+03,3.624819987961154055e+01
9.903684481949580004e+03,3.624882067229722793e+01
9.903684504846545678e+03,3.624944146784068977e+01
9.903684527743511353e+03,3.625006226624179817e+01
9.903684550640477028e+03,3.625068306750050340e+01
9.903684573537442702e+03,3.625130387161671308e+01
9.903684596434408377e+03,3.625192467859035617e+01
9.903684619331374051e+03,3.625254548842131186e+01
9.903684642228339726e+03,3.625316630110953753e+01
9.903684665125305401e+03,3.625378711665491238e+01
9.903684688022271075e+03,3.625440793505737958e+01
9.903684710919236750e+03,3.625502875631683253e+01
9.903684733816202424e+03,3.625564958043320019e+01
9.903684756713168099e+03,3.625627040740640439e+01
9.903684779610133774e+03,3.625689123723635277e+01
9.903684802507099448e+03,3.625751206992296716e+01
9.903684825404065123e+03,3.625813290546614809e+01
9.903684848301030797e+03,3.625875374386581740e+01
9.903684871197996472e+03,3.625937458512191114e+01
9.903684894094960327e+03,3.625999542918499685e+01
9.903684916991926002e+03,3.626061627615364102e+01
9.903684939888891677e+03,3.626123712597845383e+01
9.903684962785857351e+03,3.626185797865932159e+01
9.903684985682823026e+03,3.626247883419618034e+01
9.903685008579788700e+03,3.626309969258895194e+01
9.903685031476754375e+03,3.626372055383753690e+01
9.903685054373720050e+03,3.626434141794186417e+01
9.903685077270685724e+03,3.626496228490182716e+01
9.903685100167651399e+03,3.626558315471735483e+01
9.903685123064617073e+03,3.626620402738838322e+01
9.903685145961582748e+03,3.626682490291479866e+01
9.903685168858548423e+03,3.626744578129653007e+01
9.903685191755514097e+03,3.626806666253348510e+01
9.903685214652479772e+03,3.626868754662558558e+01
9.903685237549445446e+03,3.626930843357275336e+01
9.903685260446411121e+03,3.626992932337488895e+01
9.903685283343376796e+03,3.627055021603193552e+01
9.903685306240342470e+03,3.627117111154377227e+01
9.903685329137308145e+03,3.627179200991033525e+01
9.903685352034273819e+03,3.627241291113155341e+01
9.903685374931239494e+03,3.627303381520731307e+01
9.903685397828205168e+03,3.627365472213755737e+01
9.903685420725170843e+03,3.627427563192216553e+01
9.903685443622136518e+03,3.627489654456109491e+01
9.903685466519102192e+03,3.627551746005424604e+01
9.903685489416067867e+03,3.627613837840151945e+01
9.903685512313033541e+03,3.627675929960285117e+01
9.903685535209999216e+03,3.627738022365814174e+01
9.903685558106964891e+03,3.627800115056732011e+01
9.903685581003930565e+03,3.627862208033030100e+01
