time,lcdata,lcerr
2459891.6460036268,0.9976307152119644,0.0025738312818062
2459891.646485373,1.0021741367265755,0.0025774034662783
2459891.6469671195,0.9997969303070304,0.0025796666137558
2459891.647448866,1.0019400361463189,0.0025767819719878
2459891.647930613,1.004650687744563,0.0025763695245082
2459891.6484123594,1.0023715542226717,0.0025758522461711
2459891.6488941056,1.0040499361477244,0.0025750368503292
2459891.649375852,1.0024515722959992,0.0025765983557136
2459891.649857599,1.0025619207196912,0.0025746424534012
2459891.6503393454,1.003636214907725,0.0025767162788898
2459891.6508210916,0.9999273401729158,0.0025800821866996
2459891.651302838,1.0017697021025334,0.0025745019673683
2459891.651784585,1.0045510864028058,0.0025744371966485
2459891.6522663315,1.001854065111608,0.0025758423829244
2459891.6527480776,1.004316008163429,0.002575248098451
2459891.6532298243,1.0038203658057456,0.0025741423870068
2459891.653711571,1.000773808966801,0.0025756565865187
2459891.6541933175,1.0008981501477188,0.0025759698512526
2459891.654675064,1.0001911015575853,0.002572978090079
2459891.6551568103,1.0015676883572495,0.0025747746747279
2459891.655638557,1.002104751021637,0.0025773385155608
2459891.6561203036,0.9995878142924776,0.002573231350162
2459891.65660205,1.0021393855761642,0.0025753144205252
2459891.6570837963,1.002394066891044,0.0025773351273952
2459891.657565543,0.998991519868616,0.0025791969558936
2459891.6580472896,1.000341402669196,0.0025736697130808
2459891.658529036,1.0015340421933387,0.0025823607868039
2459891.6590107824,1.0018704197266683,0.0025732280308484
2459891.659492529,1.001993766626726,0.0025736587562853
2459891.6599742756,1.0017292758629128,0.0025746382979856
2459891.6604560222,1.0008126177017822,0.0025741485762753
2459891.6609377684,1.0019065403401104,0.0025762621321347
2459891.661419515,1.000072615451008,0.0025788362413792
2459891.6619012617,1.000861971905928,0.0025734029423447
2459891.6623830083,0.9987532542067832,0.0025746427168096
2459891.662864755,1.001150807708474,0.0025706706311235
2459891.663346501,1.0021135187773802,0.0025723946430499
2459891.6638282477,1.0004628823571486,0.002576067160901
2459891.6643099943,1.002490039613997,0.0025741699743825
2459891.664791741,0.9979325699584706,0.0025716461400128
2459891.665273487,0.9984683180216896,0.002574524928822
2459891.6657552337,0.9988924392082408,0.0025766076780883
2459891.6662369804,1.0031877010668615,0.0025738735627725
